Name,Code,AltName,AltCode
Alder Flycatcher,ALFL,Empidonax virescens,aldfly
American Bittern,AMBI,Botaurus lentiginosus,amebit
American Crow,AMCR,Corvus brachyrhynchos,amecro
American Goldfinch,AGOL,Spinus tristis,amegfi
American Robin,AMRO,Turdus migratorius,amerob
Barred Owl,BADO,Strix varia,brdowl
Bay-breasted Warbler,BBWA,Setophaga castanea,babwar
Belted Kingfisher,BEKI,Megaceryle alcyon,belkin1
Black-capped Chickadee,BCCH,Poecile atricapillus,bkcchi
Black-throated Green Warbler,BTNW,Setophaga virens,btnwar
Blue Jay,BLJA,Cyanocitta cristata,blujay
Brown Creeper,BRCR,Certhia americana,brncre
Canada Goose,CANG,Branta canadensis,cangoo
Cape May Warbler,CMWA,Setophaga tigrina,camwar
Cedar Waxwing,CEDW,Bombycilla cedrorum,cedwax
Chipping Sparrow,CHSP,Spizella passerina,chispa
Common Raven,CORA,Corvus corax,comrav
Common Yellowthroat,COYE,Geothlypis trichas,comyel
Dark-eyed Junco,DEJU,Junco hyemalis,daejun
Eastern Kingbird,EAKI,Tyrannus tyrannus,easkin
Eastern Towhee,EATO,Pipilo erythrophthalmus,eastow
Eastern Wood-Pewee,EAWP,Contopus virens,eawpew
Field Sparrow,FISP,Spizella pusilla,fiespa
Golden-crowned Kinglet,GCKI,Regulus satrapa,gockin
Great Horned Owl,GHOW,Bubo virginianus,grhowl
Hermit Thrush,HETH,Catharus guttatus,herthr
Insects,Insects,,
Noise,Noise,,
Northern Cardinal,NOCA,Cardinalis cardinalis,norcar
Northern Flicker,NOFL,Colaptes auratus,norfli
Northern House Wren,NHWR,Troglodytes aedon,houwre
Northern Yellow Warbler,YEWA,Setophaga aestiva,yelwar
Other,Other,,
Ovenbird,OVEN,Seiurus aurocapilla,ovenbi1
Pine Siskin,PISI,Spinus pinus,pinsis
Red-breasted Nuthatch,RBNU,Sitta canadensis,rebnut
Red-winged Blackbird,RWBL,Agelaius phoeniceus,rewbla
Speech,Speech,,
Swainson's Thrush,SWTH,Catharus ustulatus,swathr
Swamp Sparrow,SWSP,Melospiza georgiana,swaspa
Tennessee Warbler,TEWA,Leiothlypis peregrina,tenwar
Trumpeter Swan,TRUS,Cygnus buccinator,truswa
Veery,VEER,Catharus fuscescens,veery
Warbling Vireo,WAVI,Vireo gilvus/swainsoni,warvir
Western Tanager,WETA,Piranga ludoviciana,westan
White-throated Sparrow,WTSP,Zonotrichia albicollis,whtspa
Wilson's Snipe,WISN,Gallinago delicata,wilsni1
Wilson's Warbler,WIWA,Cardellina pusilla,wlswar
Winter Wren,WIWR,Troglodytes hiemalis,winwre3
Wood Thrush,WOTH,Hylocichla mustelina,woothr
