recording,iou_max,iou_0.60,iou_0.80
N100056,1.0000,1.0000,0.6667
N106834-edited,0.9226,0.9226,0.9167
N128080,0.6100,0.6100,0.8867
N16767-edited,0.8963,0.8963,0.9667
N22158-edited,0.8857,0.8857,0.9048
N22971-edited,0.7556,0.7528,0.6520
N23417-edited,0.8889,0.8889,0.8535
N23493-edited,0.9267,0.9267,0.6400
N250512,0.7556,0.5833,0.6667
N3568,0.9615,0.9615,0.9583
N37429,0.5000,0.4333,0.7083
N38268,0.8623,0.8956,0.9213
N38516,0.8473,0.8836,0.8933
N39306,0.8854,0.8854,0.8934
N41312-edited,1.0000,1.0000,0.7500
N41564,0.8000,0.8000,0.1667
N44587-edited,0.6667,0.6667,0.4444
N460551,0.3250,0.3250,0.7500
N488610,0.9375,0.9375,0.6250
N500951,0.7222,0.7222,0.5556
N6682-edited,0.9722,0.9722,0.7812
N737290,0.6944,0.7667,0.8000
N98507,0.8333,0.8889,0.7778
XC109766,0.8958,0.8958,0.9545
XC109767,0.9642,0.9642,0.9146
XC109769,0.9397,0.9397,0.9542
XC114554,0.8889,0.8889,0.8750
XC134014-edited,0.5125,0.4625,0.3968
XC144024,0.7500,0.7500,0.6667
XC159959,0.8429,0.8429,0.6298
XC172881,0.6250,0.6250,0.4286
XC215372,0.8889,0.8889,0.7222
XC271361,0.5889,0.5889,0.2833
XC801172-edited,0.9167,0.9167,0.9167
XC812929,0.8095,0.8452,0.5821
