threshold,iou
0.0000,0.2381
0.0100,0.2381
0.0200,0.2235
0.0300,0.2088
0.0400,0.2389
0.0500,0.3050
0.0600,0.3167
0.0700,0.3638
0.0800,0.3604
0.0900,0.3693
0.1000,0.3876
0.1100,0.3993
0.1200,0.4059
0.1300,0.4018
0.1400,0.4065
0.1500,0.4154
0.1600,0.4372
0.1700,0.4501
0.1800,0.4674
0.1900,0.4854
0.2000,0.4925
0.2100,0.5091
0.2200,0.5045
0.2300,0.5193
0.2400,0.5204
0.2500,0.5272
0.2600,0.5469
0.2700,0.5653
0.2800,0.5676
0.2900,0.5745
0.3000,0.5875
0.3100,0.5951
0.3200,0.5955
0.3300,0.5890
0.3400,0.5925
0.3500,0.5941
0.3600,0.5941
0.3700,0.6092
0.3800,0.6066
0.3900,0.6112
0.4000,0.6057
0.4100,0.6225
0.4200,0.6304
0.4300,0.6396
0.4400,0.6491
0.4500,0.6400
0.4600,0.6387
0.4700,0.6594
0.4800,0.6761
0.4900,0.6844
0.5000,0.6801
0.5100,0.6956
0.5200,0.7043
0.5300,0.7254
0.5400,0.7246
0.5500,0.7231
0.5600,0.7246
0.5700,0.7180
0.5800,0.7236
0.5900,0.7278
0.6000,0.7212
0.6100,0.7316
0.6200,0.7249
0.6300,0.7294
0.6400,0.7404
0.6500,0.7582
0.6600,0.7500
0.6700,0.7481
0.6800,0.7539
0.6900,0.7496
0.7000,0.7561
0.7100,0.7664
0.7200,0.7761
0.7300,0.7772
0.7400,0.7728
0.7500,0.7614
0.7600,0.7565
0.7700,0.7421
0.7800,0.7540
0.7900,0.7362
0.8000,0.7331
0.8100,0.7293
0.8200,0.7274
0.8300,0.7198
0.8400,0.7125
0.8500,0.6964
0.8600,0.6874
0.8700,0.6718
0.8800,0.6597
0.8900,0.6456
0.9000,0.6149
0.9100,0.5749
0.9200,0.5225
0.9300,0.4692
0.9400,0.3874
0.9500,0.2889
0.9600,0.1965
0.9700,0.1260
0.9800,0.0342
0.9900,0.0000
1.0000,0.0000
