threshold,iou
0.0000,0.2184
0.0100,0.2184
0.0200,0.2184
0.0300,0.2206
0.0400,0.2726
0.0500,0.2808
0.0600,0.2951
0.0700,0.2987
0.0800,0.2978
0.0900,0.3006
0.1000,0.3024
0.1100,0.3024
0.1200,0.3028
0.1300,0.3033
0.1400,0.3033
0.1500,0.3070
0.1600,0.3080
0.1700,0.3090
0.1800,0.3100
0.1900,0.3100
0.2000,0.3100
0.2100,0.3100
0.2200,0.3100
0.2300,0.3100
0.2400,0.3100
0.2500,0.3070
0.2600,0.3077
0.2700,0.3081
0.2800,0.3084
0.2900,0.3089
0.3000,0.3089
0.3100,0.3073
0.3200,0.3073
0.3300,0.3073
0.3400,0.3073
0.3500,0.3073
0.3600,0.3073
0.3700,0.3073
0.3800,0.3073
0.3900,0.3073
0.4000,0.3073
0.4100,0.3073
0.4200,0.3073
0.4300,0.3073
0.4400,0.3073
0.4500,0.3073
0.4600,0.3083
0.4700,0.3083
0.4800,0.3083
0.4900,0.3083
0.5000,0.3083
0.5100,0.3044
0.5200,0.3044
0.5300,0.3044
0.5400,0.3044
0.5500,0.3073
0.5600,0.3073
0.5700,0.3073
0.5800,0.3073
0.5900,0.3095
0.6000,0.3095
0.6100,0.3095
0.6200,0.3095
0.6300,0.3095
0.6400,0.3054
0.6500,0.3054
0.6600,0.3054
0.6700,0.3077
0.6800,0.3077
0.6900,0.3077
0.7000,0.3077
0.7100,0.3077
0.7200,0.3077
0.7300,0.3086
0.7400,0.3086
0.7500,0.3086
0.7600,0.3086
0.7700,0.3019
0.7800,0.3025
0.7900,0.3031
0.8000,0.3060
0.8100,0.3060
0.8200,0.3069
0.8300,0.3077
0.8400,0.3007
0.8500,0.3013
0.8600,0.3021
0.8700,0.3008
0.8800,0.2980
0.8900,0.3014
0.9000,0.2948
0.9100,0.2483
0.9200,0.1543
0.9300,0.0658
0.9400,0.0188
0.9500,0.0112
0.9600,0.0102
0.9700,0.0042
0.9800,0.0047
0.9900,0.0000
1.0000,0.0000
