recording,iou_max,iou_0.60,iou_0.80
N100056,0.5357,0.5357,0.5357
N106834-edited,0.3720,0.3720,0.3850
N128080,0.4259,0.4259,0.4259
N16767-edited,0.5763,0.4323,0.5763
N22158-edited,0.4874,0.4874,0.5184
N22971-edited,0.5617,0.5617,0.5617
N23417-edited,0.7572,0.7500,0.7572
N23493-edited,0.4576,0.4576,0.4652
N250512,0.2667,0.2667,0.2667
N3568,0.5466,0.5466,0.5584
N37429,0.1951,0.1995,0.2197
N38268,0.6310,0.6310,0.6310
N38516,0.5813,0.5781,0.5855
N39306,0.6369,0.6369,0.6427
N41312-edited,0.4423,0.4423,0.4423
N41564,0.2429,0.2338,0.2429
N44587-edited,0.1742,0.1717,0.1803
N460551,0.1517,0.1444,0.1517
N488610,0.3685,0.3355,0.3260
N500951,0.1875,0.1625,0.0663
N6682-edited,0.6061,0.6061,0.6061
N737290,0.1782,0.1782,0.1485
N98507,0.2500,0.2500,0.2500
XC109766,0.5208,0.5208,0.5208
XC109767,0.4626,0.4967,0.4560
XC109769,0.4985,0.4923,0.5098
XC114554,0.3478,0.3478,0.3478
XC134014-edited,0.4840,0.4840,0.4840
XC144024,0.2143,0.1875,0.2143
XC159959,0.4000,0.3667,0.2424
XC172881,0.0000,0.0000,0.0000
XC215372,0.2045,0.1996,0.2045
XC271361,0.3444,0.3083,0.5833
XC801172-edited,0.3229,0.4389,0.3229
XC812929,0.5106,0.5106,0.5106
