precision,recall
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,0.999
0.025,0.999
0.026,0.999
0.027,0.998
0.028,0.995
0.029,0.992
0.032,0.989
0.036,0.983
0.043,0.977
0.052,0.977
0.063,0.971
0.077,0.969
0.094,0.967
0.110,0.960
0.126,0.956
0.144,0.954
0.159,0.952
0.176,0.948
0.192,0.944
0.208,0.940
0.224,0.940
0.238,0.937
0.252,0.935
0.266,0.933
0.279,0.932
0.289,0.929
0.302,0.927
0.315,0.924
0.326,0.923
0.338,0.923
0.349,0.922
0.359,0.922
0.369,0.920
0.378,0.918
0.387,0.917
0.396,0.915
0.402,0.908
0.412,0.906
0.419,0.905
0.428,0.904
0.433,0.901
0.439,0.899
0.444,0.898
0.451,0.897
0.457,0.896
0.464,0.893
0.471,0.891
0.476,0.891
0.480,0.891
0.484,0.890
0.490,0.889
0.496,0.887
0.501,0.887
0.507,0.886
0.512,0.886
0.519,0.886
0.525,0.885
0.531,0.883
0.534,0.883
0.537,0.882
0.541,0.879
0.542,0.877
0.546,0.877
0.550,0.876
0.555,0.875
0.556,0.873
0.560,0.873
0.564,0.873
0.569,0.871
0.571,0.870
0.573,0.868
0.574,0.868
0.578,0.868
0.582,0.868
0.586,0.868
0.590,0.868
0.594,0.868
0.599,0.868
0.601,0.868
0.604,0.868
0.605,0.867
0.608,0.867
0.612,0.867
0.614,0.865
0.619,0.865
0.620,0.865
0.622,0.865
0.626,0.863
0.630,0.863
0.631,0.863
0.632,0.863
0.633,0.861
0.635,0.861
0.637,0.861
0.640,0.858
0.642,0.858
0.645,0.855
0.646,0.854
0.648,0.854
0.649,0.854
0.653,0.853
0.655,0.853
0.656,0.853
0.658,0.853
0.659,0.853
0.660,0.853
0.662,0.852
0.663,0.851
0.664,0.850
0.664,0.848
0.665,0.847
0.667,0.847
0.669,0.847
0.672,0.846
0.674,0.845
0.675,0.844
0.679,0.843
0.681,0.843
0.683,0.843
0.684,0.842
0.685,0.842
0.686,0.842
0.689,0.842
0.692,0.842
0.693,0.842
0.695,0.842
0.697,0.840
0.698,0.840
0.700,0.840
0.702,0.839
0.702,0.839
0.707,0.839
0.708,0.839
0.712,0.839
0.713,0.839
0.715,0.839
0.718,0.839
0.720,0.838
0.722,0.838
0.725,0.838
0.727,0.836
0.729,0.836
0.730,0.836
0.731,0.835
0.733,0.835
0.735,0.834
0.737,0.832
0.739,0.832
0.740,0.831
0.741,0.830
0.742,0.830
0.743,0.830
0.745,0.830
0.745,0.830
0.747,0.830
0.748,0.830
0.750,0.830
0.751,0.830
0.753,0.830
0.754,0.830
0.755,0.829
0.758,0.829
0.758,0.829
0.759,0.829
0.760,0.828
0.761,0.828
0.762,0.827
0.763,0.827
0.764,0.827
0.763,0.825
0.764,0.824
0.765,0.824
0.767,0.824
0.770,0.824
0.772,0.823
0.771,0.819
0.772,0.817
0.773,0.817
0.775,0.817
0.775,0.816
