recording,TP count,FP count,FN count
file001,15.0,1.0,7.0
file002,12.0,1.0,8.0
file003,18.0,1.0,24.0
file004,20.0,1.0,4.0
file005,12.0,1.0,6.0
file006,13.0,1.0,9.0
file007,7.0,0.0,1.0
file008,11.0,2.0,3.0
file009,10.0,0.0,8.0
file010,5.0,0.0,1.0
file011,6.0,0.0,0.0
file012,16.0,0.0,4.0
file013,3.0,0.0,0.0
file014,3.0,0.0,3.0
file015,1.0,0.0,2.0
file016,7.0,0.0,4.0
file017,2.0,1.0,4.0
file018,3.0,0.0,0.0
file019,1.0,1.0,2.0
file020,5.0,0.0,0.0
file021,6.0,0.0,8.0
file022,3.0,1.0,1.0
file023,1.0,0.0,2.0
file024,5.0,0.0,2.0
file025,3.0,0.0,3.0
file026,7.0,0.0,3.0
file027,1.0,0.0,0.0
file028,3.0,0.0,1.0
file029,4.0,0.0,5.0
file030,5.0,0.0,0.0
file031,3.0,0.0,0.0
file032,4.0,0.0,7.0
file033,3.0,0.0,1.0
file034,3.0,0.0,2.0
file035,5.0,1.0,23.0
file036,31.0,0.0,2.0
file037,13.0,2.0,10.0
file038,2.0,0.0,0.0
file039,2.0,0.0,2.0
file040,16.0,1.0,6.0
file041,8.0,0.0,0.0
file042,2.0,0.0,2.0
file043,4.0,0.0,2.0
file044,3.0,0.0,0.0
file045,16.0,1.0,3.0
file046,0.0,0.0,12.0
file047,2.0,0.0,4.0
file048,4.0,0.0,0.0
file049,32.0,0.0,27.0
file050,33.0,1.0,32.0
file051,10.0,2.0,9.0
file052,20.0,0.0,35.0
file053,9.0,3.0,27.0
file054,1.0,0.0,2.0
file055,4.0,1.0,5.0
file056,6.0,0.0,0.0
file057,3.0,0.0,0.0
file058,0.0,1.0,1.0
file059,6.0,0.0,0.0
file060,5.0,0.0,0.0
file061,5.0,0.0,0.0
file062,6.0,0.0,0.0
file063,7.0,0.0,6.0
file064,7.0,0.0,1.0
file065,4.0,0.0,0.0
file067,5.0,0.0,3.0
file068,3.0,0.0,2.0
file069,7.0,0.0,0.0
file070,1.0,0.0,3.0
file071,3.0,1.0,5.0
file072,8.0,0.0,8.0
