roc_recall,one_minus_fpr,roc_precision
0.000,1.000,1.000
0.010,1.000,1.000
0.020,1.000,1.000
0.030,1.000,1.000
0.040,1.000,1.000
0.050,1.000,1.000
0.060,1.000,1.000
0.070,1.000,1.000
0.080,1.000,1.000
0.090,1.000,1.000
0.100,1.000,1.000
0.110,1.000,1.000
0.120,1.000,1.000
0.130,1.000,1.000
0.140,1.000,1.000
0.150,1.000,1.000
0.160,1.000,1.000
0.170,1.000,1.000
0.180,1.000,1.000
0.190,1.000,1.000
0.200,1.000,1.000
0.210,1.000,1.000
0.220,1.000,1.000
0.230,1.000,1.000
0.240,1.000,1.000
0.250,1.000,1.000
0.260,1.000,1.000
0.270,1.000,1.000
0.280,1.000,1.000
0.290,1.000,1.000
0.300,1.000,1.000
0.310,1.000,1.000
0.320,1.000,1.000
0.330,1.000,1.000
0.340,1.000,1.000
0.350,1.000,1.000
0.360,1.000,1.000
0.370,1.000,1.000
0.380,1.000,1.000
0.390,1.000,1.000
0.400,1.000,0.998
0.410,1.000,0.996
0.420,1.000,0.994
0.430,1.000,0.988
0.440,1.000,0.988
0.450,1.000,0.988
0.460,1.000,0.986
0.470,1.000,0.983
0.480,1.000,0.979
0.490,1.000,0.980
0.500,1.000,0.978
0.510,1.000,0.977
0.520,1.000,0.977
0.530,1.000,0.973
0.540,0.999,0.969
0.550,0.999,0.968
0.560,0.999,0.966
0.570,0.999,0.964
0.580,0.999,0.963
0.590,0.999,0.963
0.600,0.999,0.961
0.610,0.999,0.961
0.620,0.999,0.958
0.630,0.999,0.957
0.640,0.999,0.957
0.650,0.999,0.952
0.660,0.999,0.948
0.670,0.999,0.947
0.680,0.999,0.944
0.690,0.998,0.943
0.700,0.998,0.944
0.710,0.998,0.941
0.720,0.998,0.939
0.730,0.998,0.930
0.740,0.998,0.929
0.750,0.998,0.926
0.760,0.997,0.922
0.770,0.997,0.920
0.780,0.997,0.918
0.790,0.996,0.915
0.800,0.995,0.905
0.810,0.994,0.894
0.820,0.994,0.887
0.830,0.993,0.879
0.840,0.991,0.861
0.850,0.989,0.844
0.860,0.988,0.833
0.870,0.984,0.809
0.880,0.981,0.797
0.890,0.976,0.782
0.900,0.971,0.777
0.910,0.965,0.772
0.920,0.960,0.767
0.930,0.941,0.761
0.940,0.918,0.755
0.950,0.880,0.750
0.960,0.801,0.745
0.970,0.675,0.743
0.980,0.439,0.740
0.990,0.208,0.736
1.000,0.104,0.368
1.010,0.000,0.000
