threshold,true positive rate,false positive rate
0.007,1.000,1.000
0.009,1.000,1.000
0.010,1.000,1.000
0.012,1.000,1.000
0.014,1.000,1.000
0.015,1.000,0.999
0.016,1.000,0.999
0.017,1.000,0.999
0.018,1.000,0.998
0.019,1.000,0.997
0.020,1.000,0.995
0.021,1.000,0.993
0.022,1.000,0.989
0.023,1.000,0.982
0.024,1.000,0.970
0.025,0.999,0.951
0.026,0.999,0.923
0.027,0.999,0.877
0.028,0.998,0.812
0.029,0.993,0.727
0.030,0.993,0.628
0.031,0.993,0.522
0.032,0.987,0.428
0.033,0.983,0.349
0.034,0.978,0.286
0.035,0.970,0.236
0.036,0.966,0.199
0.037,0.962,0.169
0.038,0.954,0.146
0.039,0.951,0.127
0.040,0.948,0.112
0.041,0.945,0.101
0.042,0.941,0.091
0.043,0.932,0.084
0.044,0.930,0.077
0.045,0.929,0.072
0.046,0.928,0.067
0.047,0.927,0.062
0.048,0.927,0.058
0.049,0.925,0.055
0.050,0.923,0.052
0.051,0.922,0.049
0.052,0.918,0.047
0.053,0.916,0.045
0.054,0.913,0.043
0.055,0.910,0.041
0.056,0.910,0.040
0.057,0.907,0.038
0.058,0.905,0.037
0.059,0.901,0.035
0.060,0.900,0.034
0.061,0.898,0.033
0.062,0.897,0.032
0.063,0.896,0.031
0.064,0.896,0.030
0.065,0.896,0.029
0.066,0.896,0.029
0.067,0.893,0.028
0.068,0.893,0.028
0.069,0.892,0.027
0.070,0.890,0.026
0.071,0.885,0.025
0.072,0.884,0.025
0.073,0.883,0.024
0.074,0.883,0.024
0.075,0.882,0.023
0.076,0.882,0.023
0.077,0.879,0.022
0.078,0.878,0.022
0.079,0.876,0.022
0.080,0.875,0.021
0.081,0.875,0.021
0.082,0.875,0.021
0.083,0.874,0.020
0.084,0.874,0.020
0.085,0.871,0.019
0.086,0.871,0.019
0.087,0.867,0.019
0.088,0.867,0.019
0.089,0.867,0.018
0.090,0.867,0.018
0.091,0.867,0.018
0.093,0.867,0.018
0.094,0.866,0.017
0.095,0.865,0.017
0.096,0.865,0.017
0.097,0.863,0.016
0.098,0.862,0.016
0.099,0.862,0.016
0.100,0.862,0.016
0.101,0.862,0.016
0.102,0.862,0.016
0.103,0.862,0.015
0.104,0.861,0.015
0.105,0.860,0.015
0.106,0.860,0.015
0.107,0.859,0.014
0.108,0.858,0.014
0.110,0.855,0.014
0.111,0.853,0.014
0.113,0.851,0.013
0.114,0.850,0.013
0.115,0.850,0.013
0.116,0.850,0.013
0.118,0.847,0.013
0.119,0.846,0.012
0.120,0.846,0.012
0.121,0.845,0.012
0.122,0.845,0.012
0.123,0.845,0.012
0.124,0.845,0.012
0.125,0.845,0.012
0.126,0.844,0.011
0.127,0.844,0.011
0.128,0.844,0.011
0.129,0.842,0.011
0.130,0.842,0.011
0.131,0.842,0.011
0.132,0.840,0.011
0.133,0.839,0.011
0.134,0.839,0.011
0.135,0.839,0.011
0.136,0.839,0.010
0.137,0.839,0.010
0.138,0.837,0.010
0.139,0.837,0.010
0.140,0.837,0.010
0.141,0.837,0.010
0.142,0.837,0.010
0.143,0.837,0.010
0.144,0.836,0.010
0.145,0.836,0.010
0.146,0.834,0.010
0.147,0.834,0.010
0.148,0.834,0.010
0.149,0.832,0.010
0.150,0.832,0.009
0.151,0.832,0.009
0.152,0.832,0.009
