precision,recall
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.026,1.000
0.026,1.000
0.027,1.000
0.028,0.998
0.029,0.998
0.030,0.997
0.032,0.995
0.034,0.994
0.037,0.993
0.040,0.993
0.044,0.992
0.048,0.991
0.053,0.989
0.058,0.989
0.064,0.986
0.070,0.985
0.076,0.983
0.083,0.983
0.089,0.982
0.095,0.982
0.102,0.982
0.108,0.979
0.115,0.977
0.122,0.977
0.128,0.976
0.134,0.976
0.140,0.974
0.146,0.974
0.153,0.974
0.159,0.972
0.166,0.972
0.171,0.972
0.176,0.972
0.182,0.971
0.187,0.971
0.192,0.971
0.197,0.971
0.202,0.970
0.208,0.970
0.213,0.968
0.218,0.968
0.223,0.968
0.227,0.966
0.231,0.966
0.236,0.966
0.240,0.966
0.245,0.966
0.249,0.966
0.254,0.964
0.256,0.961
0.259,0.961
0.262,0.959
0.267,0.956
0.270,0.956
0.274,0.956
0.279,0.956
0.284,0.955
0.288,0.954
0.292,0.953
0.295,0.951
0.299,0.951
0.303,0.951
0.306,0.949
0.310,0.949
0.313,0.949
0.317,0.949
0.320,0.949
0.324,0.949
0.328,0.949
0.331,0.949
0.334,0.949
0.337,0.949
0.340,0.949
0.344,0.949
0.348,0.949
0.350,0.948
0.353,0.948
0.356,0.948
0.359,0.947
0.362,0.947
0.365,0.946
0.367,0.946
0.370,0.946
0.373,0.946
0.377,0.945
0.380,0.945
0.382,0.945
0.384,0.945
0.387,0.945
0.389,0.943
0.392,0.941
0.395,0.940
0.397,0.939
0.400,0.939
0.403,0.939
0.405,0.939
0.408,0.939
0.411,0.939
0.414,0.938
0.416,0.938
0.419,0.938
0.422,0.938
0.425,0.938
0.427,0.938
0.429,0.938
0.433,0.938
0.436,0.938
0.438,0.937
0.441,0.937
0.442,0.937
0.445,0.937
0.448,0.937
0.451,0.936
0.452,0.936
0.456,0.935
0.458,0.933
0.462,0.932
0.463,0.931
0.464,0.931
0.466,0.931
0.469,0.931
0.470,0.931
0.474,0.931
0.476,0.931
0.480,0.931
0.481,0.931
0.483,0.930
0.486,0.930
0.488,0.930
0.491,0.930
0.494,0.930
0.496,0.930
0.498,0.930
0.499,0.929
0.501,0.928
0.504,0.928
0.507,0.928
0.508,0.928
0.510,0.928
0.512,0.928
0.514,0.928
0.516,0.928
0.520,0.928
0.521,0.928
0.522,0.927
0.523,0.927
0.525,0.927
0.527,0.927
0.528,0.927
0.530,0.927
0.532,0.925
0.532,0.925
0.535,0.925
0.536,0.925
0.536,0.923
0.538,0.923
0.541,0.923
0.542,0.923
0.543,0.922
0.546,0.922
0.546,0.921
0.548,0.921
0.551,0.921
0.553,0.921
0.554,0.920
0.558,0.920
0.560,0.920
0.562,0.920
0.563,0.920
0.564,0.920
0.566,0.920
0.568,0.920
0.568,0.920
0.571,0.920
0.572,0.920
0.573,0.920
0.575,0.920
0.575,0.920
0.578,0.920
0.580,0.920
0.580,0.920
0.581,0.920
0.583,0.920
