class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.963,0.998,0.938,0.938,32,30.0,2.0
ALFL,0.969,0.998,0.909,0.870,46,40.0,4.0
AMBI,0.639,0.977,0.667,0.222,9,2.0,1.0
AMCR,0.884,0.995,0.923,0.480,25,12.0,1.0
AMRO,0.876,0.998,1.000,0.500,12,6.0,0.0
BADO,0.998,1.000,1.000,0.818,22,18.0,0.0
BBWA,1.000,1.000,1.000,0.667,6,4.0,0.0
BCCH,0.867,0.998,0.900,0.900,10,9.0,1.0
BEKI,0.925,0.998,1.000,0.875,8,7.0,0.0
BLJA,0.912,0.996,0.929,0.650,20,13.0,1.0
BRCR,0.755,0.996,0.778,0.500,14,7.0,2.0
BTNW,0.967,0.999,1.000,0.895,19,17.0,0.0
CANG,0.735,0.999,0.600,1.000,6,6.0,4.0
CEDW,0.821,0.992,0.824,0.609,23,14.0,3.0
CHSP,0.965,0.997,1.000,0.593,54,32.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.992,1.000,0.955,0.955,22,21.0,1.0
DEJU,0.748,0.994,0.615,0.727,11,8.0,5.0
EAKI,0.968,1.000,0.857,0.857,7,6.0,1.0
EATO,0.972,1.000,1.000,0.636,11,7.0,0.0
EAWP,0.995,1.000,0.964,0.900,30,27.0,1.0
FISP,0.971,0.999,1.000,0.750,12,9.0,0.0
GCKI,0.974,1.000,1.000,0.500,12,6.0,0.0
GHOW,0.740,0.930,1.000,0.143,28,4.0,0.0
HETH,0.630,0.899,0.923,0.279,43,12.0,1.0
NHWR,0.989,1.000,1.000,0.889,9,8.0,0.0
NOCA,0.963,0.997,1.000,0.783,23,18.0,0.0
NOFL,0.977,1.000,0.769,1.000,10,10.0,3.0
OVEN,0.983,1.000,0.900,0.900,10,9.0,1.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,1.000,1.000,1.000,0.538,13,7.0,0.0
RWBL,0.970,0.997,1.000,0.838,37,31.0,0.0
SWSP,0.863,0.991,1.000,0.333,39,13.0,0.0
SWTH,0.909,0.999,0.818,0.900,10,9.0,2.0
TEWA,0.915,0.982,1.000,0.522,46,24.0,0.0
TRUS,1.000,1.000,1.000,0.625,8,5.0,0.0
VEER,0.950,1.000,1.000,0.500,4,2.0,0.0
WAVI,0.909,0.998,0.889,0.800,10,8.0,1.0
WETA,1.000,1.000,0.917,1.000,11,11.0,1.0
WISN,0.924,0.992,1.000,0.710,31,22.0,0.0
WIWA,0.929,0.999,0.875,0.778,9,7.0,1.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,0.950,1.000,1.000,0.750,4,3.0,0.0
WTSP,0.845,0.968,1.000,0.372,43,16.0,0.0
YEWA,0.912,0.997,1.000,0.562,16,9.0,0.0
