roc_recall,one_minus_fpr,roc_precision
0.000,1.000,1.000
0.010,1.000,1.000
0.020,1.000,1.000
0.030,1.000,1.000
0.040,1.000,1.000
0.050,1.000,1.000
0.060,1.000,0.999
0.070,1.000,0.980
0.080,1.000,0.981
0.090,1.000,0.982
0.100,1.000,0.985
0.110,1.000,0.987
0.120,1.000,0.989
0.130,1.000,0.990
0.140,1.000,0.982
0.150,1.000,0.982
0.160,1.000,0.983
0.170,1.000,0.984
0.180,1.000,0.985
0.190,1.000,0.986
0.200,1.000,0.987
0.210,1.000,0.988
0.220,1.000,0.989
0.230,1.000,0.989
0.240,1.000,0.989
0.250,1.000,0.985
0.260,1.000,0.986
0.270,1.000,0.986
0.280,1.000,0.987
0.290,1.000,0.987
0.300,1.000,0.988
0.310,1.000,0.986
0.320,1.000,0.985
0.330,1.000,0.985
0.340,1.000,0.985
0.350,1.000,0.986
0.360,1.000,0.986
0.370,1.000,0.986
0.380,1.000,0.987
0.390,1.000,0.987
0.400,1.000,0.988
0.410,1.000,0.986
0.420,1.000,0.986
0.430,1.000,0.986
0.440,1.000,0.986
0.450,1.000,0.987
0.460,1.000,0.987
0.470,1.000,0.987
0.480,1.000,0.987
0.490,1.000,0.988
0.500,1.000,0.987
0.510,1.000,0.986
0.520,1.000,0.986
0.530,1.000,0.984
0.540,1.000,0.985
0.550,1.000,0.985
0.560,1.000,0.980
0.570,1.000,0.979
0.580,1.000,0.980
0.590,1.000,0.979
0.600,1.000,0.977
0.610,1.000,0.975
0.620,1.000,0.974
0.630,0.999,0.972
0.640,0.999,0.972
0.650,0.999,0.971
0.660,0.999,0.967
0.670,0.999,0.964
0.680,0.999,0.961
0.690,0.999,0.958
0.700,0.999,0.957
0.710,0.999,0.956
0.720,0.999,0.953
0.730,0.999,0.954
0.740,0.999,0.953
0.750,0.999,0.951
0.760,0.999,0.947
0.770,0.998,0.942
0.780,0.998,0.935
0.790,0.998,0.935
0.800,0.998,0.933
0.810,0.998,0.931
0.820,0.997,0.920
0.830,0.997,0.907
0.840,0.997,0.904
0.850,0.996,0.892
0.860,0.995,0.878
0.870,0.994,0.859
0.880,0.993,0.836
0.890,0.991,0.815
0.900,0.989,0.773
0.910,0.988,0.751
0.920,0.985,0.719
0.930,0.979,0.675
0.940,0.975,0.660
0.950,0.970,0.642
0.960,0.952,0.594
0.970,0.930,0.558
0.980,0.879,0.520
0.990,0.813,0.502
1.000,0.407,0.251
1.010,0.000,0.000
