recording,segment,TP count,FP count,FN count,TP class,FP class,FN class
file001,0,1.0,0.0,0.0,EAWP ,,
file001,1,1.0,0.0,0.0,EAWP ,,
file001,2,1.0,0.0,0.0,EAWP ,,
file001,3,1.0,0.0,1.0,EAWP ,,WISN 
file001,4,1.0,0.0,1.0,EAWP ,,WISN 
file001,5,1.0,0.0,0.0,EAWP ,,
file001,6,1.0,0.0,0.0,EAWP ,,
file001,7,2.0,0.0,0.0,EAWP WISN ,,
file001,8,1.0,0.0,1.0,EAWP ,,WISN 
file001,9,1.0,0.0,0.0,EAWP ,,
file001,10,1.0,0.0,0.0,EAWP ,,
file001,11,1.0,0.0,0.0,EAWP ,,
file001,12,1.0,0.0,0.0,EAWP ,,
file001,13,1.0,0.0,0.0,EAWP ,,
file001,14,1.0,0.0,0.0,EAWP ,,
file001,15,2.0,0.0,0.0,EAWP WISN ,,
file001,16,1.0,0.0,0.0,EAWP ,,
file001,17,0.0,0.0,0.0,,,
file001,18,0.0,0.0,0.0,,,
file001,19,0.0,0.0,0.0,,,
file002,0,0.0,0.0,1.0,,,WISN 
file002,1,1.0,0.0,0.0,WISN ,,
file002,2,1.0,0.0,0.0,WISN ,,
file002,3,1.0,0.0,0.0,WISN ,,
file002,4,1.0,0.0,0.0,WISN ,,
file002,5,1.0,0.0,0.0,WISN ,,
file002,6,1.0,0.0,0.0,WISN ,,
file002,7,1.0,0.0,0.0,WISN ,,
file002,8,0.0,0.0,1.0,,,WISN 
file002,9,0.0,0.0,1.0,,,WISN 
file002,10,1.0,0.0,0.0,WISN ,,
file002,11,1.0,0.0,0.0,WISN ,,
file002,12,1.0,0.0,0.0,WISN ,,
file002,13,1.0,0.0,0.0,WISN ,,
file002,14,1.0,0.0,0.0,WISN ,,
file002,15,0.0,0.0,1.0,,,WISN 
file002,16,1.0,0.0,0.0,WISN ,,
file002,17,1.0,0.0,0.0,WISN ,,
file002,18,1.0,0.0,0.0,WISN ,,
file002,19,1.0,0.0,0.0,WISN ,,
file003,0,0.0,0.0,0.0,,,
file003,1,1.0,0.0,0.0,YEWA ,,
file003,2,1.0,0.0,0.0,SWSP ,,
file003,3,1.0,1.0,0.0,COYE ,CANG ,
file003,4,0.0,0.0,0.0,,,
file003,5,2.0,0.0,0.0,SWSP YEWA ,,
file003,6,0.0,1.0,2.0,,NOFL ,BCCH SWSP 
file003,7,0.0,1.0,1.0,,NOFL ,SWSP 
file003,8,1.0,0.0,3.0,YEWA ,,COYE RWBL SWSP 
file003,9,1.0,0.0,2.0,COYE ,,AMCR SWSP 
file003,10,1.0,0.0,2.0,COYE ,,AMCR SWSP 
file003,11,1.0,0.0,2.0,RWBL ,,SWSP YEWA 
file003,12,1.0,0.0,2.0,SWSP ,,AMCR YEWA 
file003,13,3.0,0.0,0.0,AMCR COYE SWSP ,,
file003,14,2.0,0.0,1.0,AMCR COYE ,,SWSP 
file003,15,1.0,0.0,2.0,YEWA ,,RWBL SWSP 
file003,16,2.0,0.0,1.0,AMCR YEWA ,,SWSP 
file003,17,0.0,0.0,1.0,,,AMCR 
file003,18,1.0,0.0,1.0,COYE ,,AMCR 
file003,19,1.0,0.0,2.0,YEWA ,,AMCR SWSP 
file004,0,1.0,0.0,0.0,AGOL ,,
file004,1,1.0,0.0,1.0,AGOL ,,SWSP 
file004,2,1.0,1.0,1.0,AGOL ,DEJU ,SWSP 
file004,3,1.0,0.0,0.0,AGOL ,,
file004,4,1.0,0.0,0.0,AGOL ,,
file004,5,1.0,0.0,0.0,AGOL ,,
file004,6,1.0,0.0,0.0,AGOL ,,
file004,7,1.0,0.0,0.0,AGOL ,,
file004,8,1.0,0.0,0.0,AGOL ,,
file004,9,1.0,0.0,0.0,AGOL ,,
file004,10,1.0,0.0,0.0,AGOL ,,
file004,11,2.0,0.0,0.0,AGOL SWSP ,,
file004,12,2.0,0.0,0.0,AGOL SWSP ,,
file004,13,1.0,0.0,0.0,AGOL ,,
file004,14,1.0,0.0,0.0,AGOL ,,
file004,15,1.0,0.0,0.0,AGOL ,,
file004,16,1.0,0.0,0.0,AGOL ,,
file004,17,1.0,0.0,0.0,AGOL ,,
file004,18,1.0,0.0,0.0,AGOL ,,
file004,19,1.0,0.0,0.0,AGOL ,,
file005,0,1.0,0.0,0.0,EAWP ,,
file005,1,1.0,0.0,0.0,EAWP ,,
file005,2,0.0,0.0,0.0,,,
file005,3,0.0,1.0,0.0,,EAWP ,
file005,4,1.0,0.0,0.0,EAWP ,,
file005,5,0.0,1.0,1.0,,WETA ,EAWP 
file005,6,1.0,0.0,0.0,EAWP ,,
file005,7,1.0,0.0,0.0,EAWP ,,
file005,8,0.0,0.0,0.0,,,
file005,9,1.0,0.0,0.0,EAWP ,,
file005,10,1.0,0.0,0.0,EAWP ,,
file005,11,0.0,1.0,0.0,,ALFL ,
file005,12,1.0,0.0,0.0,EAWP ,,
file005,13,2.0,0.0,0.0,AMCR EAWP ,,
file005,14,0.0,0.0,1.0,,,EAWP 
file005,15,0.0,0.0,0.0,,,
file005,16,2.0,0.0,0.0,AGOL EAWP ,,
file005,17,2.0,0.0,0.0,AGOL EAWP ,,
file005,18,1.0,0.0,0.0,AGOL ,,
file005,19,1.0,0.0,0.0,AGOL ,,
file006,0,0.0,0.0,1.0,,,ALFL 
file006,1,1.0,0.0,0.0,ALFL ,,
file006,2,1.0,0.0,0.0,ALFL ,,
file006,3,1.0,0.0,0.0,ALFL ,,
file006,4,1.0,0.0,0.0,ALFL ,,
file006,5,1.0,0.0,0.0,ALFL ,,
file006,6,1.0,0.0,0.0,ALFL ,,
file006,7,1.0,0.0,0.0,ALFL ,,
file006,8,1.0,0.0,0.0,ALFL ,,
file006,9,1.0,0.0,0.0,ALFL ,,
file006,10,1.0,0.0,0.0,ALFL ,,
file006,11,1.0,0.0,0.0,ALFL ,,
file006,12,1.0,0.0,0.0,ALFL ,,
file006,13,1.0,0.0,0.0,ALFL ,,
file006,14,0.0,0.0,1.0,,,ALFL 
file006,15,0.0,0.0,1.0,,,ALFL 
file006,16,1.0,0.0,0.0,ALFL ,,
file006,17,2.0,0.0,0.0,ALFL AMCR ,,
file006,18,1.0,0.0,1.0,AMCR ,,ALFL 
file006,19,1.0,0.0,0.0,ALFL ,,
file007,0,0.0,0.0,0.0,,,
file007,1,0.0,0.0,0.0,,,
file007,2,1.0,0.0,0.0,BADO ,,
file007,3,1.0,0.0,0.0,BADO ,,
file007,4,0.0,0.0,0.0,,,
file007,5,1.0,0.0,0.0,BADO ,,
file007,6,1.0,0.0,0.0,BADO ,,
file007,7,0.0,0.0,0.0,,,
file007,8,0.0,0.0,0.0,,,
file007,9,1.0,0.0,0.0,BADO ,,
file007,10,0.0,0.0,0.0,,,
file007,11,0.0,0.0,0.0,,,
file007,12,0.0,0.0,0.0,,,
file007,13,1.0,0.0,0.0,BADO ,,
file007,14,0.0,0.0,0.0,,,
file007,15,0.0,0.0,0.0,,,
file007,16,0.0,0.0,0.0,,,
file007,17,1.0,0.0,0.0,BADO ,,
file007,18,1.0,0.0,0.0,BADO ,,
file007,19,0.0,0.0,0.0,,,
file008,0,1.0,0.0,0.0,BADO ,,
file008,1,1.0,0.0,0.0,BADO ,,
file008,2,1.0,0.0,0.0,BADO ,,
file008,3,0.0,0.0,1.0,,,BADO 
file008,4,0.0,0.0,0.0,,,
file008,5,0.0,1.0,0.0,,CANG ,
file008,6,0.0,0.0,0.0,,,
file008,7,1.0,0.0,0.0,BADO ,,
file008,8,1.0,0.0,0.0,BADO ,,
file008,9,0.0,0.0,1.0,,,BADO 
file008,10,1.0,0.0,0.0,BADO ,,
file008,11,1.0,0.0,0.0,BADO ,,
file008,12,1.0,0.0,0.0,BADO ,,
file008,13,0.0,1.0,0.0,,BADO ,
file008,14,0.0,0.0,0.0,,,
file008,15,1.0,0.0,0.0,BADO ,,
file008,16,1.0,0.0,0.0,BADO ,,
file008,17,1.0,0.0,0.0,BADO ,,
file008,18,0.0,0.0,0.0,,,
file008,19,1.0,0.0,0.0,BADO ,,
file009,0,1.0,0.0,2.0,BLJA ,,AMCR RWBL 
file009,1,2.0,0.0,1.0,BLJA RWBL ,,AMCR 
file009,2,1.0,0.0,2.0,RWBL ,,AMCR BLJA 
file009,3,1.0,0.0,2.0,AMCR ,,BLJA RWBL 
file009,4,2.0,2.0,1.0,BLJA RWBL ,BCCH CANG ,AMCR 
file009,5,3.0,0.0,0.0,AMCR BLJA RWBL ,,
file010,0,1.0,0.0,0.0,BCCH ,,
file010,1,1.0,0.0,0.0,BCCH ,,
file010,2,1.0,0.0,0.0,BCCH ,,
file010,3,1.0,0.0,0.0,BCCH ,,
file010,4,0.0,0.0,0.0,,,
file010,5,1.0,0.0,0.0,BCCH ,,
file010,6,1.0,0.0,0.0,BCCH ,,
file011,0,0.0,0.0,1.0,,,CANG 
file011,1,1.0,0.0,0.0,CANG ,,
file011,2,1.0,0.0,0.0,CANG ,,
file011,3,1.0,0.0,0.0,CANG ,,
file011,4,1.0,0.0,0.0,CANG ,,
file011,5,1.0,0.0,0.0,CANG ,,
file012,0,1.0,1.0,0.0,RWBL ,AGOL ,
file012,1,1.0,1.0,0.0,RWBL ,AGOL ,
file012,2,1.0,0.0,0.0,RWBL ,,
file012,3,1.0,0.0,0.0,RWBL ,,
file012,4,1.0,0.0,0.0,RWBL ,,
file012,5,1.0,0.0,0.0,RWBL ,,
file012,6,1.0,0.0,0.0,RWBL ,,
file012,7,1.0,0.0,0.0,RWBL ,,
file012,8,1.0,0.0,0.0,RWBL ,,
file012,9,1.0,0.0,0.0,RWBL ,,
file012,10,1.0,0.0,0.0,RWBL ,,
file012,11,1.0,0.0,0.0,RWBL ,,
file012,12,1.0,0.0,0.0,RWBL ,,
file012,13,1.0,0.0,0.0,RWBL ,,
file012,14,1.0,0.0,0.0,RWBL ,,
file012,15,1.0,0.0,0.0,RWBL ,,
file012,16,1.0,0.0,0.0,RWBL ,,
file012,17,0.0,0.0,1.0,,,RWBL 
file012,18,1.0,0.0,0.0,RWBL ,,
file012,19,1.0,0.0,0.0,RWBL ,,
file013,0,0.0,0.0,0.0,,,
file013,1,0.0,1.0,0.0,,BCCH ,
file013,2,0.0,0.0,0.0,,,
