threshold,precision,recall
0.005,0.025,1.000
0.007,0.025,1.000
0.008,0.025,1.000
0.011,0.025,1.000
0.012,0.025,1.000
0.013,0.025,1.000
0.014,0.025,1.000
0.015,0.025,1.000
0.016,0.025,1.000
0.017,0.025,1.000
0.018,0.025,1.000
0.019,0.025,1.000
0.020,0.025,1.000
0.021,0.025,1.000
0.022,0.025,1.000
0.023,0.025,1.000
0.024,0.026,1.000
0.025,0.026,0.999
0.026,0.027,0.999
0.027,0.029,0.998
0.028,0.031,0.993
0.029,0.034,0.990
0.030,0.039,0.987
0.031,0.046,0.984
0.032,0.055,0.983
0.033,0.066,0.980
0.034,0.078,0.975
0.035,0.092,0.970
0.036,0.107,0.963
0.037,0.125,0.961
0.038,0.142,0.959
0.039,0.158,0.956
0.040,0.175,0.954
0.041,0.191,0.949
0.042,0.206,0.948
0.043,0.220,0.945
0.044,0.235,0.941
0.045,0.248,0.938
0.046,0.260,0.932
0.047,0.273,0.931
0.048,0.285,0.930
0.049,0.296,0.927
0.050,0.308,0.924
0.051,0.319,0.921
0.052,0.329,0.917
0.053,0.339,0.915
0.054,0.348,0.914
0.055,0.356,0.913
0.056,0.366,0.910
0.057,0.377,0.910
0.058,0.384,0.906
0.059,0.392,0.905
0.060,0.400,0.905
0.061,0.407,0.905
0.062,0.414,0.904
0.063,0.419,0.902
0.064,0.427,0.901
0.065,0.432,0.900
0.066,0.439,0.900
0.067,0.446,0.899
0.068,0.451,0.898
0.069,0.458,0.897
0.070,0.463,0.896
0.071,0.466,0.894
0.072,0.471,0.893
0.073,0.476,0.893
0.074,0.480,0.892
0.075,0.487,0.892
0.076,0.491,0.892
0.077,0.495,0.891
0.078,0.498,0.889
0.079,0.502,0.886
0.080,0.506,0.884
0.081,0.510,0.882
0.082,0.515,0.882
0.083,0.519,0.878
0.084,0.522,0.877
0.085,0.526,0.877
0.086,0.530,0.877
0.087,0.535,0.875
0.088,0.537,0.874
0.089,0.540,0.874
0.090,0.545,0.874
0.091,0.548,0.873
0.092,0.552,0.873
0.093,0.555,0.870
0.094,0.558,0.870
0.095,0.561,0.870
0.096,0.562,0.868
0.097,0.565,0.868
