threshold,true positive rate,false positive rate
0.015,1.000,1.000
0.016,1.000,1.000
0.017,1.000,1.000
0.018,1.000,1.000
0.019,1.000,1.000
0.020,1.000,1.000
0.021,1.000,0.999
0.022,1.000,0.998
0.023,1.000,0.996
0.024,1.000,0.994
0.025,1.000,0.989
0.026,1.000,0.980
0.027,1.000,0.966
0.028,1.000,0.945
0.029,1.000,0.917
0.030,1.000,0.877
0.031,1.000,0.831
0.032,1.000,0.777
0.033,1.000,0.718
0.034,1.000,0.657
0.035,1.000,0.599
0.036,1.000,0.544
0.037,1.000,0.494
0.038,1.000,0.448
0.039,1.000,0.405
0.040,0.999,0.370
0.041,0.998,0.338
0.042,0.997,0.310
0.043,0.997,0.286
0.044,0.993,0.264
0.045,0.991,0.246
0.046,0.991,0.230
0.047,0.991,0.216
0.048,0.991,0.203
0.049,0.991,0.192
0.050,0.991,0.182
0.051,0.990,0.172
0.052,0.987,0.163
0.053,0.986,0.157
0.054,0.984,0.150
0.055,0.983,0.144
0.056,0.983,0.139
0.057,0.982,0.133
0.058,0.980,0.127
0.059,0.978,0.123
0.060,0.978,0.119
0.061,0.977,0.115
0.062,0.976,0.111
0.063,0.976,0.107
0.064,0.976,0.104
0.065,0.976,0.100
0.066,0.972,0.097
0.067,0.972,0.094
0.068,0.972,0.092
0.069,0.972,0.089
0.070,0.972,0.087
0.071,0.972,0.084
0.072,0.971,0.082
0.073,0.971,0.080
0.074,0.970,0.078
0.075,0.970,0.076
0.076,0.968,0.074
0.077,0.968,0.073
0.078,0.968,0.071
0.079,0.968,0.069
0.080,0.967,0.068
0.081,0.967,0.066
0.082,0.967,0.064
0.083,0.967,0.063
0.084,0.966,0.062
0.085,0.964,0.061
0.086,0.962,0.060
0.087,0.961,0.059
0.088,0.961,0.058
0.089,0.959,0.057
0.090,0.959,0.056
0.091,0.959,0.055
0.092,0.959,0.054
0.093,0.958,0.053
0.094,0.958,0.052
0.095,0.956,0.051
0.096,0.955,0.051
0.097,0.955,0.050
0.098,0.955,0.049
0.099,0.955,0.048
0.100,0.955,0.047
0.101,0.955,0.046
0.102,0.955,0.046
0.103,0.953,0.045
0.104,0.953,0.044
0.105,0.952,0.044
0.106,0.951,0.043
0.107,0.951,0.043
0.108,0.949,0.042
0.109,0.949,0.042
0.110,0.949,0.041
0.111,0.949,0.041
0.112,0.949,0.040
0.113,0.948,0.040
0.114,0.948,0.039
0.115,0.948,0.039
0.116,0.948,0.038
0.117,0.948,0.038
0.118,0.948,0.038
0.119,0.947,0.037
0.120,0.946,0.037
0.121,0.945,0.037
0.122,0.945,0.036
0.123,0.943,0.036
0.124,0.943,0.036
0.125,0.941,0.035
0.126,0.941,0.035
0.127,0.940,0.034
0.128,0.940,0.034
0.129,0.940,0.033
0.130,0.939,0.033
0.131,0.939,0.033
0.132,0.939,0.032
0.133,0.938,0.032
0.134,0.938,0.031
0.135,0.938,0.031
0.136,0.938,0.031
0.137,0.938,0.030
0.138,0.938,0.030
0.139,0.938,0.030
0.140,0.938,0.029
0.141,0.936,0.029
0.142,0.936,0.029
0.143,0.936,0.028
0.145,0.936,0.028
0.146,0.936,0.027
0.147,0.935,0.027
0.148,0.933,0.027
0.149,0.933,0.027
0.150,0.933,0.027
0.151,0.933,0.026
0.152,0.933,0.026
0.153,0.933,0.026
0.155,0.933,0.026
0.156,0.932,0.025
0.157,0.931,0.025
0.158,0.931,0.025
0.159,0.931,0.025
0.160,0.930,0.025
0.161,0.930,0.024
0.162,0.929,0.024
0.163,0.929,0.024
0.164,0.927,0.024
0.166,0.927,0.023
0.167,0.927,0.023
0.168,0.927,0.023
0.169,0.927,0.023
0.170,0.924,0.022
0.171,0.924,0.022
0.172,0.923,0.022
0.173,0.923,0.022
0.174,0.923,0.022
0.175,0.923,0.022
0.176,0.923,0.021
0.177,0.922,0.021
0.178,0.922,0.021
0.179,0.922,0.021
0.180,0.922,0.020
0.181,0.922,0.020
0.182,0.921,0.020
0.183,0.920,0.020
0.184,0.920,0.020
0.185,0.918,0.020
0.186,0.917,0.020
0.187,0.917,0.020
0.188,0.916,0.019
0.189,0.916,0.019
0.190,0.915,0.019
0.191,0.915,0.019
0.192,0.913,0.019
0.193,0.913,0.019
0.194,0.913,0.019
0.195,0.913,0.019
0.196,0.913,0.019
0.197,0.913,0.018
0.198,0.913,0.018
0.199,0.913,0.018
0.200,0.913,0.018
0.201,0.912,0.018
0.202,0.912,0.018
0.203,0.910,0.018
0.204,0.909,0.018
0.205,0.908,0.017
0.206,0.908,0.017
0.208,0.907,0.017
0.209,0.907,0.017
0.210,0.907,0.017
0.211,0.906,0.017
0.212,0.906,0.017
0.213,0.905,0.017
0.215,0.905,0.016
0.216,0.905,0.016
0.219,0.905,0.016
0.220,0.904,0.016
0.221,0.904,0.016
0.222,0.904,0.016
0.223,0.904,0.016
0.224,0.902,0.016
0.225,0.902,0.016
0.226,0.902,0.016
0.227,0.902,0.016
0.228,0.901,0.016
0.229,0.901,0.016
0.230,0.901,0.015
0.231,0.901,0.015
0.234,0.901,0.015
0.237,0.901,0.015
0.238,0.900,0.015
0.239,0.900,0.015
0.241,0.900,0.014
0.242,0.899,0.014
0.244,0.899,0.014
0.245,0.899,0.014
0.246,0.899,0.014
0.247,0.899,0.014
0.250,0.899,0.014
0.251,0.897,0.013
0.252,0.897,0.013
0.255,0.897,0.013
0.258,0.897,0.013
0.259,0.896,0.013
0.260,0.896,0.013
0.262,0.896,0.013
0.264,0.896,0.013
0.267,0.896,0.013
0.269,0.896,0.012
0.272,0.894,0.012
0.273,0.894,0.012
0.275,0.894,0.012
0.276,0.893,0.012
0.277,0.893,0.012
0.278,0.891,0.012
0.281,0.891,0.012
0.282,0.890,0.012
0.283,0.890,0.012
0.284,0.890,0.012
0.286,0.890,0.012
0.288,0.890,0.012
0.290,0.889,0.012
0.291,0.889,0.012
0.292,0.889,0.011
0.293,0.889,0.011
0.295,0.889,0.011
0.297,0.889,0.011
0.300,0.889,0.011
0.301,0.889,0.011
0.302,0.889,0.011
0.303,0.889,0.011
0.304,0.889,0.011
0.305,0.889,0.011
0.306,0.889,0.011
0.308,0.889,0.011
0.309,0.889,0.010
0.310,0.889,0.010
0.311,0.887,0.010
0.313,0.886,0.010
0.314,0.885,0.010
0.315,0.884,0.010
0.316,0.884,0.010
0.317,0.884,0.010
0.319,0.884,0.010
0.320,0.883,0.010
0.322,0.883,0.010
0.323,0.882,0.010
0.324,0.882,0.010
0.325,0.881,0.010
0.327,0.881,0.009
0.328,0.881,0.009
0.329,0.881,0.009
0.331,0.878,0.009
0.332,0.877,0.009
0.334,0.877,0.009
0.335,0.877,0.009
0.336,0.877,0.009
0.337,0.876,0.009
0.339,0.876,0.009
0.340,0.875,0.009
0.341,0.875,0.009
0.342,0.875,0.009
0.343,0.874,0.009
0.345,0.873,0.009
0.347,0.873,0.009
0.348,0.871,0.009
0.351,0.871,0.009
0.353,0.871,0.008
0.354,0.871,0.008
0.355,0.871,0.008
0.356,0.870,0.008
0.357,0.869,0.008
0.358,0.869,0.008
0.359,0.869,0.008
0.362,0.869,0.008
0.363,0.869,0.008
0.364,0.869,0.008
0.365,0.869,0.008
0.367,0.869,0.008
0.375,0.869,0.008
0.380,0.869,0.008
0.381,0.868,0.008
0.384,0.867,0.008
0.385,0.867,0.007
0.387,0.867,0.007
0.389,0.866,0.007
0.391,0.865,0.007
0.392,0.865,0.007
0.393,0.863,0.007
0.395,0.863,0.007
0.396,0.863,0.007
0.397,0.863,0.007
0.398,0.863,0.007
0.399,0.862,0.007
0.402,0.860,0.007
0.404,0.860,0.007
0.405,0.859,0.007
0.407,0.856,0.007
0.410,0.855,0.007
0.414,0.855,0.007
0.415,0.855,0.007
0.416,0.855,0.007
0.417,0.854,0.006
0.419,0.854,0.006
0.420,0.854,0.006
0.422,0.853,0.006
0.423,0.852,0.006
0.424,0.851,0.006
0.425,0.851,0.006
0.426,0.851,0.006
0.431,0.848,0.006
0.432,0.848,0.006
0.435,0.848,0.006
0.438,0.848,0.006
0.440,0.848,0.006
0.441,0.846,0.006
0.442,0.845,0.006
0.443,0.844,0.006
0.445,0.844,0.006
0.446,0.843,0.006
0.448,0.843,0.006
0.452,0.843,0.006
0.453,0.842,0.006
0.457,0.842,0.005
0.459,0.840,0.005
0.461,0.840,0.005
0.462,0.839,0.005
0.464,0.838,0.005
0.469,0.838,0.005
0.471,0.838,0.005
0.474,0.838,0.005
0.476,0.838,0.005
0.478,0.837,0.005
0.479,0.837,0.005
0.481,0.836,0.005
0.482,0.835,0.005
0.484,0.835,0.005
0.486,0.834,0.005
0.492,0.834,0.005
0.493,0.832,0.005
0.497,0.831,0.005
0.498,0.829,0.005
0.501,0.829,0.004
0.502,0.829,0.004
0.503,0.827,0.004
0.505,0.827,0.004
0.507,0.824,0.004
0.508,0.824,0.004
0.514,0.820,0.004
0.516,0.820,0.004
0.518,0.819,0.004
0.520,0.819,0.004
0.522,0.817,0.004
0.523,0.817,0.004
0.525,0.815,0.004
0.528,0.815,0.004
0.530,0.815,0.004
0.531,0.814,0.004
0.532,0.813,0.004
0.533,0.812,0.004
0.535,0.812,0.004
0.538,0.812,0.004
0.539,0.812,0.004
0.547,0.812,0.004
0.548,0.811,0.004
0.549,0.809,0.004
0.553,0.809,0.004
0.555,0.808,0.004
0.556,0.808,0.004
0.557,0.807,0.004
0.558,0.805,0.004
0.559,0.805,0.004
0.560,0.804,0.004
0.563,0.804,0.004
0.564,0.803,0.004
0.566,0.801,0.003
0.571,0.801,0.003
0.572,0.801,0.003
0.574,0.801,0.003
0.575,0.800,0.003
0.576,0.800,0.003
0.577,0.799,0.003
0.578,0.799,0.003
0.582,0.798,0.003
0.584,0.797,0.003
0.585,0.796,0.003
0.589,0.796,0.003
0.591,0.794,0.003
0.592,0.794,0.003
0.593,0.793,0.003
0.594,0.792,0.003
0.595,0.791,0.003
0.597,0.791,0.003
0.598,0.790,0.003
0.599,0.790,0.003
0.602,0.789,0.003
0.603,0.789,0.003
0.606,0.788,0.003
0.608,0.788,0.003
0.609,0.786,0.003
0.610,0.784,0.003
0.611,0.783,0.003
0.615,0.783,0.003
0.616,0.782,0.003
0.621,0.782,0.002
0.624,0.782,0.002
0.625,0.781,0.002
0.626,0.781,0.002
0.628,0.780,0.002
0.630,0.780,0.002
0.631,0.777,0.002
0.632,0.777,0.002
0.637,0.775,0.002
0.640,0.775,0.002
0.641,0.774,0.002
0.642,0.774,0.002
0.646,0.772,0.002
0.648,0.772,0.002
0.651,0.768,0.002
0.655,0.767,0.002
0.659,0.767,0.002
0.660,0.766,0.002
0.664,0.766,0.002
0.666,0.765,0.002
0.667,0.765,0.002
0.668,0.762,0.002
0.670,0.761,0.002
0.672,0.759,0.002
0.682,0.753,0.002
0.684,0.753,0.002
0.685,0.752,0.002
0.688,0.752,0.002
0.691,0.747,0.002
0.695,0.744,0.002
0.697,0.744,0.002
0.700,0.744,0.002
0.701,0.744,0.002
0.704,0.741,0.002
0.705,0.739,0.002
0.707,0.737,0.002
0.708,0.737,0.002
0.709,0.734,0.002
0.711,0.734,0.002
0.718,0.731,0.002
0.719,0.731,0.001
0.720,0.730,0.001
0.722,0.728,0.001
0.724,0.727,0.001
0.726,0.724,0.001
0.727,0.723,0.001
0.731,0.723,0.001
0.732,0.722,0.001
0.733,0.722,0.001
0.734,0.722,0.001
0.735,0.719,0.001
0.736,0.718,0.001
0.737,0.716,0.001
0.738,0.716,0.001
0.740,0.715,0.001
0.741,0.713,0.001
0.742,0.712,0.001
0.745,0.712,0.001
0.746,0.710,0.001
0.752,0.703,0.001
0.754,0.700,0.001
0.756,0.700,0.001
0.757,0.699,0.001
0.758,0.697,0.001
0.759,0.693,0.001
0.760,0.691,0.001
0.761,0.688,0.001
0.762,0.685,0.001
0.763,0.684,0.001
0.764,0.684,0.001
0.769,0.682,0.001
0.771,0.682,0.001
0.772,0.681,0.001
0.773,0.679,0.001
0.776,0.675,0.001
0.778,0.673,0.001
0.782,0.669,0.001
0.783,0.668,0.001
0.784,0.666,0.001
0.785,0.665,0.001
0.786,0.660,0.001
0.788,0.660,0.001
0.792,0.658,0.001
0.796,0.654,0.001
0.797,0.653,0.001
0.799,0.651,0.001
0.800,0.648,0.001
0.803,0.646,0.001
0.811,0.642,0.001
0.815,0.639,0.001
0.817,0.635,0.001
0.819,0.634,0.001
0.821,0.634,0.001
0.822,0.631,0.001
0.827,0.629,0.001
0.828,0.628,0.001
0.829,0.627,0.001
0.831,0.626,0.001
0.833,0.621,0.001
0.834,0.621,0.001
0.835,0.620,0.001
0.836,0.618,0.001
0.838,0.617,0.001
0.840,0.614,0.001
0.841,0.611,0.000
0.848,0.607,0.000
0.850,0.603,0.000
0.851,0.599,0.000
0.852,0.598,0.000
0.853,0.596,0.000
0.854,0.594,0.000
0.855,0.592,0.000
0.859,0.589,0.000
0.860,0.587,0.000
0.863,0.583,0.000
0.864,0.580,0.000
0.865,0.579,0.000
0.866,0.576,0.000
0.868,0.574,0.000
0.869,0.572,0.000
0.870,0.567,0.000
0.872,0.565,0.000
0.874,0.560,0.000
0.877,0.557,0.000
0.878,0.555,0.000
0.880,0.553,0.000
0.881,0.549,0.000
0.883,0.548,0.000
0.884,0.545,0.000
0.886,0.541,0.000
0.887,0.538,0.000
0.888,0.535,0.000
0.889,0.534,0.000
0.890,0.528,0.000
0.891,0.525,0.000
0.892,0.522,0.000
0.893,0.518,0.000
0.894,0.517,0.000
0.895,0.513,0.000
0.896,0.512,0.000
0.897,0.510,0.000
0.899,0.503,0.000
0.901,0.498,0.000
0.902,0.497,0.000
0.903,0.496,0.000
0.904,0.495,0.000
0.906,0.488,0.000
0.907,0.482,0.000
0.908,0.476,0.000
0.911,0.473,0.000
0.912,0.470,0.000
0.913,0.468,0.000
0.914,0.464,0.000
0.915,0.460,0.000
0.916,0.456,0.000
0.917,0.452,0.000
0.918,0.449,0.000
0.919,0.448,0.000
0.921,0.436,0.000
0.922,0.432,0.000
0.923,0.429,0.000
0.924,0.426,0.000
0.925,0.421,0.000
0.926,0.412,0.000
0.927,0.410,0.000
0.928,0.409,0.000
0.929,0.406,0.000
0.931,0.393,0.000
0.932,0.387,0.000
0.933,0.382,0.000
0.934,0.379,0.000
0.935,0.377,0.000
0.936,0.370,0.000
0.937,0.366,0.000
0.939,0.352,0.000
0.940,0.344,0.000
0.941,0.333,0.000
0.943,0.324,0.000
0.944,0.316,0.000
0.945,0.308,0.000
0.946,0.299,0.000
0.947,0.287,0.000
0.948,0.284,0.000
0.949,0.277,0.000
0.950,0.265,0.000
0.951,0.255,0.000
0.952,0.248,0.000
0.955,0.224,0.000
0.956,0.214,0.000
0.957,0.207,0.000
0.958,0.195,0.000
0.959,0.185,0.000
0.960,0.172,0.000
0.961,0.168,0.000
0.962,0.162,0.000
0.963,0.152,0.000
0.964,0.140,0.000
0.967,0.109,0.000
0.968,0.108,0.000
0.969,0.099,0.000
0.970,0.094,0.000
0.971,0.088,0.000
0.974,0.064,0.000
0.975,0.059,0.000
0.976,0.048,0.000
0.977,0.044,0.000
0.979,0.032,0.000
0.980,0.025,0.000
0.981,0.021,0.000
0.982,0.017,0.000
0.984,0.015,0.000
0.985,0.008,0.000
0.987,0.005,0.000
0.988,0.002,0.000
