threshold,true positive rate,false positive rate
0.013,1.000,1.000
0.015,1.000,1.000
0.017,1.000,1.000
0.018,1.000,1.000
0.019,1.000,0.999
0.020,1.000,0.999
0.021,1.000,0.998
0.022,1.000,0.997
0.023,1.000,0.995
0.024,1.000,0.990
0.025,1.000,0.983
0.026,1.000,0.972
0.027,1.000,0.953
0.028,1.000,0.929
0.029,1.000,0.897
0.030,1.000,0.854
0.031,1.000,0.806
0.032,1.000,0.752
0.033,1.000,0.694
0.034,1.000,0.635
0.035,0.999,0.576
0.036,0.999,0.523
0.037,0.999,0.472
0.038,0.998,0.429
0.039,0.997,0.390
0.040,0.993,0.357
0.041,0.993,0.328
0.042,0.991,0.300
0.043,0.990,0.278
0.044,0.989,0.257
0.045,0.989,0.239
0.046,0.986,0.223
0.047,0.986,0.208
0.048,0.984,0.197
0.049,0.980,0.186
0.050,0.979,0.176
0.051,0.977,0.167
0.052,0.975,0.158
0.053,0.975,0.151
0.054,0.975,0.144
0.055,0.975,0.137
0.056,0.975,0.132
0.057,0.975,0.126
0.058,0.975,0.121
0.059,0.974,0.116
0.060,0.974,0.111
0.061,0.972,0.108
0.062,0.972,0.104
0.063,0.972,0.102
0.064,0.972,0.098
0.065,0.972,0.095
0.066,0.972,0.092
0.067,0.971,0.090
0.068,0.971,0.087
0.069,0.971,0.085
0.070,0.971,0.083
0.071,0.971,0.081
0.072,0.971,0.080
0.073,0.971,0.078
0.074,0.971,0.076
0.075,0.971,0.075
0.076,0.970,0.072
0.077,0.970,0.071
0.078,0.970,0.069
0.079,0.970,0.068
0.080,0.969,0.067
0.081,0.969,0.065
0.082,0.969,0.064
0.083,0.969,0.062
0.084,0.969,0.062
0.085,0.968,0.060
0.086,0.968,0.059
0.087,0.967,0.058
0.088,0.967,0.057
0.089,0.966,0.056
0.090,0.964,0.055
0.091,0.964,0.054
0.092,0.963,0.054
0.093,0.963,0.053
0.094,0.961,0.052
0.095,0.961,0.051
0.096,0.961,0.050
0.097,0.961,0.050
0.098,0.961,0.049
0.099,0.961,0.048
0.100,0.961,0.047
0.101,0.961,0.046
0.102,0.961,0.046
0.103,0.961,0.045
0.104,0.961,0.044
0.105,0.960,0.044
0.106,0.960,0.043
0.107,0.960,0.042
0.108,0.960,0.042
0.109,0.960,0.041
0.110,0.960,0.041
0.112,0.960,0.040
0.113,0.959,0.039
0.114,0.959,0.039
0.115,0.958,0.038
0.116,0.958,0.038
0.117,0.958,0.038
0.118,0.958,0.037
0.119,0.956,0.037
0.120,0.956,0.037
0.121,0.956,0.036
0.122,0.955,0.036
0.124,0.955,0.035
0.125,0.954,0.035
0.126,0.954,0.034
0.127,0.953,0.034
0.128,0.953,0.034
0.129,0.953,0.034
0.130,0.953,0.033
0.131,0.953,0.033
0.132,0.952,0.032
0.133,0.952,0.032
0.134,0.952,0.032
0.135,0.952,0.031
0.136,0.951,0.031
0.137,0.951,0.031
0.138,0.951,0.031
0.139,0.951,0.031
0.140,0.951,0.030
0.141,0.951,0.030
0.142,0.951,0.030
0.143,0.951,0.029
0.144,0.951,0.029
0.145,0.949,0.028
0.146,0.949,0.028
0.147,0.948,0.028
0.148,0.947,0.028
0.149,0.947,0.027
0.150,0.946,0.027
0.152,0.946,0.027
0.153,0.946,0.027
0.154,0.946,0.026
0.155,0.946,0.026
0.156,0.946,0.026
0.157,0.946,0.026
0.158,0.946,0.025
0.159,0.946,0.025
0.160,0.945,0.025
0.161,0.944,0.025
0.162,0.944,0.025
0.163,0.943,0.024
0.164,0.941,0.024
0.165,0.941,0.024
0.166,0.940,0.024
0.167,0.937,0.024
0.168,0.937,0.023
0.170,0.937,0.023
0.171,0.936,0.023
0.172,0.936,0.023
0.173,0.936,0.023
0.174,0.936,0.022
0.175,0.936,0.022
0.177,0.936,0.022
0.178,0.936,0.022
0.179,0.933,0.022
0.180,0.932,0.021
0.181,0.932,0.021
0.182,0.932,0.021
0.183,0.932,0.021
0.184,0.932,0.021
0.185,0.932,0.021
0.186,0.932,0.021
0.187,0.932,0.020
0.188,0.932,0.020
0.189,0.931,0.020
0.190,0.931,0.020
0.191,0.931,0.020
0.192,0.931,0.020
0.193,0.931,0.020
0.194,0.930,0.020
0.195,0.930,0.019
0.196,0.929,0.019
0.197,0.928,0.019
0.198,0.928,0.019
0.199,0.928,0.019
0.200,0.928,0.019
0.201,0.928,0.019
0.202,0.928,0.019
0.203,0.928,0.019
0.204,0.928,0.018
0.205,0.928,0.018
0.206,0.928,0.018
0.207,0.928,0.018
0.209,0.928,0.018
0.210,0.928,0.018
0.211,0.927,0.018
0.212,0.927,0.018
0.213,0.927,0.018
0.214,0.927,0.017
0.215,0.925,0.017
0.216,0.925,0.017
0.218,0.925,0.017
0.219,0.925,0.017
0.220,0.925,0.017
0.221,0.925,0.017
0.222,0.924,0.017
0.223,0.924,0.017
0.224,0.924,0.016
0.225,0.924,0.016
0.229,0.924,0.016
0.230,0.924,0.016
0.231,0.924,0.016
0.234,0.924,0.016
0.235,0.924,0.016
0.236,0.924,0.016
0.237,0.924,0.015
0.238,0.924,0.015
0.239,0.924,0.015
0.240,0.923,0.015
0.241,0.923,0.015
0.242,0.922,0.015
0.245,0.922,0.015
0.246,0.922,0.014
0.247,0.922,0.014
0.248,0.921,0.014
0.249,0.921,0.014
0.252,0.920,0.014
0.253,0.920,0.014
0.254,0.920,0.014
0.255,0.920,0.014
0.256,0.920,0.014
0.258,0.920,0.014
0.260,0.920,0.014
0.261,0.920,0.013
0.263,0.917,0.013
0.264,0.917,0.013
0.265,0.917,0.013
0.266,0.916,0.013
0.268,0.916,0.013
0.270,0.916,0.013
0.271,0.916,0.013
0.272,0.916,0.013
0.273,0.916,0.013
0.275,0.915,0.013
0.276,0.915,0.012
0.277,0.914,0.012
0.278,0.914,0.012
0.280,0.914,0.012
0.281,0.913,0.012
0.282,0.913,0.012
