threshold,precision,recall
0.015,0.025,1.000
0.016,0.025,1.000
0.017,0.025,1.000
0.018,0.025,1.000
0.019,0.025,1.000
0.020,0.025,1.000
0.021,0.025,1.000
0.022,0.025,1.000
0.023,0.025,1.000
0.024,0.025,1.000
0.025,0.025,1.000
0.026,0.025,1.000
0.027,0.026,1.000
0.028,0.027,1.000
0.029,0.027,1.000
0.030,0.029,1.000
0.031,0.030,1.000
0.032,0.033,1.000
0.033,0.035,1.000
0.034,0.039,1.000
0.035,0.043,0.999
0.036,0.047,0.999
0.037,0.052,0.998
0.038,0.057,0.998
0.039,0.062,0.997
0.040,0.068,0.994
0.041,0.074,0.992
0.042,0.079,0.991
0.043,0.085,0.990
0.044,0.091,0.990
0.045,0.097,0.989
0.046,0.103,0.987
0.047,0.108,0.986
0.048,0.114,0.986
0.049,0.120,0.985
0.050,0.126,0.985
0.051,0.131,0.985
0.052,0.137,0.985
0.053,0.143,0.983
0.054,0.148,0.982
0.055,0.153,0.980
0.056,0.158,0.977
0.057,0.164,0.976
0.058,0.169,0.976
0.059,0.175,0.976
0.060,0.180,0.976
0.061,0.185,0.976
0.062,0.191,0.975
0.063,0.196,0.974
0.064,0.201,0.974
0.065,0.205,0.972
0.066,0.211,0.972
0.067,0.215,0.972
0.068,0.220,0.972
0.069,0.226,0.972
0.070,0.230,0.972
0.071,0.234,0.972
0.072,0.238,0.970
0.073,0.243,0.969
0.074,0.248,0.968
0.075,0.253,0.968
0.076,0.258,0.968
0.077,0.263,0.968
0.078,0.267,0.967
0.079,0.270,0.967
0.080,0.273,0.966
0.081,0.278,0.966
0.082,0.281,0.966
0.083,0.285,0.964
0.084,0.290,0.964
0.085,0.294,0.963
0.086,0.297,0.962
0.087,0.301,0.961
0.088,0.304,0.960
0.089,0.309,0.960
0.090,0.314,0.956
0.091,0.317,0.956
0.092,0.321,0.956
0.093,0.325,0.956
0.094,0.329,0.956
0.095,0.331,0.956
0.096,0.335,0.955
0.097,0.338,0.954
0.098,0.341,0.954
0.099,0.345,0.954
0.100,0.348,0.954
0.101,0.350,0.954
0.102,0.353,0.954
0.103,0.357,0.954
0.104,0.360,0.954
0.105,0.362,0.954
0.106,0.365,0.954
0.107,0.369,0.953
0.108,0.372,0.953
0.109,0.376,0.952
0.110,0.381,0.952
0.111,0.384,0.952
0.112,0.385,0.952
0.113,0.388,0.952
0.114,0.389,0.949
0.115,0.391,0.949
0.116,0.392,0.948
0.117,0.397,0.948
0.118,0.400,0.947
0.119,0.402,0.946
0.120,0.404,0.945
0.121,0.406,0.945
0.122,0.411,0.945
0.123,0.415,0.945
0.124,0.418,0.945
0.125,0.421,0.945
0.126,0.423,0.945
0.127,0.426,0.945
0.128,0.429,0.945
0.129,0.430,0.945
0.130,0.433,0.945
0.131,0.435,0.944
0.132,0.438,0.944
0.133,0.441,0.944
0.134,0.443,0.943
0.135,0.445,0.943
0.136,0.447,0.941
0.137,0.449,0.941
0.138,0.452,0.941
0.139,0.456,0.941
0.140,0.459,0.941
0.141,0.461,0.941
0.142,0.463,0.940
0.143,0.466,0.940
0.144,0.468,0.940
0.145,0.470,0.940
0.146,0.472,0.940
0.147,0.472,0.940
0.148,0.474,0.940
0.149,0.477,0.937
0.150,0.477,0.937
0.151,0.483,0.937
0.152,0.485,0.937
0.153,0.487,0.937
0.154,0.487,0.937
0.155,0.489,0.937
0.156,0.491,0.937
0.157,0.492,0.936
