class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.934,0.990,0.967,0.906,32,29.0,1.0
ALFL,0.909,0.977,0.970,0.696,46,32.0,1.0
AMBI,0.623,0.915,1.000,0.556,9,5.0,0.0
AMCR,0.753,0.960,0.909,0.400,25,10.0,1.0
AMRO,0.810,0.988,0.889,0.667,12,8.0,1.0
BADO,0.959,0.997,0.950,0.864,22,19.0,1.0
BBWA,1.000,1.000,1.000,0.500,6,3.0,0.0
BCCH,0.917,0.998,0.727,0.800,10,8.0,3.0
BEKI,0.915,0.997,1.000,0.750,8,6.0,0.0
BLJA,0.877,0.995,0.867,0.650,20,13.0,2.0
BRCR,0.558,0.990,0.667,0.286,14,4.0,2.0
BTNW,0.970,0.999,1.000,0.789,19,15.0,0.0
CANG,0.807,0.998,0.545,1.000,6,6.0,5.0
CEDW,0.765,0.990,0.800,0.522,23,12.0,3.0
CHSP,0.893,0.982,0.947,0.667,54,36.0,2.0
CMWA,1.000,1.000,0.750,1.000,6,6.0,2.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.963,0.998,1.000,0.864,22,19.0,0.0
DEJU,0.467,0.985,0.400,0.364,11,4.0,6.0
EAKI,0.982,1.000,1.000,0.857,7,6.0,0.0
EATO,0.941,0.998,1.000,0.818,11,9.0,0.0
EAWP,0.934,0.992,1.000,0.833,30,25.0,0.0
FISP,0.876,0.994,1.000,0.667,12,8.0,0.0
GCKI,0.795,0.991,1.000,0.583,12,7.0,0.0
GHOW,0.758,0.931,1.000,0.321,28,9.0,0.0
HETH,0.626,0.878,1.000,0.256,43,11.0,0.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.980,0.999,1.000,0.739,23,17.0,0.0
NOFL,0.973,1.000,0.818,0.900,10,9.0,2.0
OVEN,0.906,0.981,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.960,0.999,1.000,0.769,13,10.0,0.0
RWBL,0.956,0.990,1.000,0.757,37,28.0,0.0
SWSP,0.825,0.970,0.857,0.462,39,18.0,3.0
SWTH,1.000,1.000,0.769,1.000,10,10.0,3.0
TEWA,0.884,0.963,1.000,0.522,46,24.0,0.0
TRUS,0.975,1.000,1.000,0.500,8,4.0,0.0
VEER,1.000,1.000,1.000,0.750,4,3.0,0.0
WAVI,0.865,0.998,0.875,0.700,10,7.0,1.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.881,0.974,1.000,0.677,31,21.0,0.0
WIWA,1.000,1.000,0.818,1.000,9,9.0,2.0
WIWR,1.000,1.000,1.000,0.939,33,31.0,0.0
WOTH,0.804,0.999,0.800,1.000,4,4.0,1.0
WTSP,0.767,0.942,1.000,0.256,43,11.0,0.0
YEWA,0.910,0.968,1.000,0.562,16,9.0,0.0
