threshold,precision,recall
0.013,0.025,1.000
0.015,0.025,1.000
0.016,0.025,1.000
0.017,0.025,1.000
0.018,0.025,1.000
0.019,0.025,1.000
0.020,0.025,1.000
0.021,0.025,1.000
0.022,0.025,1.000
0.023,0.025,1.000
0.024,0.025,1.000
0.025,0.025,1.000
0.026,0.025,1.000
0.027,0.026,1.000
0.028,0.026,1.000
0.029,0.027,1.000
0.030,0.027,0.999
0.031,0.028,0.999
0.032,0.030,0.999
0.033,0.032,0.998
0.034,0.034,0.997
0.035,0.037,0.992
0.036,0.040,0.990
0.037,0.044,0.989
0.038,0.048,0.989
0.039,0.053,0.986
0.040,0.058,0.985
0.041,0.063,0.982
0.042,0.068,0.978
0.043,0.074,0.975
0.044,0.080,0.974
0.045,0.086,0.969
0.046,0.092,0.967
0.047,0.099,0.963
0.048,0.105,0.962
0.049,0.111,0.960
0.050,0.117,0.959
0.051,0.123,0.959
0.052,0.129,0.956
0.053,0.135,0.955
0.054,0.141,0.955
0.055,0.146,0.952
0.056,0.152,0.948
0.057,0.159,0.948
0.058,0.165,0.946
0.059,0.171,0.946
0.060,0.176,0.944
0.061,0.181,0.941
0.062,0.187,0.940
0.063,0.192,0.939
0.064,0.198,0.938
0.065,0.202,0.935
0.066,0.208,0.932
0.067,0.213,0.931
0.068,0.219,0.931
0.069,0.224,0.930
0.070,0.230,0.929
0.071,0.235,0.928
0.072,0.240,0.928
0.073,0.245,0.927
0.074,0.250,0.927
0.075,0.256,0.927
0.076,0.259,0.924
0.077,0.264,0.923
0.078,0.269,0.922
0.079,0.275,0.922
0.080,0.278,0.921
0.081,0.283,0.920
0.082,0.286,0.920
0.083,0.291,0.920
0.084,0.296,0.918
0.085,0.300,0.917
0.086,0.304,0.917
0.087,0.308,0.917
0.088,0.314,0.917
0.089,0.317,0.916
0.090,0.321,0.914
0.091,0.325,0.914
0.092,0.330,0.914
0.093,0.334,0.913
0.094,0.337,0.913
0.095,0.342,0.913
0.096,0.346,0.913
0.097,0.349,0.913
0.098,0.352,0.913
0.099,0.355,0.913
0.100,0.359,0.913
0.101,0.362,0.912
0.102,0.366,0.910
0.103,0.370,0.910
0.104,0.373,0.910
0.105,0.378,0.909
0.106,0.382,0.909
0.107,0.384,0.907
0.108,0.386,0.905
0.109,0.388,0.904
0.110,0.391,0.904
0.111,0.396,0.904
0.112,0.400,0.902
0.113,0.404,0.901
0.114,0.406,0.901
0.115,0.409,0.901
0.116,0.411,0.900
0.117,0.415,0.900
0.118,0.418,0.899
0.119,0.421,0.899
0.120,0.424,0.898
0.121,0.427,0.897
0.122,0.430,0.897
0.123,0.433,0.894
0.124,0.436,0.894
0.125,0.440,0.894
0.126,0.443,0.894
0.127,0.447,0.894
0.128,0.450,0.894
0.129,0.453,0.893
0.130,0.454,0.893
0.131,0.457,0.891
0.132,0.459,0.889
0.133,0.462,0.889
0.134,0.466,0.889
0.135,0.468,0.887
0.136,0.470,0.886
0.137,0.473,0.886
0.138,0.476,0.886
0.139,0.480,0.886
0.140,0.482,0.886
0.141,0.486,0.886
0.142,0.487,0.886
0.143,0.492,0.886
0.144,0.494,0.886
0.145,0.497,0.886
0.146,0.499,0.886
0.147,0.501,0.885
0.148,0.505,0.884
0.149,0.506,0.882
0.150,0.509,0.882
0.151,0.510,0.881
0.152,0.512,0.881
0.153,0.515,0.881
0.154,0.517,0.881
0.155,0.519,0.881
0.156,0.521,0.881
0.157,0.522,0.881
0.158,0.526,0.879
0.159,0.529,0.879
0.160,0.530,0.879
0.161,0.533,0.879
0.162,0.534,0.878
0.163,0.536,0.877
0.164,0.537,0.876
0.165,0.539,0.876
0.166,0.542,0.876
0.167,0.543,0.875
0.168,0.544,0.873
0.169,0.545,0.873
0.170,0.547,0.871
0.171,0.549,0.871
0.172,0.553,0.871
0.173,0.556,0.871
0.174,0.557,0.871
0.175,0.559,0.871
0.176,0.561,0.869
0.177,0.562,0.869
0.178,0.564,0.869
0.179,0.566,0.869
0.180,0.567,0.869
0.181,0.569,0.868
0.182,0.571,0.868
0.183,0.571,0.868
0.184,0.573,0.868
0.185,0.573,0.867
0.186,0.574,0.867
0.187,0.575,0.865
0.188,0.577,0.862
0.189,0.577,0.861
0.190,0.578,0.860
0.191,0.578,0.859
0.192,0.581,0.859
0.193,0.582,0.859
0.194,0.583,0.859
0.195,0.585,0.859
0.196,0.586,0.856
0.197,0.588,0.856
0.198,0.589,0.856
0.199,0.590,0.856
0.200,0.593,0.856
0.201,0.594,0.856
0.202,0.596,0.855
0.203,0.597,0.855
0.204,0.599,0.855
