threshold,true positive rate,false positive rate
0.013,1.000,1.000
0.016,1.000,1.000
0.017,1.000,1.000
0.018,1.000,1.000
0.019,1.000,0.999
0.020,1.000,0.999
0.021,1.000,0.998
0.022,1.000,0.996
0.023,1.000,0.994
0.024,1.000,0.991
0.025,1.000,0.985
0.026,1.000,0.978
0.027,1.000,0.967
0.028,1.000,0.952
0.029,1.000,0.931
0.030,0.999,0.903
0.031,0.999,0.867
0.032,0.999,0.825
0.033,0.998,0.773
0.034,0.997,0.719
0.035,0.992,0.660
0.036,0.990,0.604
0.037,0.989,0.550
0.038,0.989,0.497
0.039,0.986,0.450
0.040,0.985,0.407
0.041,0.982,0.369
0.042,0.978,0.338
0.043,0.975,0.309
0.044,0.974,0.285
0.045,0.969,0.262
0.046,0.967,0.241
0.047,0.963,0.223
0.048,0.962,0.209
0.049,0.960,0.196
0.050,0.959,0.183
0.051,0.959,0.173
0.052,0.956,0.164
0.053,0.955,0.155
0.054,0.955,0.148
0.055,0.952,0.141
0.056,0.948,0.134
0.057,0.948,0.127
0.058,0.946,0.121
0.059,0.946,0.117
0.060,0.944,0.112
0.061,0.941,0.108
0.062,0.940,0.104
0.063,0.939,0.100
0.064,0.938,0.097
0.065,0.935,0.094
0.066,0.932,0.090
0.067,0.931,0.087
0.068,0.931,0.084
0.069,0.930,0.082
0.070,0.929,0.079
0.071,0.928,0.076
0.072,0.928,0.075
0.073,0.927,0.072
0.074,0.927,0.071
0.075,0.927,0.069
0.076,0.924,0.067
0.077,0.923,0.065
0.078,0.922,0.064
0.079,0.922,0.062
0.080,0.921,0.061
0.081,0.920,0.059
0.082,0.920,0.058
0.083,0.920,0.057
0.084,0.918,0.055
0.085,0.917,0.054
0.086,0.917,0.053
0.087,0.917,0.052
0.088,0.917,0.051
0.089,0.916,0.050
0.090,0.914,0.049
0.092,0.914,0.047
0.093,0.913,0.046
0.094,0.913,0.045
0.095,0.913,0.045
0.096,0.913,0.044
0.097,0.913,0.043
0.098,0.913,0.043
0.099,0.913,0.042
0.100,0.913,0.041
0.102,0.910,0.040
0.103,0.910,0.039
0.104,0.910,0.039
0.105,0.909,0.038
0.106,0.909,0.037
0.107,0.907,0.037
0.108,0.905,0.037
0.109,0.904,0.036
0.110,0.904,0.036
0.111,0.904,0.035
0.112,0.902,0.034
0.113,0.901,0.034
0.114,0.901,0.034
0.115,0.901,0.033
0.116,0.900,0.033
0.117,0.900,0.032
0.118,0.899,0.032
0.119,0.899,0.031
0.120,0.898,0.031
0.121,0.897,0.031
0.122,0.897,0.030
0.123,0.894,0.030
0.124,0.894,0.029
0.125,0.894,0.029
0.126,0.894,0.029
0.127,0.894,0.028
0.128,0.894,0.028
0.129,0.893,0.027
0.130,0.893,0.027
0.131,0.891,0.027
0.132,0.889,0.027
0.133,0.889,0.026
0.134,0.889,0.026
0.135,0.887,0.026
0.136,0.886,0.025
0.138,0.886,0.025
0.139,0.886,0.024
0.140,0.886,0.024
0.141,0.886,0.024
0.142,0.886,0.024
0.143,0.886,0.023
0.144,0.886,0.023
0.145,0.886,0.023
0.146,0.886,0.023
0.147,0.885,0.022
0.148,0.884,0.022
0.149,0.882,0.022
0.150,0.882,0.022
0.151,0.881,0.022
0.152,0.881,0.021
0.153,0.881,0.021
0.157,0.881,0.020
0.158,0.879,0.020
0.159,0.879,0.020
0.160,0.879,0.020
0.161,0.879,0.020
0.162,0.878,0.019
0.163,0.877,0.019
0.164,0.876,0.019
0.165,0.876,0.019
0.166,0.876,0.019
0.167,0.875,0.019
0.168,0.873,0.019
0.169,0.873,0.018
0.170,0.871,0.018
0.171,0.871,0.018
0.172,0.871,0.018
0.173,0.871,0.018
0.174,0.871,0.018
0.175,0.871,0.017
0.176,0.869,0.017
0.177,0.869,0.017
0.178,0.869,0.017
0.179,0.869,0.017
0.180,0.869,0.017
0.181,0.868,0.017
0.182,0.868,0.017
0.183,0.868,0.017
0.184,0.868,0.016
0.185,0.867,0.016
0.186,0.867,0.016
0.187,0.865,0.016
0.188,0.862,0.016
0.189,0.861,0.016
0.190,0.860,0.016
0.191,0.859,0.016
0.192,0.859,0.016
0.194,0.859,0.016
0.195,0.859,0.015
0.196,0.856,0.015
0.198,0.856,0.015
0.199,0.856,0.015
0.200,0.856,0.015
0.201,0.856,0.015
0.202,0.855,0.015
0.203,0.855,0.015
0.204,0.855,0.015
0.205,0.854,0.014
0.206,0.854,0.014
0.207,0.853,0.014
0.208,0.852,0.014
0.209,0.852,0.014
0.210,0.852,0.014
0.211,0.851,0.014
0.212,0.850,0.014
0.213,0.850,0.014
0.214,0.850,0.014
0.215,0.850,0.013
0.217,0.850,0.013
