threshold,precision,recall
0.017,0.025,1.000
0.018,0.025,1.000
0.019,0.025,1.000
0.020,0.025,1.000
0.021,0.025,1.000
0.022,0.025,1.000
0.023,0.025,1.000
0.024,0.025,1.000
0.025,0.025,1.000
0.026,0.025,1.000
0.027,0.026,1.000
0.028,0.027,1.000
0.029,0.028,0.999
0.030,0.029,0.998
0.031,0.031,0.998
0.032,0.033,0.998
0.033,0.036,0.998
0.034,0.039,0.997
0.035,0.043,0.997
0.036,0.047,0.995
0.037,0.051,0.994
0.038,0.057,0.994
0.039,0.062,0.993
0.040,0.067,0.992
0.041,0.073,0.990
0.042,0.078,0.990
0.043,0.084,0.989
0.044,0.090,0.989
0.045,0.096,0.987
0.046,0.102,0.985
0.047,0.107,0.985
0.048,0.113,0.985
0.049,0.119,0.984
0.050,0.125,0.984
0.051,0.130,0.982
0.052,0.135,0.982
0.053,0.140,0.980
0.054,0.145,0.980
0.055,0.150,0.980
0.056,0.155,0.979
0.057,0.160,0.979
0.058,0.166,0.979
0.059,0.170,0.978
0.060,0.175,0.978
0.061,0.179,0.976
0.062,0.183,0.976
0.063,0.187,0.974
0.064,0.191,0.972
0.065,0.195,0.972
0.066,0.200,0.972
0.067,0.204,0.972
0.068,0.209,0.972
0.069,0.213,0.972
0.070,0.217,0.971
0.071,0.221,0.971
0.072,0.225,0.970
0.073,0.228,0.969
0.074,0.232,0.969
0.075,0.236,0.969
0.076,0.241,0.968
0.077,0.245,0.968
0.078,0.249,0.967
0.079,0.253,0.967
0.080,0.257,0.966
0.081,0.260,0.966
0.082,0.263,0.964
0.083,0.266,0.964
0.084,0.271,0.963
0.085,0.274,0.962
0.086,0.278,0.960
0.087,0.282,0.960
0.088,0.285,0.960
0.089,0.289,0.959
0.090,0.291,0.958
0.091,0.295,0.958
0.092,0.298,0.958
0.093,0.302,0.958
0.094,0.305,0.958
0.095,0.307,0.955
0.096,0.309,0.954
0.097,0.312,0.954
0.098,0.315,0.954
0.099,0.318,0.954
0.100,0.321,0.953
0.101,0.324,0.952
0.102,0.328,0.952
0.103,0.331,0.951
0.104,0.334,0.951
0.105,0.336,0.951
0.106,0.338,0.948
0.107,0.342,0.948
0.108,0.343,0.948
0.109,0.347,0.948
0.110,0.350,0.948
0.111,0.353,0.948
0.112,0.355,0.948
0.113,0.358,0.948
0.114,0.361,0.948
0.115,0.365,0.948
0.116,0.368,0.948
0.117,0.370,0.948
0.118,0.374,0.948
0.119,0.377,0.948
0.120,0.380,0.948
0.121,0.382,0.947
0.122,0.385,0.947
0.123,0.389,0.947
0.124,0.391,0.947
0.125,0.393,0.947
0.126,0.397,0.946
0.127,0.400,0.946
0.128,0.402,0.946
0.129,0.406,0.946
0.130,0.408,0.945
0.131,0.411,0.945
0.132,0.414,0.945
0.133,0.417,0.944
0.134,0.420,0.944
0.135,0.423,0.941
0.136,0.425,0.941
0.137,0.427,0.941
0.138,0.429,0.939
0.139,0.431,0.939
0.140,0.433,0.939
0.141,0.436,0.939
0.142,0.437,0.938
0.143,0.440,0.938
0.144,0.443,0.938
0.145,0.445,0.937
0.146,0.449,0.937
0.147,0.453,0.937
0.148,0.454,0.937
0.149,0.456,0.937
0.150,0.457,0.936
0.151,0.460,0.936
0.152,0.461,0.936
0.153,0.464,0.936
0.154,0.466,0.936
0.155,0.469,0.936
0.156,0.472,0.936
0.157,0.474,0.935
0.158,0.476,0.935
0.159,0.479,0.935
0.160,0.481,0.935
0.161,0.483,0.935
0.162,0.485,0.935
0.163,0.488,0.935
0.164,0.491,0.933
0.165,0.493,0.933
0.166,0.496,0.933
0.167,0.497,0.932
0.168,0.499,0.932
0.169,0.501,0.932
0.170,0.502,0.932
0.171,0.504,0.932
0.172,0.505,0.932
0.173,0.508,0.932
0.174,0.509,0.932
0.175,0.511,0.932
0.176,0.513,0.930
0.177,0.515,0.930
