precision,recall
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.026,1.000
0.026,1.000
0.027,1.000
0.027,1.000
0.028,0.999
0.030,0.999
0.032,0.997
0.034,0.994
0.037,0.990
0.040,0.990
0.044,0.985
0.048,0.984
0.052,0.983
0.058,0.982
0.063,0.978
0.068,0.972
0.074,0.971
0.080,0.968
0.086,0.967
0.092,0.966
0.098,0.966
0.104,0.964
0.111,0.964
0.117,0.961
0.123,0.956
0.129,0.956
0.134,0.956
0.140,0.956
0.146,0.954
0.151,0.951
0.158,0.949
0.164,0.949
0.169,0.947
0.174,0.945
0.180,0.945
0.185,0.943
0.189,0.943
0.195,0.940
0.199,0.936
0.204,0.933
0.210,0.933
0.215,0.932
0.220,0.931
0.225,0.929
0.230,0.928
0.235,0.928
0.240,0.928
0.246,0.928
0.250,0.928
0.255,0.928
0.259,0.925
0.263,0.923
0.268,0.922
0.272,0.922
0.276,0.921
0.280,0.920
0.284,0.918
0.288,0.918
0.292,0.917
0.297,0.917
0.303,0.917
0.307,0.916
0.311,0.916
0.316,0.915
0.320,0.915
0.325,0.914
0.329,0.913
0.332,0.910
0.335,0.909
0.338,0.908
0.342,0.908
0.345,0.906
0.348,0.905
0.351,0.904
0.355,0.904
0.359,0.904
0.362,0.904
0.365,0.902
0.368,0.902
0.371,0.902
0.376,0.901
0.379,0.901
0.383,0.901
0.387,0.901
0.390,0.901
0.393,0.901
0.396,0.901
0.398,0.901
0.401,0.900
0.404,0.899
0.407,0.899
0.411,0.899
0.413,0.899
0.416,0.898
0.418,0.898
0.420,0.898
0.424,0.898
0.427,0.898
0.429,0.898
0.431,0.897
0.433,0.896
0.435,0.894
0.435,0.893
0.438,0.891
0.441,0.891
0.443,0.890
0.447,0.889
0.451,0.889
0.452,0.887
0.454,0.887
0.457,0.886
0.460,0.886
0.465,0.886
0.466,0.885
0.467,0.882
0.469,0.882
0.472,0.881
0.475,0.881
0.477,0.878
0.479,0.878
0.482,0.878
0.485,0.878
0.487,0.878
0.490,0.878
0.492,0.878
0.496,0.878
0.498,0.877
0.499,0.877
0.501,0.875
0.504,0.875
0.506,0.875
0.507,0.875
0.510,0.875
0.511,0.875
0.512,0.875
0.515,0.875
0.518,0.875
0.520,0.874
0.521,0.874
0.522,0.873
0.526,0.873
0.528,0.873
0.530,0.873
0.531,0.873
0.534,0.873
0.536,0.873
0.537,0.873
0.539,0.873
0.541,0.873
0.543,0.873
0.547,0.873
0.549,0.873
0.551,0.873
0.552,0.871
0.554,0.870
0.556,0.869
0.559,0.869
0.560,0.869
0.562,0.869
0.565,0.869
0.566,0.869
0.568,0.869
0.570,0.869
0.572,0.869
0.572,0.868
0.574,0.868
0.574,0.866
0.576,0.866
0.579,0.866
0.580,0.865
0.581,0.862
0.583,0.862
0.584,0.862
0.587,0.862
0.588,0.861
0.589,0.859
0.591,0.858
0.592,0.856
0.594,0.856
0.595,0.856
