roc_recall,one_minus_fpr,roc_precision
0.000,1.000,1.000
0.010,1.000,1.000
0.020,1.000,1.000
0.030,1.000,1.000
0.040,1.000,1.000
0.050,1.000,1.000
0.060,1.000,1.000
0.070,1.000,1.000
0.080,1.000,1.000
0.090,1.000,1.000
0.100,1.000,1.000
0.110,1.000,1.000
0.120,1.000,1.000
0.130,1.000,1.000
0.140,1.000,1.000
0.150,1.000,1.000
0.160,1.000,1.000
0.170,1.000,1.000
0.180,1.000,1.000
0.190,1.000,1.000
0.200,1.000,1.000
0.210,1.000,1.000
0.220,1.000,1.000
0.230,1.000,1.000
0.240,1.000,1.000
0.250,1.000,0.995
0.260,1.000,0.995
0.270,1.000,0.995
0.280,1.000,0.994
0.290,1.000,0.991
0.300,1.000,0.991
0.310,1.000,0.992
0.320,1.000,0.992
0.330,1.000,0.992
0.340,1.000,0.989
0.350,1.000,0.988
0.360,1.000,0.983
0.370,1.000,0.984
0.380,1.000,0.984
0.390,1.000,0.985
0.400,1.000,0.982
0.410,1.000,0.982
0.420,1.000,0.983
0.430,1.000,0.978
0.440,1.000,0.979
0.450,1.000,0.979
0.460,1.000,0.977
0.470,1.000,0.976
0.480,1.000,0.974
0.490,1.000,0.974
0.500,1.000,0.972
0.510,1.000,0.972
0.520,1.000,0.973
0.530,1.000,0.974
0.540,1.000,0.974
0.550,1.000,0.971
0.560,1.000,0.967
0.570,0.999,0.966
0.580,0.999,0.965
0.590,0.999,0.963
0.600,0.999,0.960
0.610,0.999,0.959
0.620,0.999,0.958
0.630,0.999,0.955
0.640,0.999,0.953
0.650,0.999,0.945
0.660,0.999,0.935
0.670,0.998,0.930
0.680,0.998,0.926
0.690,0.998,0.923
0.700,0.998,0.922
0.710,0.998,0.914
0.720,0.998,0.910
0.730,0.998,0.909
0.740,0.997,0.898
0.750,0.996,0.889
0.760,0.996,0.883
0.770,0.996,0.874
0.780,0.995,0.862
0.790,0.995,0.854
0.800,0.994,0.839
0.810,0.993,0.827
0.820,0.992,0.807
0.830,0.990,0.786
0.840,0.989,0.767
0.850,0.987,0.751
0.860,0.985,0.722
0.870,0.982,0.708
0.880,0.976,0.669
0.890,0.972,0.650
0.900,0.966,0.629
0.910,0.954,0.598
0.920,0.940,0.578
0.930,0.918,0.558
0.940,0.901,0.547
0.950,0.872,0.532
0.960,0.823,0.519
0.970,0.701,0.505
0.980,0.610,0.498
0.990,0.388,0.487
1.000,0.194,0.243
1.010,0.000,0.000
