precision,recall
0.025,1.000
0.025,1.000
0.025,1.000
0.026,1.000
0.028,1.000
0.030,0.997
0.033,0.991
0.036,0.989
0.039,0.986
0.043,0.986
0.046,0.983
0.050,0.982
0.053,0.980
0.058,0.980
0.062,0.980
0.066,0.979
0.070,0.978
0.075,0.977
0.080,0.976
0.084,0.974
0.089,0.970
0.094,0.969
0.099,0.968
0.105,0.966
0.111,0.966
0.117,0.963
0.123,0.960
0.129,0.959
0.136,0.958
0.142,0.954
0.149,0.952
0.156,0.951
0.163,0.949
0.169,0.946
0.175,0.946
0.182,0.945
0.188,0.941
0.194,0.939
0.202,0.939
0.208,0.939
0.212,0.939
0.217,0.939
0.223,0.939
0.228,0.938
0.232,0.938
0.236,0.937
0.240,0.937
0.246,0.937
0.250,0.937
0.254,0.935
0.258,0.933
0.262,0.933
0.266,0.933
0.270,0.933
0.274,0.933
0.278,0.933
0.281,0.932
0.284,0.932
0.287,0.930
0.291,0.930
0.295,0.930
0.297,0.928
0.300,0.927
0.303,0.927
0.306,0.927
0.308,0.925
0.311,0.925
0.313,0.924
0.317,0.924
0.319,0.924
0.322,0.924
0.325,0.924
0.327,0.923
0.330,0.923
0.333,0.923
0.334,0.923
0.338,0.922
0.340,0.921
0.343,0.921
0.347,0.921
0.351,0.921
0.354,0.921
0.356,0.920
0.359,0.920
0.361,0.920
0.363,0.920
0.366,0.918
0.368,0.918
0.370,0.917
0.372,0.915
0.376,0.915
0.379,0.915
0.381,0.914
0.384,0.913
0.386,0.913
0.388,0.913
0.391,0.913
0.393,0.912
0.396,0.912
0.397,0.912
0.400,0.912
0.401,0.910
0.404,0.909
0.405,0.909
0.407,0.909
0.411,0.909
0.412,0.909
0.415,0.909
0.416,0.909
0.418,0.909
0.421,0.909
0.423,0.908
0.425,0.908
0.427,0.907
0.429,0.906
0.430,0.905
0.433,0.904
0.434,0.904
0.436,0.904
0.436,0.904
0.439,0.904
0.443,0.904
0.444,0.904
0.446,0.904
0.448,0.902
0.449,0.902
0.452,0.901
0.454,0.900
0.457,0.899
0.458,0.898
0.460,0.898
0.462,0.898
0.464,0.898
0.466,0.898
0.468,0.897
0.470,0.897
0.470,0.896
0.472,0.894
0.474,0.893
0.476,0.893
0.478,0.893
0.481,0.893
0.483,0.892
0.484,0.892
0.486,0.891
0.487,0.889
0.490,0.889
0.493,0.889
0.495,0.889
0.497,0.889
0.499,0.887
0.501,0.885
0.505,0.883
0.506,0.883
0.508,0.882
0.509,0.882
0.511,0.881
0.514,0.881
0.515,0.879
0.517,0.879
0.519,0.879
0.521,0.879
0.524,0.879
0.526,0.879
0.529,0.879
0.530,0.879
0.531,0.879
0.532,0.879
0.534,0.879
0.534,0.877
0.534,0.876
0.536,0.876
0.537,0.876
0.540,0.876
0.542,0.876
0.544,0.876
0.547,0.876
0.547,0.874
0.549,0.874
0.551,0.874
0.551,0.873
0.552,0.870
0.554,0.870
0.556,0.869
0.558,0.868
0.560,0.868
0.560,0.867
0.561,0.867
0.562,0.867
0.562,0.866
0.564,0.865
0.565,0.865
0.566,0.865
0.569,0.865
0.569,0.863
