recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5833
N106834-edited,0.7952,0.8036,0.8250
N128080,0.9600,0.7489,0.8700
N16767-edited,0.9259,0.9259,0.9630
N22158-edited,0.9008,0.9286,0.8752
N22971-edited,0.7278,0.7528,0.6770
N23417-edited,0.9111,0.9111,0.8141
N23493-edited,0.7800,0.7800,0.6400
N250512,0.8889,0.8889,0.7778
N3568,0.9583,1.0000,0.8750
N37429,0.7083,0.7083,0.7500
N38268,0.9583,0.9250,0.9213
N38516,0.8956,0.8978,0.9111
N39306,0.9251,0.9264,0.9229
N41312-edited,0.8333,0.8333,0.8333
N41564,1.0000,0.8333,0.3333
N44587-edited,0.6667,0.6111,0.4444
N460551,0.8750,0.5000,1.0000
N488610,0.6250,0.7917,0.6250
N500951,0.5000,0.5000,0.5000
N6682-edited,0.9375,0.9410,0.7812
N737290,0.8000,0.6000,0.7333
N98507,0.7778,0.8889,0.5556
XC109766,0.9583,0.8472,0.9583
XC109767,0.9588,0.9310,0.9406
XC109769,0.9777,0.9682,0.9667
XC114554,0.8889,0.8889,1.0000
XC134014-edited,0.3968,0.5071,0.3968
XC144024,0.6667,0.6667,0.6667
XC159959,0.8214,0.8571,0.6048
XC172881,0.8333,1.0000,0.1667
XC215372,0.8889,0.6667,0.6111
XC271361,0.2500,0.2833,0.2500
XC801172-edited,0.9583,0.9583,0.8075
XC812929,0.7036,0.8310,0.5464
