threshold,iou
0.0000,0.2381
0.0100,0.2381
0.0200,0.2397
0.0300,0.1856
0.0400,0.2568
0.0500,0.3063
0.0600,0.3852
0.0700,0.4091
0.0800,0.4236
0.0900,0.4353
0.1000,0.4607
0.1100,0.4769
0.1200,0.5063
0.1300,0.5197
0.1400,0.5222
0.1500,0.5366
0.1600,0.5583
0.1700,0.5557
0.1800,0.5449
0.1900,0.5708
0.2000,0.5711
0.2100,0.5957
0.2200,0.6299
0.2300,0.6317
0.2400,0.6323
0.2500,0.6263
0.2600,0.6460
0.2700,0.6534
0.2800,0.6573
0.2900,0.6788
0.3000,0.6838
0.3100,0.6821
0.3200,0.6972
0.3300,0.7077
0.3400,0.7090
0.3500,0.7401
0.3600,0.7434
0.3700,0.7385
0.3800,0.7535
0.3900,0.7604
0.4000,0.7657
0.4100,0.7712
0.4200,0.7740
0.4300,0.7825
0.4400,0.7871
0.4500,0.7921
0.4600,0.7916
0.4700,0.8000
0.4800,0.7983
0.4900,0.8089
0.5000,0.8095
0.5100,0.8166
0.5200,0.8162
0.5300,0.8180
0.5400,0.8214
0.5500,0.8234
0.5600,0.8232
0.5700,0.8216
0.5800,0.8234
0.5900,0.8296
0.6000,0.8273
0.6100,0.8296
0.6200,0.8280
0.6300,0.8293
0.6400,0.8293
0.6500,0.8309
0.6600,0.8266
0.6700,0.8143
0.6800,0.8143
0.6900,0.8075
0.7000,0.8000
0.7100,0.7999
0.7200,0.7901
0.7300,0.7749
0.7400,0.7757
0.7500,0.7644
0.7600,0.7535
0.7700,0.7451
0.7800,0.7352
0.7900,0.7269
0.8000,0.7248
0.8100,0.7172
0.8200,0.7057
0.8300,0.6968
0.8400,0.6827
0.8500,0.6804
0.8600,0.6717
0.8700,0.6542
0.8800,0.6278
0.8900,0.6037
0.9000,0.5584
0.9100,0.4813
0.9200,0.3851
0.9300,0.2868
0.9400,0.1760
0.9500,0.0926
0.9600,0.0323
0.9700,0.0131
0.9800,0.0042
0.9900,0.0000
1.0000,0.0000
