threshold,iou
0.0000,0.2381
0.0100,0.2381
0.0200,0.2448
0.0300,0.1946
0.0400,0.2288
0.0500,0.2722
0.0600,0.2843
0.0700,0.3162
0.0800,0.3214
0.0900,0.3224
0.1000,0.3174
0.1100,0.3473
0.1200,0.3502
0.1300,0.3619
0.1400,0.3652
0.1500,0.3708
0.1600,0.3835
0.1700,0.3855
0.1800,0.3942
0.1900,0.3935
0.2000,0.3990
0.2100,0.4059
0.2200,0.4094
0.2300,0.4150
0.2400,0.4272
0.2500,0.4380
0.2600,0.4703
0.2700,0.4807
0.2800,0.5034
0.2900,0.5049
0.3000,0.5184
0.3100,0.5350
0.3200,0.5385
0.3300,0.5168
0.3400,0.5206
0.3500,0.5229
0.3600,0.5433
0.3700,0.5571
0.3800,0.5596
0.3900,0.5722
0.4000,0.5860
0.4100,0.6052
0.4200,0.6202
0.4300,0.6221
0.4400,0.6126
0.4500,0.6341
0.4600,0.6519
0.4700,0.6630
0.4800,0.6702
0.4900,0.6683
0.5000,0.6787
0.5100,0.6841
0.5200,0.6881
0.5300,0.6919
0.5400,0.7088
0.5500,0.7157
0.5600,0.7075
0.5700,0.7141
0.5800,0.7212
0.5900,0.7215
0.6000,0.7386
0.6100,0.7701
0.6200,0.7745
0.6300,0.7691
0.6400,0.7691
0.6500,0.7573
0.6600,0.7510
0.6700,0.7546
0.6800,0.7668
0.6900,0.7679
0.7000,0.7765
0.7100,0.7614
0.7200,0.7611
0.7300,0.7674
0.7400,0.7745
0.7500,0.7678
0.7600,0.7582
0.7700,0.7533
0.7800,0.7440
0.7900,0.7365
0.8000,0.7332
0.8100,0.7377
0.8200,0.7369
0.8300,0.7270
0.8400,0.7200
0.8500,0.7222
0.8600,0.7077
0.8700,0.6955
0.8800,0.6803
0.8900,0.6601
0.9000,0.6399
0.9100,0.6187
0.9200,0.5778
0.9300,0.5145
0.9400,0.4183
0.9500,0.3102
0.9600,0.1704
0.9700,0.1004
0.9800,0.0459
0.9900,0.0000
1.0000,0.0000
