recording,iou_max,iou_0.60,iou_0.80
N100056,0.4167,0.4167,0.4167
N106834-edited,0.3631,0.3631,0.3631
N128080,0.3833,0.3833,0.3833
N16767-edited,0.4861,0.4861,0.5662
N22158-edited,0.6571,0.6571,0.6571
N22971-edited,0.5617,0.5617,0.5617
N23417-edited,0.7500,0.7500,0.7500
N23493-edited,0.4503,0.4503,0.4503
N250512,0.2500,0.2500,0.2500
N3568,0.5000,0.5000,0.5000
N37429,0.1667,0.1667,0.1667
N38268,0.6111,0.6111,0.6111
N38516,0.5647,0.5647,0.4147
N39306,0.6013,0.6013,0.3167
N41312-edited,0.4423,0.4423,0.4423
N41564,0.0833,0.0833,0.0833
N44587-edited,0.1603,0.1603,0.1603
N460551,0.1111,0.1111,0.0694
N488610,0.2778,0.2778,0.2083
N500951,0.1458,0.1458,0.1458
N6682-edited,0.5833,0.5833,0.5833
N737290,0.1322,0.1322,0.1322
N98507,0.2292,0.2292,0.1667
XC109766,0.5208,0.5208,0.5208
XC109767,0.5114,0.5114,0.5212
XC109769,0.5056,0.5056,0.5056
XC114554,0.3333,0.3333,0.3333
XC134014-edited,0.4702,0.4702,0.4702
XC144024,0.2500,0.2500,0.2500
XC159959,0.4375,0.4375,0.4062
XC172881,0.3846,0.3846,0.0000
XC215372,0.1944,0.1944,0.1944
XC271361,0.1944,0.1944,0.1944
XC801172-edited,0.4246,0.4246,0.3413
XC812929,0.5000,0.5000,0.5000
