threshold,iou
0.0000,0.2184
0.0100,0.2184
0.0200,0.2216
0.0300,0.2501
0.0400,0.2821
0.0500,0.2937
0.0600,0.2968
0.0700,0.3030
0.0800,0.3045
0.0900,0.3054
0.1000,0.3054
0.1100,0.3054
0.1200,0.3054
0.1300,0.3053
0.1400,0.3078
0.1500,0.3080
0.1600,0.3080
0.1700,0.3090
0.1800,0.3092
0.1900,0.3095
0.2000,0.3095
0.2100,0.3095
0.2200,0.3107
0.2300,0.3107
0.2400,0.3107
0.2500,0.3112
0.2600,0.3112
0.2700,0.3112
0.2800,0.3122
0.2900,0.3122
0.3000,0.3122
0.3100,0.3122
0.3200,0.3122
0.3300,0.3115
0.3400,0.3125
0.3500,0.3125
0.3600,0.3125
0.3700,0.3135
0.3800,0.3096
0.3900,0.3096
0.4000,0.3096
0.4100,0.3096
0.4200,0.3096
0.4300,0.3096
0.4400,0.3100
0.4500,0.3100
0.4600,0.3100
0.4700,0.3107
0.4800,0.3107
0.4900,0.3117
0.5000,0.3117
0.5100,0.3117
0.5200,0.3146
0.5300,0.3146
0.5400,0.3146
0.5500,0.3146
0.5600,0.3146
0.5700,0.3157
0.5800,0.3157
0.5900,0.3157
0.6000,0.3157
0.6100,0.3157
0.6200,0.3157
0.6300,0.3157
0.6400,0.3197
0.6500,0.3197
0.6600,0.3197
0.6700,0.3197
0.6800,0.3197
0.6900,0.3197
0.7000,0.3197
0.7100,0.3197
0.7200,0.3197
0.7300,0.3197
0.7400,0.3221
0.7500,0.3221
0.7600,0.3250
0.7700,0.3235
0.7800,0.3177
0.7900,0.3163
0.8000,0.3196
0.8100,0.3180
0.8200,0.3159
0.8300,0.3157
0.8400,0.3160
0.8500,0.3094
0.8600,0.3140
0.8700,0.3106
0.8800,0.3003
0.8900,0.2936
0.9000,0.2826
0.9100,0.2709
0.9200,0.2471
0.9300,0.2213
0.9400,0.1987
0.9500,0.1895
0.9600,0.1383
0.9700,0.0904
0.9800,0.0416
0.9900,0.0205
1.0000,0.0032
