recording,iou_max,iou_0.60,iou_0.80
N100056,0.9167,0.9167,0.5000
N106834-edited,0.9167,0.9167,0.8250
N128080,0.5000,0.5000,0.6250
N16767-edited,0.9630,0.9630,0.8519
N22158-edited,0.8042,0.8232,0.8535
N22971-edited,0.6589,0.6589,0.6742
N23417-edited,0.8598,0.8833,0.8444
N23493-edited,0.7867,0.7867,0.6067
N250512,0.5222,0.5222,0.4444
N3568,0.8615,0.8901,0.9583
N37429,0.7000,0.6000,0.5000
N38268,0.9250,0.9250,0.8917
N38516,0.8540,0.8540,0.9133
N39306,0.8655,0.8769,0.8802
N41312-edited,0.8333,0.8333,0.7500
N41564,0.6875,0.7143,0.5000
N44587-edited,0.6667,0.6667,0.3333
N460551,1.0000,1.0000,1.0000
N488610,0.7750,0.8375,0.6250
N500951,0.8333,0.8333,0.8333
N6682-edited,0.9040,0.9318,0.8125
N737290,0.3914,0.4206,0.7000
N98507,0.8889,0.8889,0.5556
XC109766,0.9583,0.9583,0.9091
XC109767,0.9237,0.9237,0.9184
XC109769,0.9501,0.9595,0.9320
XC114554,0.8000,0.8000,0.7500
XC134014-edited,0.5786,0.5786,0.3968
XC144024,1.0000,1.0000,0.6667
XC159959,0.8071,0.8071,0.8012
XC172881,0.5556,0.3571,0.8333
XC215372,0.8889,0.8889,0.6111
XC271361,0.4333,0.4333,0.2500
XC801172-edited,0.9583,0.9583,0.9583
XC812929,0.5997,0.5997,0.6173
