threshold,iou
0.0000,0.2381
0.0100,0.2393
0.0200,0.2267
0.0300,0.2489
0.0400,0.3135
0.0500,0.3818
0.0600,0.3948
0.0700,0.3972
0.0800,0.4198
0.0900,0.4159
0.1000,0.4208
0.1100,0.4212
0.1200,0.4184
0.1300,0.4134
0.1400,0.4182
0.1500,0.4194
0.1600,0.4150
0.1700,0.4158
0.1800,0.4207
0.1900,0.4248
0.2000,0.4219
0.2100,0.4223
0.2200,0.4278
0.2300,0.4243
0.2400,0.4246
0.2500,0.4308
0.2600,0.4311
0.2700,0.4313
0.2800,0.4315
0.2900,0.4279
0.3000,0.4282
0.3100,0.4344
0.3200,0.4325
0.3300,0.4331
0.3400,0.4247
0.3500,0.4250
0.3600,0.4211
0.3700,0.4255
0.3800,0.4243
0.3900,0.4176
0.4000,0.4151
0.4100,0.4193
0.4200,0.4158
0.4300,0.4221
0.4400,0.4221
0.4500,0.4265
0.4600,0.4372
0.4700,0.4404
0.4800,0.4426
0.4900,0.4431
0.5000,0.4478
0.5100,0.4481
0.5200,0.4481
0.5300,0.4435
0.5400,0.4413
0.5500,0.4301
0.5600,0.4355
0.5700,0.4357
0.5800,0.4380
0.5900,0.4346
0.6000,0.4534
0.6100,0.4539
0.6200,0.4540
0.6300,0.4470
0.6400,0.4462
0.6500,0.4455
0.6600,0.4375
0.6700,0.4345
0.6800,0.4322
0.6900,0.4307
0.7000,0.4307
0.7100,0.4311
0.7200,0.4221
0.7300,0.4252
0.7400,0.4289
0.7500,0.4176
0.7600,0.4174
0.7700,0.4121
0.7800,0.4201
0.7900,0.4104
0.8000,0.4129
0.8100,0.4038
0.8200,0.4011
0.8300,0.3939
0.8400,0.3938
0.8500,0.3974
0.8600,0.3939
0.8700,0.3878
0.8800,0.3858
0.8900,0.3799
0.9000,0.3380
0.9100,0.2958
0.9200,0.2392
0.9300,0.2010
0.9400,0.1626
0.9500,0.1162
0.9600,0.0973
0.9700,0.0932
0.9800,0.0314
0.9900,0.0111
1.0000,0.0000
