precision,recall
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.026,1.000
0.027,1.000
0.028,1.000
0.030,0.999
0.032,0.999
0.036,0.998
0.040,0.997
0.045,0.995
0.050,0.995
0.057,0.994
0.064,0.992
0.071,0.990
0.079,0.990
0.087,0.990
0.095,0.986
0.103,0.986
0.111,0.985
0.118,0.984
0.125,0.983
0.133,0.980
0.141,0.980
0.148,0.979
0.155,0.979
0.162,0.979
0.169,0.979
0.176,0.979
0.183,0.978
0.190,0.977
0.196,0.977
0.202,0.977
0.207,0.977
0.212,0.977
0.217,0.975
0.222,0.974
0.227,0.974
0.232,0.974
0.238,0.974
0.243,0.974
0.248,0.972
0.252,0.971
0.257,0.970
0.261,0.970
0.266,0.970
0.271,0.970
0.276,0.970
0.278,0.968
0.284,0.968
0.288,0.967
0.292,0.967
0.296,0.967
0.301,0.967
0.305,0.966
0.311,0.966
0.315,0.964
0.319,0.963
0.323,0.963
0.325,0.962
0.329,0.961
0.332,0.961
0.337,0.960
0.340,0.960
0.343,0.960
0.347,0.960
0.351,0.960
0.356,0.960
0.358,0.960
0.362,0.959
0.364,0.959
0.366,0.956
0.369,0.956
0.372,0.955
0.376,0.954
0.380,0.954
0.383,0.953
0.386,0.952
0.389,0.952
0.393,0.952
0.396,0.951
0.399,0.951
0.402,0.951
0.404,0.951
0.405,0.949
0.409,0.949
0.412,0.949
0.416,0.949
0.419,0.949
0.421,0.949
0.423,0.949
0.427,0.949
0.430,0.949
0.432,0.948
0.434,0.948
0.437,0.948
0.440,0.948
0.443,0.948
0.445,0.948
0.448,0.946
0.451,0.946
0.452,0.946
0.454,0.946
0.456,0.946
0.458,0.946
0.460,0.945
0.463,0.945
0.464,0.945
0.466,0.945
0.469,0.945
0.472,0.945
0.474,0.945
0.476,0.945
0.478,0.945
0.481,0.945
0.483,0.943
0.487,0.943
0.489,0.941
0.490,0.941
0.492,0.941
0.494,0.941
0.496,0.941
0.498,0.941
0.501,0.941
0.503,0.941
0.504,0.940
0.505,0.939
0.505,0.939
0.508,0.939
0.511,0.939
0.512,0.939
0.513,0.939
0.515,0.938
0.518,0.937
0.519,0.936
0.522,0.936
0.524,0.935
0.526,0.935
0.526,0.935
0.528,0.935
0.528,0.933
0.530,0.933
0.533,0.933
0.535,0.933
0.537,0.933
0.537,0.931
0.539,0.931
0.541,0.931
0.544,0.931
0.545,0.931
0.548,0.931
0.550,0.931
0.553,0.930
0.555,0.930
0.558,0.930
0.560,0.930
0.561,0.929
0.563,0.929
0.566,0.929
0.569,0.929
0.571,0.929
0.573,0.929
0.577,0.928
0.579,0.928
0.579,0.927
0.582,0.927
0.584,0.927
0.585,0.927
0.586,0.927
0.587,0.927
0.591,0.927
0.591,0.927
0.593,0.927
0.595,0.927
0.597,0.927
0.598,0.927
0.598,0.924
0.600,0.924
0.602,0.924
0.603,0.924
0.605,0.924
0.607,0.924
0.608,0.923
0.609,0.922
0.611,0.921
0.612,0.921
0.614,0.920
