threshold,true positive rate,false positive rate
0.017,1.000,1.000
0.019,1.000,1.000
0.021,1.000,1.000
0.022,1.000,0.999
0.023,1.000,0.998
0.024,1.000,0.997
0.025,1.000,0.992
0.026,1.000,0.985
0.027,1.000,0.972
0.028,1.000,0.951
0.029,1.000,0.921
0.030,1.000,0.878
0.031,0.999,0.824
0.032,0.999,0.756
0.033,0.998,0.682
0.034,0.997,0.610
0.035,0.995,0.539
0.036,0.995,0.476
0.037,0.994,0.418
0.038,0.992,0.369
0.039,0.990,0.326
0.040,0.990,0.291
0.041,0.990,0.264
0.042,0.986,0.239
0.043,0.986,0.218
0.044,0.985,0.201
0.045,0.984,0.187
0.046,0.983,0.174
0.047,0.980,0.162
0.048,0.980,0.152
0.049,0.979,0.143
0.050,0.979,0.136
0.051,0.979,0.129
0.052,0.979,0.122
0.053,0.979,0.116
0.054,0.978,0.111
0.055,0.977,0.106
0.056,0.977,0.102
0.057,0.977,0.098
0.058,0.977,0.095
0.059,0.977,0.092
0.060,0.975,0.089
0.061,0.974,0.087
0.062,0.974,0.084
0.063,0.974,0.082
0.064,0.974,0.079
0.065,0.974,0.077
0.066,0.972,0.075
0.067,0.971,0.073
0.068,0.970,0.071
0.069,0.970,0.070
0.070,0.970,0.068
0.071,0.970,0.066
0.072,0.970,0.065
0.073,0.968,0.064
0.074,0.968,0.062
0.075,0.967,0.061
0.076,0.967,0.060
0.077,0.967,0.058
0.078,0.967,0.057
0.079,0.966,0.056
0.080,0.966,0.054
0.081,0.964,0.053
0.082,0.963,0.052
0.083,0.963,0.051
0.084,0.962,0.051
0.085,0.961,0.050
0.086,0.961,0.049
0.087,0.960,0.048
0.088,0.960,0.047
0.090,0.960,0.046
0.091,0.960,0.045
0.092,0.960,0.044
0.093,0.960,0.044
0.094,0.959,0.043
0.095,0.959,0.042
0.096,0.956,0.042
0.097,0.956,0.041
0.098,0.955,0.041
0.099,0.954,0.040
0.100,0.954,0.039
0.101,0.953,0.039
0.102,0.952,0.038
0.103,0.952,0.038
0.104,0.952,0.037
0.105,0.951,0.037
0.106,0.951,0.036
0.107,0.951,0.036
0.108,0.951,0.036
0.109,0.949,0.035
0.110,0.949,0.035
0.111,0.949,0.034
0.112,0.949,0.034
0.113,0.949,0.033
0.114,0.949,0.033
0.115,0.949,0.033
0.116,0.949,0.032
0.117,0.949,0.032
0.118,0.948,0.032
0.119,0.948,0.031
0.120,0.948,0.031
0.121,0.948,0.031
0.122,0.948,0.030
0.123,0.948,0.030
0.124,0.946,0.030
0.125,0.946,0.029
0.126,0.946,0.029
0.127,0.946,0.029
0.128,0.946,0.029
0.129,0.946,0.028
0.130,0.945,0.028
0.131,0.945,0.028
0.133,0.945,0.027
0.134,0.945,0.027
0.135,0.945,0.027
0.136,0.945,0.027
0.137,0.945,0.026
0.138,0.945,0.026
0.139,0.945,0.026
0.140,0.943,0.026
0.141,0.943,0.025
0.142,0.941,0.025
0.143,0.941,0.025
0.145,0.941,0.024
0.146,0.941,0.024
0.149,0.941,0.024
0.150,0.940,0.023
0.151,0.939,0.023
0.152,0.939,0.023
0.154,0.939,0.023
0.155,0.939,0.023
0.156,0.939,0.023
0.157,0.938,0.022
0.158,0.937,0.022
0.159,0.936,0.022
0.160,0.936,0.022
0.161,0.935,0.022
0.162,0.935,0.021
0.163,0.935,0.021
0.164,0.935,0.021
0.165,0.933,0.021
0.166,0.933,0.021
0.168,0.933,0.021
0.169,0.933,0.020
0.170,0.931,0.020
0.171,0.931,0.020
0.172,0.931,0.020
0.173,0.931,0.020
0.174,0.931,0.020
0.175,0.931,0.019
0.176,0.931,0.019
0.177,0.930,0.019
0.178,0.930,0.019
0.179,0.930,0.019
0.180,0.930,0.019
0.181,0.929,0.018
0.182,0.929,0.018
0.183,0.929,0.018
0.184,0.929,0.018
0.186,0.929,0.018
0.187,0.928,0.017
0.188,0.928,0.017
0.189,0.927,0.017
0.191,0.927,0.017
0.192,0.927,0.017
0.193,0.927,0.017
0.194,0.927,0.017
0.195,0.927,0.016
0.196,0.927,0.016
0.197,0.927,0.016
0.198,0.927,0.016
0.199,0.927,0.016
0.200,0.927,0.016
0.201,0.924,0.016
0.202,0.924,0.016
0.203,0.924,0.016
0.204,0.924,0.015
0.206,0.924,0.015
0.208,0.922,0.015
0.209,0.921,0.015
0.210,0.921,0.015
0.211,0.920,0.015
0.212,0.920,0.015
0.213,0.920,0.014
0.214,0.920,0.014
0.215,0.920,0.014
0.216,0.918,0.014
0.217,0.917,0.014
