precision,recall
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.026,1.000
0.026,1.000
0.028,1.000
0.029,1.000
0.031,1.000
0.035,1.000
0.038,0.999
0.043,0.998
0.048,0.995
0.055,0.995
0.062,0.994
0.069,0.992
0.076,0.992
0.084,0.992
0.093,0.992
0.101,0.992
0.110,0.992
0.118,0.990
0.126,0.987
0.133,0.985
0.141,0.985
0.148,0.984
0.156,0.984
0.164,0.984
0.172,0.982
0.179,0.982
0.186,0.982
0.193,0.982
0.200,0.982
0.207,0.982
0.213,0.982
0.218,0.982
0.225,0.982
0.232,0.982
0.238,0.982
0.244,0.982
0.248,0.979
0.254,0.979
0.258,0.979
0.264,0.977
0.269,0.975
0.274,0.972
0.278,0.972
0.283,0.972
0.288,0.972
0.292,0.972
0.297,0.972
0.302,0.972
0.306,0.972
0.310,0.970
0.315,0.970
0.319,0.970
0.323,0.970
0.326,0.969
0.330,0.969
0.334,0.969
0.338,0.969
0.342,0.969
0.346,0.969
0.350,0.969
0.353,0.969
0.356,0.968
0.359,0.968
0.363,0.968
0.365,0.967
0.368,0.967
0.371,0.966
0.373,0.964
0.379,0.964
0.382,0.964
0.386,0.964
0.388,0.961
0.392,0.961
0.395,0.961
0.397,0.961
0.400,0.960
0.403,0.960
0.408,0.960
0.411,0.960
0.415,0.960
0.417,0.960
0.419,0.959
0.423,0.958
0.425,0.958
0.427,0.958
0.430,0.958
0.432,0.956
0.434,0.956
0.438,0.956
0.439,0.955
0.441,0.954
0.444,0.953
0.448,0.953
0.449,0.953
0.451,0.952
0.453,0.952
0.455,0.951
0.457,0.951
0.459,0.949
0.461,0.949
0.464,0.948
0.466,0.948
0.469,0.948
0.472,0.948
0.474,0.947
0.476,0.946
0.479,0.946
0.480,0.946
0.483,0.946
0.484,0.944
0.486,0.944
0.488,0.943
0.491,0.943
0.492,0.941
0.494,0.941
0.495,0.941
0.499,0.941
0.502,0.941
0.504,0.941
0.506,0.941
0.508,0.941
0.510,0.939
0.513,0.939
0.514,0.938
0.516,0.938
0.518,0.938
0.519,0.937
0.522,0.937
0.524,0.937
0.525,0.937
0.530,0.937
0.532,0.937
0.534,0.937
0.536,0.937
0.537,0.937
0.540,0.936
0.541,0.936
0.544,0.935
0.546,0.935
0.549,0.935
0.551,0.933
0.553,0.933
0.558,0.932
0.560,0.932
0.561,0.932
0.563,0.932
0.564,0.931
0.565,0.931
0.566,0.930
0.566,0.929
0.568,0.929
0.571,0.929
0.572,0.928
0.574,0.928
0.576,0.928
0.578,0.927
0.583,0.927
0.584,0.927
0.585,0.927
0.586,0.927
0.586,0.927
0.590,0.927
0.591,0.925
0.592,0.925
0.595,0.925
0.597,0.925
0.600,0.925
0.603,0.925
0.605,0.924
0.606,0.922
0.608,0.922
0.608,0.920
0.609,0.920
0.612,0.920
0.614,0.918
0.615,0.918
0.617,0.917
0.619,0.916
0.621,0.916
0.625,0.916
0.627,0.916
0.629,0.915
0.631,0.914
0.632,0.914
