threshold,precision,recall
0.017,0.025,1.000
0.018,0.025,1.000
0.019,0.025,1.000
0.020,0.025,1.000
0.021,0.025,1.000
0.022,0.025,1.000
0.023,0.025,1.000
0.024,0.025,1.000
0.025,0.025,1.000
0.026,0.025,1.000
0.027,0.025,1.000
0.028,0.026,1.000
0.029,0.026,1.000
0.030,0.028,1.000
0.031,0.029,1.000
0.032,0.031,1.000
0.033,0.035,1.000
0.034,0.038,0.999
0.035,0.043,0.998
0.036,0.048,0.995
0.037,0.055,0.995
0.038,0.062,0.994
0.039,0.069,0.992
0.040,0.076,0.992
0.041,0.084,0.992
0.042,0.093,0.992
0.043,0.101,0.992
0.044,0.110,0.992
0.045,0.118,0.990
0.046,0.126,0.987
0.047,0.133,0.985
0.048,0.141,0.985
0.049,0.148,0.984
0.050,0.156,0.984
0.051,0.164,0.984
0.052,0.172,0.982
0.053,0.179,0.982
0.054,0.186,0.982
0.055,0.193,0.982
0.056,0.200,0.982
0.057,0.207,0.982
0.058,0.213,0.982
0.059,0.218,0.982
0.060,0.225,0.982
0.061,0.232,0.982
0.062,0.238,0.982
0.063,0.244,0.982
0.064,0.248,0.979
0.065,0.254,0.979
0.066,0.258,0.979
0.067,0.264,0.977
0.068,0.269,0.975
0.069,0.274,0.972
0.070,0.278,0.972
0.071,0.283,0.972
0.072,0.288,0.972
0.073,0.292,0.972
0.074,0.297,0.972
0.075,0.302,0.972
0.076,0.306,0.972
0.077,0.310,0.970
0.078,0.315,0.970
0.079,0.319,0.970
0.080,0.323,0.970
0.081,0.326,0.969
0.082,0.330,0.969
0.083,0.334,0.969
0.084,0.338,0.969
0.085,0.342,0.969
0.086,0.346,0.969
0.087,0.350,0.969
0.088,0.353,0.969
0.089,0.356,0.968
0.090,0.359,0.968
0.091,0.363,0.968
0.092,0.365,0.967
0.093,0.368,0.967
0.094,0.371,0.966
0.095,0.373,0.964
0.096,0.379,0.964
0.097,0.382,0.964
0.098,0.386,0.964
0.099,0.388,0.961
0.100,0.392,0.961
0.101,0.395,0.961
0.102,0.397,0.961
0.103,0.400,0.960
0.104,0.403,0.960
0.105,0.408,0.960
0.106,0.411,0.960
0.107,0.415,0.960
0.108,0.417,0.960
0.109,0.419,0.959
0.110,0.423,0.958
0.111,0.425,0.958
0.112,0.427,0.958
0.113,0.430,0.958
0.114,0.432,0.956
0.115,0.434,0.956
0.116,0.438,0.956
0.117,0.439,0.955
0.118,0.441,0.954
0.119,0.444,0.953
0.120,0.448,0.953
0.121,0.449,0.953
0.122,0.451,0.952
0.123,0.453,0.952
0.124,0.455,0.951
0.125,0.457,0.951
0.126,0.459,0.949
0.127,0.461,0.949
0.128,0.464,0.948
0.129,0.466,0.948
0.130,0.469,0.948
0.131,0.472,0.948
0.132,0.474,0.947
0.133,0.476,0.946
0.134,0.479,0.946
0.135,0.480,0.946
0.136,0.483,0.946
0.137,0.484,0.944
0.138,0.486,0.944
0.139,0.488,0.943
0.140,0.491,0.943
0.141,0.492,0.941
0.142,0.494,0.941
0.143,0.495,0.941
0.144,0.499,0.941
0.145,0.502,0.941
0.146,0.504,0.941
0.147,0.506,0.941
0.148,0.508,0.941
0.149,0.510,0.939
0.150,0.513,0.939
0.151,0.514,0.938
0.152,0.516,0.938
0.153,0.518,0.938
0.154,0.519,0.937
0.155,0.522,0.937
0.156,0.524,0.937
0.157,0.525,0.937
0.158,0.530,0.937
0.159,0.532,0.937
0.160,0.534,0.937
0.161,0.536,0.937
0.162,0.537,0.937
0.163,0.540,0.936
0.164,0.541,0.936
0.165,0.544,0.935
0.166,0.546,0.935
0.167,0.549,0.935
0.168,0.551,0.933
0.169,0.553,0.933
0.170,0.558,0.932
0.171,0.560,0.932
0.172,0.561,0.932
0.173,0.563,0.932
0.174,0.564,0.931
0.175,0.565,0.931
0.176,0.566,0.930
0.177,0.566,0.929
