class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.995,1.000,1.000,0.844,32,27.0,0.0
ALFL,0.992,0.999,1.000,0.739,46,34.0,0.0
AMBI,0.816,0.996,1.000,0.333,9,3.0,0.0
AMCR,0.777,0.988,1.000,0.320,25,8.0,0.0
AMRO,0.975,0.999,1.000,0.583,12,7.0,0.0
BADO,0.981,0.999,0.947,0.818,22,18.0,1.0
BBWA,1.000,1.000,1.000,0.333,6,2.0,0.0
BCCH,0.901,0.998,0.778,0.700,10,7.0,2.0
BEKI,0.900,0.995,1.000,0.750,8,6.0,0.0
BLJA,0.956,0.998,1.000,0.650,20,13.0,0.0
BRCR,0.974,0.999,1.000,0.786,14,11.0,0.0
BTNW,0.984,1.000,1.000,0.842,19,16.0,0.0
CANG,0.897,0.999,0.800,0.667,6,4.0,1.0
CEDW,0.910,0.996,1.000,0.391,23,9.0,0.0
CHSP,0.977,0.996,1.000,0.648,54,35.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,0.976,1.000,1.000,0.833,6,5.0,0.0
COYE,0.969,0.999,1.000,0.818,22,18.0,0.0
DEJU,0.859,0.991,1.000,0.545,11,6.0,0.0
EAKI,1.000,1.000,1.000,0.857,7,6.0,0.0
EATO,1.000,1.000,1.000,0.545,11,6.0,0.0
EAWP,0.995,1.000,1.000,0.867,30,26.0,0.0
FISP,1.000,1.000,1.000,0.750,12,9.0,0.0
GCKI,0.934,0.995,1.000,0.500,12,6.0,0.0
GHOW,0.874,0.981,1.000,0.321,28,9.0,0.0
HETH,0.533,0.872,1.000,0.093,43,4.0,0.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.989,1.000,1.000,0.696,23,16.0,0.0
NOFL,0.967,0.999,0.889,0.800,10,8.0,1.0
OVEN,0.983,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.973,0.999,1.000,0.385,13,5.0,0.0
RWBL,0.978,0.999,1.000,0.676,37,25.0,0.0
SWSP,0.904,0.988,1.000,0.462,39,18.0,0.0
SWTH,0.957,0.999,0.833,1.000,10,10.0,2.0
TEWA,0.905,0.983,1.000,0.500,46,23.0,0.0
TRUS,1.000,1.000,1.000,0.125,8,1.0,0.0
VEER,0.917,0.999,1.000,0.500,4,2.0,0.0
WAVI,0.931,0.997,1.000,0.800,10,8.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.941,0.995,1.000,0.581,31,18.0,0.0
WIWA,0.963,1.000,0.889,0.889,9,8.0,1.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,0.500,4,2.0,0.0
WTSP,0.859,0.979,1.000,0.395,43,17.0,0.0
YEWA,0.958,0.999,1.000,0.438,16,7.0,0.0
