threshold,precision,recall
0.019,0.025,1.000
0.020,0.025,1.000
0.021,0.025,1.000
0.022,0.025,1.000
0.023,0.025,1.000
0.024,0.025,1.000
0.025,0.025,1.000
0.026,0.025,1.000
0.027,0.025,1.000
0.028,0.026,0.999
0.029,0.027,0.999
0.030,0.028,0.999
0.031,0.030,0.999
0.032,0.032,0.999
0.033,0.035,0.999
0.034,0.039,0.999
0.035,0.044,0.997
0.036,0.049,0.995
0.037,0.055,0.994
0.038,0.062,0.994
0.039,0.069,0.991
0.040,0.077,0.990
0.041,0.085,0.989
0.042,0.093,0.987
0.043,0.101,0.985
0.044,0.109,0.984
0.045,0.117,0.983
0.046,0.124,0.983
0.047,0.132,0.983
0.048,0.139,0.983
0.049,0.146,0.979
0.050,0.154,0.978
0.051,0.162,0.977
0.052,0.168,0.977
0.053,0.176,0.976
0.054,0.183,0.976
0.055,0.189,0.976
0.056,0.196,0.976
0.057,0.202,0.976
0.058,0.208,0.975
0.059,0.213,0.974
0.060,0.220,0.971
0.061,0.226,0.971
0.062,0.231,0.971
0.063,0.236,0.970
0.064,0.242,0.970
0.065,0.247,0.970
0.066,0.253,0.969
0.067,0.257,0.968
0.068,0.262,0.968
0.069,0.267,0.968
0.070,0.271,0.967
0.071,0.276,0.967
0.072,0.280,0.967
0.073,0.285,0.967
0.074,0.288,0.966
0.075,0.293,0.964
0.076,0.297,0.964
0.077,0.301,0.964
0.078,0.306,0.964
0.079,0.309,0.964
0.080,0.314,0.963
0.081,0.318,0.963
0.082,0.323,0.963
0.083,0.327,0.962
0.084,0.331,0.962
0.085,0.336,0.962
0.086,0.340,0.962
0.087,0.345,0.962
0.088,0.349,0.962
0.089,0.353,0.962
0.090,0.357,0.962
0.091,0.358,0.961
0.092,0.361,0.961
0.093,0.365,0.961
0.094,0.369,0.961
0.095,0.371,0.961
0.096,0.375,0.960
0.097,0.378,0.958
0.098,0.381,0.958
0.099,0.384,0.958
0.100,0.387,0.956
0.101,0.390,0.956
0.102,0.396,0.955
0.103,0.399,0.955
0.104,0.402,0.954
0.105,0.405,0.954
0.106,0.408,0.954
0.107,0.410,0.954
0.108,0.413,0.954
0.109,0.416,0.953
0.110,0.418,0.953
0.111,0.420,0.953
0.112,0.425,0.952
0.113,0.427,0.949
0.114,0.429,0.948
0.115,0.432,0.948
0.116,0.434,0.948
0.117,0.437,0.948
0.118,0.440,0.947
0.119,0.443,0.947
0.120,0.444,0.947
0.121,0.445,0.946
0.122,0.448,0.946
0.123,0.450,0.944
0.124,0.453,0.944
0.125,0.455,0.944
0.126,0.458,0.944
0.127,0.461,0.944
0.128,0.463,0.944
0.129,0.465,0.944
0.130,0.468,0.944
0.131,0.471,0.943
0.132,0.473,0.943
0.133,0.477,0.943
0.134,0.480,0.943
0.135,0.482,0.943
0.136,0.487,0.943
0.137,0.488,0.941
0.138,0.490,0.941
0.139,0.493,0.941
0.140,0.495,0.940
0.141,0.497,0.940
0.142,0.500,0.939
0.143,0.501,0.939
0.144,0.504,0.939
0.145,0.505,0.939
0.146,0.508,0.937
0.147,0.510,0.937
0.148,0.511,0.937
0.149,0.512,0.936
0.150,0.513,0.935
0.151,0.514,0.933
0.152,0.517,0.933
0.153,0.518,0.933
0.154,0.519,0.933
0.155,0.520,0.933
0.156,0.523,0.932
0.157,0.525,0.932
0.158,0.529,0.932
0.159,0.530,0.932
0.160,0.532,0.932
0.161,0.535,0.931
0.162,0.536,0.931
0.163,0.537,0.931
0.164,0.541,0.931
0.165,0.542,0.931
0.166,0.545,0.931
0.167,0.547,0.931
0.168,0.549,0.931
0.169,0.550,0.931
0.170,0.552,0.931
0.171,0.554,0.931
0.172,0.555,0.931
0.173,0.555,0.930
0.174,0.556,0.930
0.175,0.559,0.929
0.176,0.561,0.929
0.177,0.563,0.929
0.178,0.566,0.929
0.179,0.567,0.929
0.180,0.569,0.929
0.181,0.571,0.929
0.182,0.574,0.929
0.183,0.575,0.928
0.184,0.578,0.927
0.185,0.580,0.925
0.186,0.581,0.925
0.187,0.583,0.924
0.188,0.584,0.924
0.189,0.585,0.924
0.190,0.588,0.924
0.191,0.589,0.924
0.192,0.590,0.923
0.193,0.593,0.922
0.194,0.593,0.922
0.195,0.595,0.921
0.196,0.595,0.921
0.197,0.596,0.920
0.198,0.599,0.920
0.199,0.600,0.918
0.200,0.602,0.917
0.201,0.604,0.917
0.202,0.606,0.917
0.203,0.608,0.917
0.204,0.609,0.917
0.205,0.611,0.916
0.206,0.614,0.916
0.207,0.615,0.915
0.208,0.618,0.915
0.209,0.621,0.915
0.210,0.621,0.914
0.211,0.624,0.914
0.212,0.626,0.913
0.213,0.628,0.912
0.214,0.630,0.912
0.215,0.632,0.910
0.216,0.634,0.910
0.217,0.637,0.910
0.218,0.638,0.909
0.219,0.639,0.909
0.220,0.641,0.909
0.221,0.642,0.906
0.222,0.644,0.906
0.223,0.647,0.905
0.224,0.650,0.905
0.225,0.650,0.904
0.226,0.651,0.904
0.227,0.652,0.904
0.228,0.656,0.902
0.229,0.659,0.902
0.230,0.661,0.902
0.231,0.662,0.901
0.232,0.663,0.901
0.233,0.666,0.899
0.234,0.668,0.899
0.235,0.670,0.899
0.236,0.671,0.899
0.237,0.672,0.899
0.238,0.674,0.898
0.239,0.674,0.898
0.240,0.676,0.897
0.241,0.678,0.897
0.242,0.680,0.896
0.243,0.685,0.896
0.244,0.689,0.894
0.245,0.692,0.894
0.246,0.695,0.894
0.248,0.698,0.894
0.249,0.700,0.894
0.250,0.701,0.894
0.251,0.703,0.894
0.252,0.704,0.894
0.253,0.705,0.893
0.254,0.705,0.893
0.255,0.708,0.893
0.256,0.709,0.893
0.257,0.711,0.892
0.260,0.712,0.892
0.261,0.713,0.891
0.262,0.714,0.891
0.263,0.715,0.891
0.264,0.715,0.890
0.266,0.715,0.889
0.267,0.717,0.887
0.268,0.719,0.887
0.269,0.720,0.887
0.270,0.720,0.887
0.271,0.724,0.887
0.272,0.725,0.887
0.274,0.726,0.887
0.275,0.726,0.886
0.276,0.727,0.886
0.277,0.729,0.886
0.278,0.731,0.885
0.279,0.734,0.885
0.280,0.735,0.885
0.281,0.737,0.885
0.282,0.740,0.884
0.283,0.741,0.884
0.284,0.741,0.882
0.285,0.742,0.882
0.287,0.743,0.882
0.288,0.744,0.882
0.289,0.746,0.882
0.290,0.749,0.882
0.291,0.750,0.881
0.293,0.751,0.881
0.294,0.752,0.879
0.295,0.753,0.879
0.296,0.754,0.879
0.297,0.755,0.879
0.298,0.758,0.879
0.299,0.759,0.878
0.300,0.760,0.877
0.301,0.761,0.877
0.303,0.761,0.876
0.304,0.762,0.876
0.305,0.764,0.876
0.306,0.765,0.876
0.309,0.765,0.876
0.310,0.767,0.876
0.311,0.771,0.876
0.312,0.771,0.875
0.313,0.772,0.875
0.314,0.774,0.875
0.315,0.774,0.875
0.316,0.776,0.875
0.317,0.777,0.874
0.318,0.779,0.874
0.319,0.780,0.873
0.320,0.782,0.873
0.321,0.781,0.870
0.322,0.782,0.870
0.323,0.784,0.870
0.325,0.785,0.870
0.326,0.786,0.870
0.328,0.789,0.870
0.329,0.790,0.870
0.331,0.791,0.870
0.332,0.794,0.870
0.333,0.796,0.870
0.335,0.797,0.870
0.336,0.798,0.870
0.337,0.798,0.869
0.338,0.797,0.868
0.339,0.800,0.868
0.340,0.802,0.868
0.344,0.803,0.868
0.346,0.806,0.867
0.347,0.807,0.867
0.349,0.809,0.867
0.350,0.809,0.866
0.351,0.809,0.865
0.353,0.809,0.863
0.354,0.809,0.862
0.355,0.810,0.862
0.356,0.810,0.861
0.357,0.811,0.861
0.358,0.811,0.860
0.359,0.812,0.860
0.360,0.814,0.859
0.361,0.815,0.858
0.362,0.815,0.856
0.365,0.817,0.856
0.366,0.818,0.856
0.367,0.819,0.855
0.368,0.820,0.855
0.369,0.821,0.855
0.371,0.822,0.855
0.372,0.823,0.855
0.374,0.824,0.855
0.375,0.825,0.855
0.376,0.827,0.855
0.377,0.828,0.855
0.378,0.830,0.855
0.379,0.830,0.854
0.380,0.832,0.854
0.381,0.833,0.854
0.383,0.834,0.853
0.384,0.835,0.853
0.387,0.836,0.853
0.388,0.836,0.852
0.389,0.837,0.852
0.391,0.836,0.851
0.392,0.837,0.850
0.393,0.838,0.848
0.395,0.838,0.847
0.396,0.838,0.846
0.397,0.839,0.845
0.398,0.840,0.845
0.401,0.841,0.844
0.402,0.842,0.843
0.404,0.844,0.843
0.405,0.843,0.842
0.407,0.845,0.842
0.408,0.847,0.842
0.409,0.848,0.840
0.410,0.849,0.838
0.411,0.850,0.838
0.412,0.851,0.838
0.414,0.852,0.837
0.415,0.853,0.837
0.419,0.855,0.837
0.420,0.856,0.837
0.422,0.857,0.837
0.423,0.858,0.837
0.425,0.858,0.836
0.427,0.858,0.835
0.430,0.858,0.834
0.431,0.859,0.834
0.432,0.862,0.834
0.434,0.863,0.834
0.435,0.864,0.834
0.437,0.864,0.832
0.438,0.865,0.832
0.439,0.867,0.832
0.440,0.867,0.831
0.442,0.870,0.831
0.443,0.872,0.830
0.444,0.873,0.830
0.445,0.874,0.830
0.447,0.875,0.830
0.448,0.876,0.830
0.449,0.876,0.829
0.452,0.877,0.829
0.453,0.879,0.829
0.454,0.880,0.828
0.455,0.883,0.827
0.456,0.884,0.825
0.458,0.884,0.824
