threshold,true positive rate,false positive rate
0.019,1.000,1.000
0.020,1.000,1.000
0.021,1.000,1.000
0.022,1.000,0.999
0.023,1.000,0.998
0.024,1.000,0.997
0.025,1.000,0.993
0.026,1.000,0.987
0.027,1.000,0.976
0.028,0.999,0.957
0.029,0.999,0.928
0.030,0.999,0.885
0.031,0.999,0.831
0.032,0.999,0.771
0.033,0.999,0.699
0.034,0.999,0.625
0.035,0.997,0.554
0.036,0.995,0.489
0.037,0.994,0.431
0.038,0.994,0.381
0.039,0.991,0.339
0.040,0.990,0.301
0.041,0.989,0.270
0.042,0.987,0.244
0.043,0.985,0.223
0.044,0.984,0.204
0.045,0.983,0.189
0.046,0.983,0.176
0.047,0.983,0.164
0.048,0.983,0.154
0.049,0.979,0.145
0.050,0.978,0.137
0.051,0.977,0.129
0.052,0.977,0.123
0.053,0.976,0.116
0.054,0.976,0.111
0.055,0.976,0.106
0.056,0.976,0.102
0.057,0.976,0.098
0.058,0.975,0.094
0.059,0.974,0.091
0.060,0.971,0.088
0.061,0.971,0.085
0.062,0.971,0.082
0.063,0.970,0.080
0.064,0.970,0.077
0.065,0.970,0.075
0.066,0.969,0.073
0.067,0.968,0.071
0.068,0.968,0.069
0.069,0.968,0.068
0.070,0.967,0.066
0.071,0.967,0.064
0.072,0.967,0.063
0.073,0.967,0.062
0.074,0.966,0.060
0.075,0.964,0.059
0.076,0.964,0.058
0.077,0.964,0.057
0.078,0.964,0.056
0.079,0.964,0.055
0.080,0.963,0.053
0.081,0.963,0.052
0.082,0.963,0.051
0.083,0.962,0.050
0.084,0.962,0.049
0.085,0.962,0.048
0.086,0.962,0.047
0.087,0.962,0.046
0.088,0.962,0.046
0.089,0.962,0.045
0.090,0.962,0.044
0.091,0.961,0.044
0.092,0.961,0.043
0.093,0.961,0.042
0.094,0.961,0.042
0.095,0.961,0.041
0.096,0.960,0.041
0.097,0.958,0.040
0.098,0.958,0.039
0.099,0.958,0.039
0.100,0.956,0.038
0.101,0.956,0.038
0.102,0.955,0.037
0.103,0.955,0.036
0.104,0.954,0.036
0.105,0.954,0.036
0.106,0.954,0.035
0.107,0.954,0.035
0.108,0.954,0.034
0.109,0.953,0.034
0.110,0.953,0.034
0.111,0.953,0.033
0.112,0.952,0.033
0.113,0.949,0.032
0.114,0.948,0.032
0.115,0.948,0.032
0.117,0.948,0.031
0.118,0.947,0.031
0.119,0.947,0.030
0.120,0.947,0.030
0.121,0.946,0.030
0.122,0.946,0.030
0.123,0.944,0.029
0.124,0.944,0.029
0.125,0.944,0.029
0.126,0.944,0.028
0.127,0.944,0.028
0.129,0.944,0.028
0.130,0.944,0.027
0.131,0.943,0.027
0.132,0.943,0.027
0.133,0.943,0.026
0.134,0.943,0.026
0.135,0.943,0.026
