class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.991,1.000,1.000,0.750,32,24.0,0.0
ALFL,0.882,0.983,0.963,0.565,46,26.0,1.0
AMBI,0.786,0.991,1.000,0.556,9,5.0,0.0
AMCR,0.767,0.973,1.000,0.280,25,7.0,0.0
AMRO,0.768,0.957,1.000,0.333,12,4.0,0.0
BADO,0.808,0.989,0.900,0.818,22,18.0,2.0
BBWA,1.000,1.000,1.000,0.500,6,3.0,0.0
BCCH,0.766,0.998,0.818,0.900,10,9.0,2.0
BEKI,0.870,0.994,1.000,0.625,8,5.0,0.0
BLJA,0.867,0.993,1.000,0.350,20,7.0,0.0
BRCR,0.736,0.995,0.833,0.357,14,5.0,1.0
BTNW,0.989,1.000,1.000,0.895,19,17.0,0.0
CANG,0.882,0.999,0.800,0.667,6,4.0,1.0
CEDW,0.829,0.993,1.000,0.391,23,9.0,0.0
CHSP,0.934,0.980,1.000,0.500,54,27.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,0.500,6,3.0,0.0
COYE,0.966,0.999,1.000,0.636,22,14.0,0.0
DEJU,0.856,0.994,1.000,0.545,11,6.0,0.0
EAKI,0.948,0.999,1.000,0.714,7,5.0,0.0
EATO,0.954,0.999,0.889,0.727,11,8.0,1.0
EAWP,0.954,0.992,1.000,0.733,30,22.0,0.0
FISP,0.816,0.968,1.000,0.417,12,5.0,0.0
GCKI,0.734,0.885,1.000,0.333,12,4.0,0.0
GHOW,0.605,0.827,1.000,0.071,28,2.0,0.0
HETH,0.596,0.826,1.000,0.140,43,6.0,0.0
NHWR,1.000,1.000,1.000,0.778,9,7.0,0.0
NOCA,0.969,0.999,1.000,0.435,23,10.0,0.0
NOFL,0.965,0.999,1.000,0.800,10,8.0,0.0
OVEN,0.898,0.986,0.889,0.800,10,8.0,1.0
PISI,1.000,1.000,1.000,0.909,11,10.0,0.0
RBNU,0.887,0.992,1.000,0.077,13,1.0,0.0
RWBL,0.881,0.990,0.895,0.459,37,17.0,2.0
SWSP,0.812,0.958,1.000,0.231,39,9.0,0.0
SWTH,0.909,0.999,0.875,0.700,10,7.0,1.0
TEWA,0.755,0.891,1.000,0.391,46,18.0,0.0
TRUS,0.953,1.000,1.000,0.125,8,1.0,0.0
VEER,0.854,0.999,1.000,0.250,4,1.0,0.0
WAVI,0.967,0.999,1.000,0.700,10,7.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.855,0.941,1.000,0.516,31,16.0,0.0
WIWA,0.960,0.999,0.889,0.889,9,8.0,1.0
WIWR,1.000,1.000,1.000,0.758,33,25.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.837,0.935,1.000,0.349,43,15.0,0.0
YEWA,0.875,0.982,1.000,0.375,16,6.0,0.0
