precision,recall
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,0.998
0.025,0.997
0.026,0.994
0.026,0.993
0.027,0.993
0.028,0.992
0.029,0.987
0.031,0.984
0.034,0.982
0.037,0.979
0.041,0.976
0.046,0.972
0.052,0.968
0.059,0.963
0.067,0.960
0.076,0.955
0.087,0.954
0.098,0.952
0.109,0.948
0.121,0.943
0.133,0.939
0.146,0.937
0.159,0.937
0.172,0.932
0.185,0.930
0.197,0.929
0.210,0.928
0.222,0.927
0.235,0.925
0.245,0.923
0.255,0.921
0.264,0.916
0.274,0.913
0.284,0.908
0.295,0.906
0.306,0.905
0.315,0.904
0.325,0.904
0.334,0.899
0.341,0.899
0.348,0.897
0.357,0.896
0.367,0.894
0.377,0.894
0.385,0.892
0.390,0.890
0.398,0.889
0.405,0.887
0.412,0.886
0.416,0.884
0.423,0.883
0.429,0.883
0.436,0.882
0.442,0.881
0.449,0.881
0.455,0.879
0.459,0.878
0.467,0.878
0.471,0.878
0.475,0.878
0.480,0.877
0.488,0.877
0.491,0.875
0.494,0.875
0.499,0.875
0.504,0.875
0.508,0.874
0.511,0.873
0.514,0.873
0.516,0.871
0.522,0.870
0.526,0.870
0.529,0.869
0.533,0.868
0.537,0.868
0.540,0.867
0.542,0.867
0.545,0.867
0.549,0.865
0.552,0.865
0.555,0.862
0.559,0.862
0.561,0.862
0.565,0.862
0.567,0.862
0.573,0.861
0.577,0.860
0.580,0.859
0.584,0.859
0.587,0.858
0.591,0.858
0.594,0.856
0.597,0.856
0.599,0.856
0.604,0.856
0.606,0.855
0.612,0.855
0.614,0.853
0.619,0.852
0.621,0.852
0.624,0.852
0.625,0.852
0.626,0.851
0.632,0.851
0.634,0.851
0.638,0.851
0.644,0.851
0.648,0.851
0.652,0.851
0.656,0.850
0.658,0.848
0.660,0.848
0.662,0.848
0.664,0.845
0.668,0.845
0.672,0.844
0.677,0.844
0.679,0.844
0.685,0.844
0.686,0.844
0.687,0.843
0.690,0.843
0.693,0.843
0.696,0.843
0.698,0.842
0.701,0.842
0.703,0.842
0.705,0.842
0.706,0.842
0.710,0.842
0.711,0.840
0.713,0.840
0.716,0.840
0.716,0.839
0.718,0.838
0.721,0.838
0.722,0.837
0.724,0.837
0.726,0.836
0.727,0.836
0.729,0.836
0.731,0.834
0.733,0.834
0.736,0.831
0.737,0.830
0.737,0.829
0.738,0.828
0.739,0.827
0.741,0.827
0.742,0.827
0.745,0.827
0.746,0.827
0.747,0.827
0.748,0.827
0.749,0.825
0.749,0.824
0.752,0.823
0.757,0.823
0.759,0.822
0.762,0.820
0.764,0.820
0.765,0.816
0.767,0.816
0.768,0.815
0.769,0.814
0.770,0.813
0.770,0.813
0.772,0.811
0.772,0.809
0.774,0.808
0.778,0.807
0.779,0.807
0.780,0.807
0.781,0.806
0.783,0.806
0.783,0.806
0.784,0.806
0.785,0.804
0.788,0.804
0.788,0.801
0.788,0.800
0.789,0.800
0.791,0.799
0.792,0.799
0.793,0.797
0.794,0.797
