threshold,precision,recall
0.010,0.025,1.000
0.012,0.025,1.000
0.013,0.025,1.000
0.014,0.025,1.000
0.015,0.025,1.000
0.016,0.025,1.000
0.017,0.025,1.000
0.018,0.025,1.000
0.019,0.025,1.000
0.020,0.025,0.998
0.021,0.025,0.997
0.022,0.026,0.994
0.023,0.026,0.993
0.024,0.027,0.993
0.025,0.028,0.992
0.026,0.029,0.987
0.027,0.031,0.984
0.028,0.034,0.982
0.029,0.037,0.979
0.030,0.041,0.976
0.031,0.046,0.972
0.032,0.052,0.968
0.033,0.059,0.963
0.034,0.067,0.960
0.035,0.076,0.955
0.036,0.087,0.954
0.037,0.098,0.952
0.038,0.109,0.948
0.039,0.121,0.943
0.040,0.133,0.939
0.041,0.146,0.937
0.042,0.159,0.937
0.043,0.172,0.932
0.044,0.185,0.930
0.045,0.197,0.929
0.046,0.210,0.928
0.047,0.222,0.927
0.048,0.235,0.925
0.049,0.245,0.923
0.050,0.255,0.921
0.051,0.264,0.916
0.052,0.274,0.913
0.053,0.284,0.908
0.054,0.295,0.906
0.055,0.306,0.905
0.056,0.315,0.904
0.057,0.325,0.904
0.058,0.334,0.899
0.059,0.341,0.899
0.060,0.348,0.897
0.061,0.357,0.896
0.062,0.367,0.894
0.063,0.377,0.894
0.064,0.385,0.892
0.065,0.390,0.890
0.066,0.398,0.889
0.067,0.405,0.887
0.068,0.412,0.886
0.069,0.416,0.884
0.070,0.423,0.883
0.071,0.429,0.883
0.072,0.436,0.882
0.073,0.442,0.881
0.074,0.449,0.881
0.075,0.455,0.879
0.076,0.459,0.878
0.077,0.467,0.878
0.078,0.471,0.878
0.079,0.475,0.878
0.080,0.480,0.877
0.081,0.488,0.877
0.082,0.491,0.875
0.083,0.494,0.875
0.084,0.499,0.875
0.085,0.504,0.875
0.086,0.508,0.874
0.087,0.511,0.873
0.088,0.514,0.873
0.089,0.516,0.871
0.090,0.522,0.870
0.091,0.526,0.870
0.092,0.529,0.869
0.093,0.533,0.868
0.094,0.537,0.868
0.095,0.540,0.867
0.096,0.542,0.867
0.097,0.545,0.867
0.098,0.549,0.865
0.099,0.552,0.865
0.100,0.555,0.862
0.101,0.559,0.862
0.102,0.561,0.862
0.103,0.565,0.862
0.104,0.567,0.862
0.105,0.573,0.861
0.106,0.577,0.860
0.107,0.580,0.859
0.108,0.584,0.859
0.109,0.587,0.858
0.110,0.591,0.858
0.111,0.594,0.856
0.112,0.597,0.856
0.113,0.599,0.856
0.114,0.604,0.856
0.115,0.606,0.855
0.116,0.612,0.855
0.117,0.614,0.853
0.118,0.619,0.852
0.119,0.621,0.852
0.120,0.624,0.852
0.121,0.625,0.852
0.122,0.626,0.851
0.123,0.632,0.851
0.124,0.634,0.851
0.125,0.638,0.851
0.126,0.644,0.851
0.127,0.648,0.851
0.128,0.652,0.851
0.129,0.656,0.850
0.130,0.658,0.848
0.131,0.660,0.848
0.132,0.662,0.848
0.133,0.664,0.845
0.134,0.668,0.845
0.135,0.672,0.844
0.136,0.677,0.844
0.137,0.679,0.844
0.138,0.685,0.844
0.139,0.686,0.844
0.140,0.687,0.843
0.141,0.690,0.843
0.142,0.693,0.843
0.143,0.696,0.843
0.145,0.698,0.842
0.146,0.701,0.842
0.147,0.703,0.842
0.148,0.705,0.842
0.149,0.706,0.842
0.150,0.710,0.842
0.151,0.711,0.840
0.152,0.713,0.840
0.153,0.716,0.840
0.155,0.716,0.839
0.157,0.718,0.838
0.158,0.721,0.838
0.159,0.722,0.837
0.160,0.724,0.837
0.161,0.726,0.836
0.162,0.727,0.836
0.163,0.729,0.836
0.164,0.731,0.834
0.165,0.733,0.834
0.166,0.736,0.831
0.167,0.737,0.830
0.168,0.737,0.829
0.169,0.738,0.828
0.170,0.739,0.827
0.171,0.741,0.827
0.172,0.742,0.827
0.173,0.745,0.827
0.176,0.746,0.827
0.177,0.747,0.827
0.178,0.748,0.827
0.179,0.749,0.825
0.180,0.749,0.824
0.183,0.752,0.823
0.184,0.757,0.823
0.185,0.759,0.822
0.186,0.762,0.820
0.187,0.764,0.820
0.189,0.765,0.816
0.190,0.767,0.816
0.191,0.768,0.815
0.192,0.769,0.814
0.193,0.770,0.813
0.195,0.770,0.813
0.197,0.772,0.811
0.198,0.772,0.809
0.200,0.774,0.808
0.202,0.778,0.807
0.203,0.779,0.807
0.204,0.780,0.807
0.205,0.781,0.806
0.207,0.783,0.806
0.208,0.783,0.806
0.209,0.784,0.806
0.210,0.785,0.804
0.212,0.788,0.804
0.214,0.788,0.801
0.215,0.788,0.800
0.216,0.789,0.800
0.217,0.791,0.799
0.218,0.792,0.799
0.219,0.793,0.797
0.220,0.794,0.797
0.221,0.795,0.794
0.222,0.795,0.793
0.223,0.796,0.793
0.224,0.797,0.792
0.225,0.798,0.792
0.226,0.798,0.790
0.229,0.800,0.790
0.230,0.801,0.790
0.231,0.803,0.790
0.233,0.804,0.790
0.234,0.806,0.790
0.236,0.809,0.790
0.237,0.810,0.790
0.238,0.812,0.789
0.240,0.812,0.788
0.241,0.813,0.786
0.242,0.812,0.785
0.243,0.813,0.783
0.244,0.814,0.783
0.245,0.814,0.782
0.246,0.815,0.782
0.247,0.814,0.781
0.248,0.815,0.781
0.249,0.816,0.781
0.251,0.817,0.780
0.253,0.818,0.778
0.255,0.820,0.778
0.259,0.820,0.777
0.260,0.821,0.777
0.261,0.822,0.777
0.262,0.822,0.776
0.265,0.822,0.775
0.266,0.822,0.773
0.267,0.823,0.772
0.270,0.823,0.770
0.271,0.823,0.769
0.274,0.823,0.768
0.276,0.825,0.767
0.277,0.827,0.767
0.278,0.828,0.767
0.279,0.829,0.767
0.280,0.830,0.767
0.282,0.832,0.766
0.291,0.834,0.766
0.293,0.835,0.766
0.294,0.836,0.766
0.295,0.837,0.765
0.296,0.838,0.765
0.298,0.839,0.765
0.303,0.838,0.762
0.304,0.839,0.762
0.305,0.841,0.762
0.306,0.842,0.762
0.307,0.843,0.762
0.308,0.845,0.761
0.309,0.845,0.760
0.311,0.845,0.759
0.312,0.845,0.757
0.313,0.845,0.755
0.314,0.844,0.754
0.315,0.848,0.754
0.316,0.849,0.754
0.318,0.850,0.754
0.319,0.851,0.754
0.321,0.852,0.752
0.325,0.853,0.751
0.326,0.855,0.751
0.329,0.857,0.750
0.334,0.858,0.749
0.335,0.858,0.747
0.336,0.859,0.747
0.338,0.860,0.747
0.341,0.861,0.747
0.344,0.861,0.745
0.346,0.862,0.745
0.348,0.864,0.745
0.351,0.865,0.744
0.352,0.865,0.742
