threshold,true positive rate,false positive rate
0.010,1.000,1.000
0.012,1.000,1.000
0.013,1.000,1.000
0.014,1.000,1.000
0.015,1.000,0.999
0.016,1.000,0.999
0.017,1.000,0.998
0.018,1.000,0.995
0.019,1.000,0.991
0.020,0.998,0.984
0.021,0.997,0.974
0.022,0.994,0.957
0.023,0.993,0.937
0.024,0.993,0.907
0.025,0.992,0.872
0.026,0.987,0.826
0.027,0.984,0.772
0.028,0.982,0.711
0.029,0.979,0.644
0.030,0.976,0.574
0.031,0.972,0.507
0.032,0.968,0.446
0.033,0.963,0.391
0.034,0.960,0.339
0.035,0.955,0.294
0.036,0.954,0.256
0.037,0.952,0.223
0.038,0.948,0.196
0.039,0.943,0.174
0.040,0.939,0.155
0.041,0.937,0.139
0.042,0.937,0.125
0.043,0.932,0.114
0.044,0.930,0.104
0.045,0.929,0.096
0.046,0.928,0.089
0.047,0.927,0.082
0.048,0.925,0.077
0.049,0.923,0.072
0.050,0.921,0.068
0.051,0.916,0.065
0.052,0.913,0.061
0.053,0.908,0.058
0.054,0.906,0.055
0.055,0.905,0.052
0.056,0.904,0.050
0.057,0.904,0.048
0.058,0.899,0.046
0.059,0.899,0.044
0.060,0.897,0.043
0.061,0.896,0.041
0.062,0.894,0.039
0.063,0.894,0.037
0.064,0.892,0.036
0.065,0.890,0.035
0.066,0.889,0.034
0.067,0.887,0.033
0.068,0.886,0.032
0.069,0.884,0.031
0.070,0.883,0.031
0.071,0.883,0.030
0.072,0.882,0.029
0.073,0.881,0.028
0.074,0.881,0.027
0.075,0.879,0.027
0.076,0.878,0.026
0.077,0.878,0.025
0.078,0.878,0.025
0.079,0.878,0.025
0.080,0.877,0.024
0.081,0.877,0.023
0.082,0.875,0.023
0.083,0.875,0.023
0.084,0.875,0.022
0.085,0.875,0.022
0.086,0.874,0.021
0.087,0.873,0.021
0.088,0.873,0.021
0.089,0.871,0.021
0.090,0.870,0.020
0.091,0.870,0.020
0.092,0.869,0.020
0.093,0.868,0.019
0.094,0.868,0.019
0.095,0.867,0.019
0.096,0.867,0.019
0.097,0.867,0.018
0.098,0.865,0.018
0.099,0.865,0.018
0.100,0.862,0.018
0.101,0.862,0.017
0.102,0.862,0.017
0.103,0.862,0.017
0.104,0.862,0.017
0.105,0.861,0.016
0.106,0.860,0.016
0.107,0.859,0.016
0.108,0.859,0.016
0.109,0.858,0.015
0.110,0.858,0.015
0.111,0.856,0.015
0.112,0.856,0.015
0.113,0.856,0.015
0.114,0.856,0.014
0.115,0.855,0.014
0.116,0.855,0.014
0.117,0.853,0.014
0.118,0.852,0.013
0.119,0.852,0.013
0.120,0.852,0.013
0.121,0.852,0.013
0.122,0.851,0.013
0.123,0.851,0.013
0.124,0.851,0.012
0.125,0.851,0.012
0.126,0.851,0.012
0.127,0.851,0.012
0.128,0.851,0.012
0.129,0.850,0.011
0.130,0.848,0.011
0.132,0.848,0.011
0.133,0.845,0.011
0.134,0.845,0.011
0.135,0.844,0.010
0.136,0.844,0.010
0.137,0.844,0.010
0.138,0.844,0.010
0.139,0.844,0.010
0.140,0.843,0.010
0.141,0.843,0.010
0.142,0.843,0.009
0.143,0.843,0.009
0.145,0.842,0.009
0.146,0.842,0.009
0.147,0.842,0.009
0.148,0.842,0.009
0.149,0.842,0.009
0.150,0.842,0.009
0.151,0.840,0.009
0.153,0.840,0.008
0.155,0.839,0.008
0.157,0.838,0.008
0.158,0.838,0.008
0.159,0.837,0.008
0.160,0.837,0.008
0.161,0.836,0.008
0.162,0.836,0.008
0.163,0.836,0.008
0.164,0.834,0.008
0.165,0.834,0.008
0.166,0.831,0.008
0.167,0.830,0.008
0.168,0.829,0.008
0.170,0.827,0.007
0.172,0.827,0.007
0.173,0.827,0.007
0.178,0.827,0.007
0.179,0.825,0.007
0.180,0.824,0.007
0.183,0.823,0.007
0.184,0.823,0.007
0.185,0.822,0.007
0.186,0.820,0.006
0.187,0.820,0.006
0.189,0.816,0.006
0.190,0.816,0.006
0.191,0.815,0.006
0.193,0.813,0.006
0.195,0.813,0.006
0.197,0.811,0.006
0.198,0.809,0.006
0.200,0.808,0.006
0.202,0.807,0.006
0.203,0.807,0.006
0.204,0.807,0.006
0.205,0.806,0.006
0.207,0.806,0.006
0.209,0.806,0.006
0.210,0.804,0.006
0.212,0.804,0.005
0.214,0.801,0.005
0.215,0.800,0.005
0.216,0.800,0.005
0.217,0.799,0.005
0.218,0.799,0.005
0.219,0.797,0.005
0.220,0.797,0.005
0.221,0.794,0.005
0.222,0.793,0.005
0.223,0.793,0.005
0.224,0.792,0.005
0.225,0.792,0.005
0.226,0.790,0.005
0.229,0.790,0.005
0.230,0.790,0.005
0.231,0.790,0.005
0.233,0.790,0.005
0.234,0.790,0.005
0.236,0.790,0.005
0.237,0.790,0.005
0.238,0.789,0.005
0.240,0.788,0.005
0.241,0.786,0.005
0.242,0.785,0.005
0.243,0.783,0.005
0.244,0.783,0.005
0.245,0.782,0.005
0.246,0.782,0.005
0.247,0.781,0.005
0.249,0.781,0.004
0.253,0.778,0.004
0.255,0.778,0.004
0.259,0.777,0.004
0.261,0.777,0.004
0.262,0.776,0.004
0.265,0.775,0.004
0.266,0.773,0.004
0.270,0.770,0.004
0.274,0.768,0.004
0.276,0.767,0.004
0.277,0.767,0.004
0.280,0.767,0.004
0.282,0.766,0.004
0.291,0.766,0.004
0.294,0.766,0.004
0.295,0.765,0.004
0.298,0.765,0.004
0.303,0.762,0.004
0.307,0.762,0.004
0.308,0.761,0.004
0.309,0.760,0.004
0.311,0.759,0.004
0.312,0.757,0.004
0.314,0.754,0.004
0.315,0.754,0.003
0.319,0.754,0.003
0.321,0.752,0.003
0.325,0.751,0.003
0.326,0.751,0.003
0.329,0.750,0.003
0.334,0.749,0.003
0.335,0.747,0.003
0.341,0.747,0.003
0.344,0.745,0.003
0.346,0.745,0.003
0.348,0.745,0.003
0.351,0.744,0.003
0.352,0.742,0.003
0.363,0.742,0.003
0.364,0.741,0.003
0.365,0.741,0.003
0.371,0.737,0.003
0.372,0.736,0.003
0.373,0.736,0.003
0.377,0.735,0.003
0.378,0.735,0.003
0.379,0.731,0.003
0.380,0.730,0.003
0.381,0.730,0.003
0.385,0.728,0.003
0.386,0.724,0.003
0.392,0.721,0.003
0.393,0.719,0.003
0.394,0.718,0.002
0.396,0.718,0.002
0.402,0.715,0.002
0.403,0.715,0.002
0.407,0.713,0.002
0.410,0.711,0.002
0.414,0.711,0.002
0.415,0.710,0.002
0.417,0.710,0.002
0.418,0.708,0.002
0.420,0.708,0.002
0.424,0.707,0.002
0.429,0.706,0.002
0.435,0.701,0.002
0.437,0.701,0.002
0.438,0.699,0.002
0.440,0.697,0.002
0.442,0.696,0.002
0.446,0.696,0.002
0.448,0.695,0.002
0.449,0.695,0.002
0.450,0.693,0.002
0.451,0.693,0.002
0.452,0.692,0.002
0.453,0.690,0.002
0.455,0.690,0.002
0.458,0.688,0.002
0.460,0.688,0.002
0.462,0.685,0.002
0.466,0.684,0.002
0.467,0.683,0.002
