roc_recall,one_minus_fpr,roc_precision
0.000,1.000,1.000
0.010,1.000,1.000
0.020,1.000,1.000
0.030,1.000,1.000
0.040,1.000,1.000
0.050,1.000,1.000
0.060,1.000,1.000
0.070,1.000,1.000
0.080,1.000,1.000
0.090,1.000,1.000
0.100,1.000,1.000
0.110,1.000,1.000
0.120,1.000,1.000
0.130,1.000,1.000
0.140,1.000,1.000
0.150,1.000,1.000
0.160,1.000,1.000
0.170,1.000,1.000
0.180,1.000,1.000
0.190,1.000,1.000
0.200,1.000,1.000
0.210,1.000,0.994
0.220,1.000,0.989
0.230,1.000,0.989
0.240,1.000,0.989
0.250,1.000,0.989
0.260,1.000,0.990
0.270,1.000,0.990
0.280,1.000,0.991
0.290,1.000,0.991
0.300,1.000,0.991
0.310,1.000,0.992
0.320,1.000,0.992
0.330,1.000,0.992
0.340,1.000,0.992
0.350,1.000,0.992
0.360,1.000,0.993
0.370,1.000,0.993
0.380,1.000,0.993
0.390,1.000,0.993
0.400,1.000,0.994
0.410,1.000,0.994
0.420,1.000,0.989
0.430,1.000,0.989
0.440,1.000,0.989
0.450,1.000,0.988
0.460,1.000,0.982
0.470,1.000,0.982
0.480,1.000,0.982
0.490,1.000,0.980
0.500,1.000,0.974
0.510,1.000,0.974
0.520,1.000,0.973
0.530,0.999,0.969
0.540,0.999,0.968
0.550,0.999,0.966
0.560,0.999,0.962
0.570,0.999,0.963
0.580,0.999,0.963
0.590,0.999,0.964
0.600,0.999,0.964
0.610,0.999,0.964
0.620,0.999,0.964
0.630,0.999,0.964
0.640,0.999,0.960
0.650,0.999,0.957
0.660,0.999,0.955
0.670,0.999,0.950
0.680,0.999,0.950
0.690,0.999,0.944
0.700,0.999,0.943
0.710,0.999,0.936
0.720,0.998,0.933
0.730,0.998,0.932
0.740,0.998,0.930
0.750,0.998,0.927
0.760,0.998,0.920
0.770,0.998,0.915
0.780,0.997,0.911
0.790,0.997,0.904
0.800,0.996,0.894
0.810,0.996,0.881
0.820,0.995,0.875
0.830,0.994,0.861
0.840,0.993,0.847
0.850,0.992,0.818
0.860,0.991,0.795
0.870,0.990,0.777
0.880,0.989,0.761
0.890,0.987,0.742
0.900,0.985,0.728
0.910,0.982,0.698
0.920,0.977,0.677
0.930,0.969,0.640
0.940,0.957,0.610
0.950,0.943,0.586
0.960,0.908,0.549
0.970,0.868,0.535
0.980,0.760,0.513
0.990,0.407,0.494
1.000,0.203,0.247
1.010,0.000,0.000
