precision,recall
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.026,1.000
0.026,1.000
0.027,1.000
0.028,0.999
0.029,0.999
0.031,0.999
0.033,0.997
0.035,0.997
0.039,0.997
0.042,0.995
0.046,0.995
0.050,0.994
0.055,0.992
0.060,0.991
0.066,0.991
0.072,0.990
0.078,0.990
0.084,0.990
0.090,0.989
0.096,0.985
0.103,0.985
0.109,0.984
0.116,0.984
0.122,0.983
0.129,0.983
0.135,0.982
0.141,0.979
0.148,0.978
0.154,0.978
0.160,0.977
0.166,0.976
0.172,0.975
0.178,0.974
0.183,0.974
0.189,0.972
0.195,0.972
0.200,0.971
0.205,0.970
0.211,0.970
0.216,0.970
0.220,0.969
0.225,0.967
0.230,0.967
0.234,0.966
0.239,0.964
0.244,0.964
0.249,0.963
0.253,0.963
0.257,0.962
0.262,0.962
0.267,0.962
0.271,0.961
0.275,0.961
0.279,0.960
0.283,0.960
0.286,0.959
0.291,0.959
0.294,0.959
0.298,0.959
0.301,0.958
0.305,0.958
0.308,0.958
0.312,0.958
0.315,0.956
0.318,0.956
0.322,0.955
0.325,0.955
0.328,0.955
0.332,0.955
0.334,0.955
0.338,0.955
0.341,0.954
0.344,0.954
0.346,0.954
0.348,0.954
0.351,0.952
0.355,0.952
0.358,0.951
0.361,0.951
0.363,0.951
0.366,0.949
0.370,0.948
0.372,0.948
0.376,0.948
0.378,0.948
0.380,0.948
0.384,0.948
0.386,0.948
0.388,0.947
0.390,0.947
0.392,0.946
0.394,0.946
0.397,0.946
0.400,0.946
0.404,0.945
0.408,0.944
0.413,0.944
0.415,0.943
0.417,0.943
0.421,0.943
0.423,0.943
0.425,0.943
0.429,0.943
0.432,0.943
0.434,0.941
0.436,0.940
0.439,0.940
0.443,0.939
0.444,0.939
0.445,0.939
0.447,0.939
0.449,0.939
0.452,0.937
0.454,0.937
0.456,0.937
0.458,0.937
0.461,0.937
0.464,0.935
0.466,0.935
0.467,0.935
0.469,0.935
0.471,0.935
0.472,0.935
0.473,0.932
0.476,0.932
0.478,0.932
0.481,0.932
0.482,0.932
0.486,0.932
0.487,0.931
0.488,0.931
0.490,0.931
0.492,0.931
0.495,0.931
0.498,0.931
0.498,0.931
0.500,0.931
0.501,0.931
0.505,0.931
0.505,0.930
0.509,0.930
0.510,0.930
0.511,0.930
0.513,0.929
0.515,0.929
0.516,0.928
0.519,0.928
0.520,0.925
0.522,0.925
0.523,0.925
0.525,0.925
0.529,0.925
0.532,0.925
0.533,0.925
0.535,0.924
0.538,0.924
0.540,0.924
0.540,0.924
0.541,0.923
0.543,0.922
0.545,0.921
0.548,0.921
0.549,0.918
0.549,0.917
0.551,0.916
0.553,0.916
0.556,0.916
0.557,0.915
0.560,0.915
0.560,0.914
0.561,0.914
0.563,0.914
0.565,0.913
0.567,0.913
0.569,0.913
0.569,0.913
0.572,0.913
0.575,0.913
0.577,0.913
0.580,0.913
0.581,0.913
0.583,0.913
0.585,0.913
0.588,0.913
