precision,recall
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.026,1.000
0.026,1.000
0.027,1.000
0.028,1.000
0.029,1.000
0.031,1.000
0.034,1.000
0.037,1.000
0.040,1.000
0.045,0.998
0.049,0.997
0.054,0.994
0.060,0.994
0.067,0.991
0.073,0.989
0.079,0.987
0.086,0.986
0.092,0.986
0.099,0.986
0.106,0.986
0.113,0.986
0.119,0.986
0.126,0.983
0.132,0.983
0.138,0.983
0.146,0.983
0.152,0.982
0.159,0.982
0.166,0.979
0.172,0.979
0.179,0.979
0.185,0.979
0.191,0.979
0.196,0.979
0.201,0.978
0.206,0.978
0.212,0.978
0.217,0.977
0.222,0.974
0.226,0.974
0.230,0.974
0.234,0.972
0.239,0.971
0.243,0.969
0.247,0.969
0.251,0.969
0.256,0.969
0.262,0.969
0.265,0.968
0.269,0.968
0.273,0.968
0.278,0.967
0.282,0.964
0.285,0.964
0.290,0.964
0.294,0.964
0.298,0.964
0.304,0.964
0.308,0.964
0.312,0.964
0.316,0.964
0.320,0.964
0.326,0.964
0.329,0.963
0.331,0.962
0.334,0.961
0.338,0.960
0.341,0.960
0.344,0.960
0.347,0.960
0.351,0.960
0.354,0.960
0.357,0.960
0.360,0.959
0.362,0.959
0.366,0.958
0.369,0.956
0.371,0.955
0.373,0.954
0.376,0.953
0.379,0.953
0.382,0.953
0.384,0.952
0.387,0.952
0.390,0.952
0.392,0.951
0.396,0.949
0.397,0.946
0.399,0.946
0.403,0.946
0.408,0.946
0.410,0.945
0.412,0.945
0.413,0.944
0.416,0.944
0.418,0.943
0.420,0.943
0.421,0.943
0.423,0.941
0.426,0.941
0.429,0.941
0.431,0.941
0.434,0.941
0.436,0.941
0.438,0.941
0.441,0.941
0.442,0.941
0.443,0.940
0.446,0.940
0.448,0.939
0.450,0.939
0.455,0.938
0.457,0.935
0.458,0.935
0.460,0.933
0.463,0.933
0.464,0.932
0.465,0.931
0.468,0.930
0.470,0.930
0.473,0.929
0.474,0.928
0.479,0.928
0.480,0.928
0.482,0.927
0.484,0.927
0.486,0.925
0.488,0.925
0.491,0.925
0.492,0.925
0.495,0.925
0.498,0.925
0.500,0.924
0.501,0.923
0.502,0.923
0.504,0.923
0.506,0.923
0.509,0.922
0.512,0.922
0.514,0.922
0.515,0.921
0.518,0.921
0.519,0.921
0.520,0.921
0.521,0.921
0.523,0.921
0.525,0.921
0.527,0.921
0.529,0.921
0.530,0.920
0.533,0.920
0.534,0.920
0.535,0.920
0.538,0.920
0.539,0.920
0.540,0.917
0.541,0.917
0.543,0.915
0.545,0.914
0.546,0.914
0.548,0.914
0.551,0.914
0.555,0.914
0.556,0.914
0.557,0.914
0.559,0.914
0.563,0.914
0.564,0.914
0.565,0.914
0.566,0.914
0.568,0.914
0.569,0.913
0.572,0.913
0.573,0.913
0.575,0.913
0.576,0.912
0.577,0.912
0.579,0.910
0.583,0.910
0.584,0.910
0.586,0.909
