threshold,precision,recall
0.011,0.025,1.000
0.012,0.025,1.000
0.013,0.025,1.000
0.014,0.025,1.000
0.015,0.025,1.000
0.016,0.025,1.000
0.017,0.025,1.000
0.018,0.025,0.999
0.019,0.025,0.999
0.020,0.025,0.999
0.021,0.025,0.999
0.022,0.026,0.999
0.023,0.027,0.999
0.024,0.027,0.997
0.025,0.029,0.997
0.026,0.030,0.993
0.027,0.032,0.993
0.028,0.035,0.990
0.029,0.038,0.987
0.030,0.042,0.984
0.031,0.047,0.978
0.032,0.053,0.970
0.033,0.060,0.966
0.034,0.068,0.962
0.035,0.077,0.960
0.036,0.087,0.955
0.037,0.098,0.953
0.038,0.110,0.949
0.039,0.122,0.944
0.040,0.136,0.941
0.041,0.151,0.939
0.042,0.163,0.935
0.043,0.176,0.932
0.044,0.190,0.931
0.045,0.202,0.927
0.046,0.214,0.924
0.047,0.226,0.920
0.048,0.238,0.917
0.049,0.250,0.915
0.050,0.261,0.909
0.051,0.272,0.907
0.052,0.281,0.905
0.053,0.290,0.901
0.054,0.301,0.900
0.055,0.311,0.897
0.056,0.319,0.896
0.057,0.328,0.894
0.058,0.336,0.893
0.059,0.345,0.893
0.060,0.356,0.892
0.061,0.364,0.890
0.062,0.372,0.890
0.063,0.379,0.889
0.064,0.386,0.889
0.065,0.392,0.887
0.066,0.400,0.887
0.067,0.407,0.886
0.068,0.414,0.884
0.069,0.421,0.883
0.070,0.427,0.883
0.071,0.436,0.883
0.072,0.441,0.882
0.073,0.446,0.881
0.074,0.453,0.881
0.075,0.456,0.879
0.076,0.462,0.879
0.077,0.469,0.879
0.078,0.475,0.878
0.079,0.480,0.875
0.080,0.484,0.873
0.081,0.488,0.873
0.082,0.493,0.871
0.083,0.500,0.870
0.084,0.507,0.870
0.085,0.512,0.869
0.086,0.518,0.869
0.087,0.522,0.868
0.088,0.526,0.867
0.089,0.534,0.866
0.090,0.540,0.865
0.091,0.546,0.865
0.092,0.551,0.863
0.093,0.555,0.863
0.094,0.558,0.863
0.095,0.561,0.861
0.096,0.564,0.860
0.097,0.568,0.860
0.098,0.571,0.860
0.099,0.573,0.860
0.100,0.577,0.860
0.101,0.581,0.859
0.102,0.584,0.859
0.103,0.588,0.858
0.104,0.592,0.856
0.105,0.594,0.854
0.106,0.598,0.854
0.107,0.601,0.854
0.108,0.605,0.854
0.109,0.607,0.854
0.110,0.610,0.853
0.111,0.614,0.853
0.112,0.616,0.852
0.113,0.621,0.852
0.114,0.622,0.852
0.115,0.627,0.851
0.116,0.629,0.850
0.117,0.634,0.848
0.118,0.636,0.847
0.119,0.640,0.847
0.120,0.642,0.846
0.121,0.644,0.846
0.122,0.647,0.846
0.123,0.649,0.846
0.124,0.652,0.846
0.125,0.652,0.846
0.126,0.652,0.845
0.127,0.657,0.844
0.128,0.662,0.844
0.129,0.663,0.844
0.130,0.665,0.844
0.131,0.666,0.843
0.132,0.667,0.843
0.133,0.670,0.843
0.134,0.673,0.843
0.135,0.676,0.843
0.136,0.677,0.840
0.137,0.679,0.838
0.138,0.680,0.838
0.140,0.683,0.837
0.141,0.686,0.837
0.142,0.689,0.836
0.143,0.693,0.836
0.144,0.698,0.835
0.145,0.699,0.835
0.146,0.700,0.834
0.147,0.703,0.834
0.148,0.705,0.834
0.149,0.705,0.832
0.150,0.707,0.832
0.151,0.709,0.832
0.152,0.712,0.832
0.153,0.714,0.832
0.154,0.716,0.832
0.155,0.719,0.832
0.156,0.720,0.830
0.157,0.722,0.830
0.158,0.724,0.830
0.159,0.724,0.830
0.160,0.727,0.830
0.161,0.728,0.830
0.162,0.730,0.830
0.163,0.732,0.830
0.165,0.734,0.830
0.166,0.734,0.828
0.167,0.736,0.828
0.168,0.738,0.828
0.169,0.738,0.827
0.170,0.738,0.827
0.171,0.740,0.827
0.172,0.743,0.825
0.173,0.744,0.825
0.174,0.744,0.825
0.175,0.748,0.825
0.176,0.751,0.825
0.178,0.752,0.823
0.179,0.755,0.823
0.180,0.755,0.822
0.181,0.757,0.821
0.183,0.757,0.821
0.184,0.759,0.821
0.185,0.761,0.821
0.186,0.763,0.821
0.188,0.765,0.817
