roc_recall,one_minus_fpr,roc_precision
0.000,1.000,1.000
0.010,1.000,1.000
0.020,1.000,1.000
0.030,1.000,1.000
0.040,1.000,1.000
0.050,1.000,1.000
0.060,1.000,1.000
0.070,1.000,1.000
0.080,1.000,1.000
0.090,1.000,1.000
0.100,1.000,1.000
0.110,1.000,0.989
0.120,1.000,0.989
0.130,1.000,0.990
0.140,1.000,0.991
0.150,1.000,0.991
0.160,1.000,0.992
0.170,1.000,0.992
0.180,1.000,0.993
0.190,1.000,0.994
0.200,1.000,0.994
0.210,1.000,0.994
0.220,1.000,0.994
0.230,1.000,0.990
0.240,1.000,0.990
0.250,1.000,0.990
0.260,1.000,0.990
0.270,1.000,0.990
0.280,1.000,0.991
0.290,1.000,0.991
0.300,1.000,0.992
0.310,1.000,0.992
0.320,1.000,0.992
0.330,1.000,0.990
0.340,1.000,0.989
0.350,1.000,0.986
0.360,1.000,0.982
0.370,1.000,0.983
0.380,1.000,0.983
0.390,1.000,0.984
0.400,1.000,0.984
0.410,1.000,0.985
0.420,1.000,0.982
0.430,1.000,0.982
0.440,1.000,0.983
0.450,1.000,0.983
0.460,1.000,0.981
0.470,1.000,0.979
0.480,1.000,0.977
0.490,1.000,0.977
0.500,1.000,0.977
0.510,0.999,0.968
0.520,0.999,0.969
0.530,0.999,0.969
0.540,0.999,0.969
0.550,0.999,0.965
0.560,0.999,0.966
0.570,0.999,0.966
0.580,0.999,0.965
0.590,0.999,0.964
0.600,0.999,0.963
0.610,0.999,0.962
0.620,0.999,0.962
0.630,0.999,0.959
0.640,0.999,0.959
0.650,0.999,0.960
0.660,0.999,0.958
0.670,0.999,0.959
0.680,0.999,0.959
0.690,0.999,0.953
0.700,0.999,0.951
0.710,0.998,0.952
0.720,0.998,0.953
0.730,0.998,0.947
0.740,0.998,0.941
0.750,0.997,0.933
0.760,0.997,0.934
0.770,0.997,0.929
0.780,0.996,0.927
0.790,0.996,0.925
0.800,0.996,0.919
0.810,0.994,0.898
0.820,0.994,0.889
0.830,0.992,0.875
0.840,0.990,0.853
0.850,0.987,0.838
0.860,0.984,0.825
0.870,0.979,0.816
0.880,0.974,0.809
0.890,0.962,0.789
0.900,0.947,0.779
0.910,0.934,0.774
0.920,0.920,0.770
0.930,0.901,0.767
0.940,0.859,0.760
0.950,0.801,0.756
0.960,0.704,0.752
0.970,0.560,0.744
0.980,0.474,0.743
0.990,0.292,0.738
1.000,0.146,0.369
1.010,0.000,0.000
