threshold,true positive rate,false positive rate
0.012,1.000,1.000
0.013,1.000,1.000
0.014,1.000,1.000
0.015,1.000,1.000
0.016,1.000,0.999
0.017,1.000,0.999
0.018,1.000,0.998
0.019,1.000,0.998
0.020,1.000,0.996
0.021,1.000,0.994
0.022,1.000,0.990
0.023,1.000,0.984
0.024,1.000,0.975
0.025,1.000,0.963
0.026,1.000,0.945
0.027,1.000,0.918
0.028,1.000,0.884
0.029,1.000,0.838
0.030,1.000,0.782
0.031,0.997,0.719
0.032,0.993,0.654
0.033,0.993,0.588
0.034,0.991,0.524
0.035,0.991,0.468
0.036,0.991,0.415
0.037,0.989,0.371
0.038,0.989,0.332
0.039,0.986,0.298
0.040,0.985,0.271
0.041,0.985,0.247
0.042,0.985,0.226
0.043,0.984,0.209
0.044,0.984,0.192
0.045,0.982,0.178
0.046,0.980,0.165
0.047,0.980,0.155
0.048,0.980,0.146
0.049,0.978,0.138
0.050,0.978,0.130
0.051,0.978,0.124
0.052,0.978,0.118
0.053,0.978,0.112
0.054,0.976,0.107
0.055,0.974,0.103
0.056,0.974,0.099
0.057,0.974,0.095
0.058,0.974,0.091
0.059,0.972,0.088
0.060,0.972,0.085
0.061,0.972,0.082
0.062,0.972,0.079
0.063,0.972,0.076
0.064,0.972,0.075
0.065,0.972,0.073
0.066,0.971,0.071
0.067,0.971,0.069
0.068,0.971,0.067
0.069,0.969,0.066
0.070,0.968,0.064
0.071,0.968,0.063
0.072,0.968,0.061
0.073,0.968,0.060
0.074,0.967,0.059
0.075,0.967,0.057
0.076,0.967,0.056
0.077,0.967,0.055
0.078,0.964,0.054
0.079,0.963,0.053
0.080,0.961,0.052
0.081,0.961,0.050
0.082,0.961,0.050
0.083,0.961,0.049
0.084,0.960,0.048
0.085,0.959,0.048
0.086,0.959,0.047
0.087,0.959,0.046
0.088,0.958,0.045
0.089,0.958,0.044
0.090,0.958,0.043
0.091,0.958,0.043
0.092,0.956,0.042
0.093,0.956,0.042
0.094,0.956,0.041
0.095,0.955,0.041
0.096,0.954,0.040
0.097,0.954,0.039
0.098,0.954,0.039
0.099,0.954,0.038
0.100,0.954,0.038
0.101,0.953,0.038
0.102,0.953,0.037
0.103,0.953,0.037
