class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.996,1.000,1.000,0.906,32,29.0,0.0
ALFL,0.981,0.999,1.000,0.739,46,34.0,0.0
AMBI,0.850,0.994,1.000,0.333,9,3.0,0.0
AMCR,0.755,0.986,1.000,0.280,25,7.0,0.0
AMRO,0.981,1.000,1.000,0.583,12,7.0,0.0
BADO,0.988,1.000,1.000,0.818,22,18.0,0.0
BBWA,1.000,1.000,1.000,0.500,6,3.0,0.0
BCCH,0.917,0.998,0.778,0.700,10,7.0,2.0
BEKI,0.893,0.993,1.000,0.750,8,6.0,0.0
BLJA,0.970,0.999,1.000,0.600,20,12.0,0.0
BRCR,0.995,1.000,1.000,0.929,14,13.0,0.0
BTNW,0.984,0.999,1.000,0.842,19,16.0,0.0
CANG,0.883,0.999,0.800,0.667,6,4.0,1.0
CEDW,0.892,0.995,1.000,0.304,23,7.0,0.0
CHSP,0.967,0.995,1.000,0.630,54,34.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,0.958,1.000,1.000,0.833,6,5.0,0.0
COYE,0.958,0.998,1.000,0.818,22,18.0,0.0
DEJU,0.859,0.993,1.000,0.727,11,8.0,0.0
EAKI,1.000,1.000,1.000,0.857,7,6.0,0.0
EATO,0.976,1.000,1.000,0.545,11,6.0,0.0
EAWP,0.990,1.000,1.000,0.800,30,24.0,0.0
FISP,1.000,1.000,1.000,0.667,12,8.0,0.0
GCKI,0.938,0.996,1.000,0.333,12,4.0,0.0
GHOW,0.829,0.981,1.000,0.250,28,7.0,0.0
HETH,0.466,0.866,1.000,0.140,43,6.0,0.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.990,1.000,1.000,0.696,23,16.0,0.0
NOFL,0.945,0.999,0.800,0.800,10,8.0,2.0
OVEN,0.991,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.933,0.998,1.000,0.462,13,6.0,0.0
RWBL,0.971,0.999,1.000,0.568,37,21.0,0.0
SWSP,0.892,0.987,1.000,0.487,39,19.0,0.0
SWTH,0.957,0.999,0.833,1.000,10,10.0,2.0
TEWA,0.901,0.989,1.000,0.522,46,24.0,0.0
TRUS,0.986,1.000,0.000,0.000,8,0.0,0.0
VEER,0.812,0.998,1.000,0.250,4,1.0,0.0
WAVI,0.971,0.999,1.000,0.900,10,9.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.938,0.990,1.000,0.581,31,18.0,0.0
WIWA,0.972,1.000,1.000,0.778,9,7.0,0.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,0.500,4,2.0,0.0
WTSP,0.833,0.966,1.000,0.302,43,13.0,0.0
YEWA,0.895,0.998,1.000,0.375,16,6.0,0.0
