threshold,true positive rate,false positive rate
0.012,1.000,1.000
0.013,1.000,1.000
0.014,1.000,1.000
0.016,1.000,1.000
0.017,1.000,1.000
0.018,1.000,1.000
0.019,1.000,0.999
0.020,1.000,0.999
0.021,1.000,0.998
0.022,1.000,0.997
0.023,1.000,0.994
0.024,1.000,0.989
0.025,1.000,0.982
0.026,1.000,0.968
0.027,1.000,0.949
0.028,1.000,0.920
0.029,1.000,0.879
0.030,1.000,0.828
0.031,0.999,0.768
0.032,0.999,0.701
0.033,0.999,0.632
0.034,0.998,0.563
0.035,0.998,0.502
0.036,0.997,0.443
0.037,0.997,0.390
0.038,0.993,0.347
0.039,0.990,0.310
0.040,0.990,0.278
0.041,0.990,0.250
0.042,0.990,0.227
0.043,0.987,0.207
0.044,0.985,0.190
0.045,0.983,0.175
0.046,0.983,0.163
0.047,0.982,0.152
0.048,0.978,0.142
0.049,0.976,0.134
0.050,0.975,0.126
0.051,0.974,0.119
0.052,0.971,0.113
0.053,0.971,0.108
0.054,0.971,0.102
0.055,0.970,0.097
0.056,0.970,0.093
0.057,0.969,0.090
0.058,0.969,0.086
0.059,0.966,0.083
0.060,0.963,0.080
0.061,0.963,0.077
0.062,0.963,0.075
0.063,0.962,0.072
0.064,0.962,0.070
0.065,0.962,0.069
0.066,0.962,0.066
0.067,0.962,0.065
0.068,0.961,0.063
0.069,0.960,0.062
0.070,0.959,0.060
0.071,0.959,0.059
0.072,0.958,0.057
0.073,0.955,0.056
0.074,0.955,0.055
0.075,0.953,0.053
0.076,0.953,0.052
0.077,0.953,0.052
0.078,0.952,0.050
0.079,0.952,0.049
0.080,0.952,0.048
0.081,0.951,0.047
0.082,0.951,0.046
0.083,0.947,0.046
0.084,0.946,0.045
0.085,0.945,0.044
0.086,0.945,0.043
0.087,0.944,0.043
0.089,0.944,0.042
0.090,0.943,0.041
0.091,0.943,0.040
0.092,0.943,0.040
0.093,0.943,0.039
0.095,0.943,0.037
0.097,0.943,0.036
0.098,0.941,0.036
0.099,0.941,0.035
0.100,0.941,0.035
0.101,0.940,0.034
0.102,0.940,0.034
0.103,0.940,0.034
0.104,0.940,0.033
0.105,0.938,0.033
0.106,0.938,0.032
0.107,0.937,0.032
