threshold,precision,recall
0.015,0.025,1.000
0.016,0.025,1.000
0.017,0.025,1.000
0.018,0.025,1.000
0.019,0.025,1.000
0.020,0.025,1.000
0.021,0.025,1.000
0.022,0.025,1.000
0.023,0.025,1.000
0.024,0.025,1.000
0.025,0.026,1.000
0.026,0.026,1.000
0.027,0.027,1.000
0.028,0.029,0.998
0.029,0.031,0.998
0.030,0.033,0.998
0.031,0.036,0.998
0.032,0.040,0.998
0.033,0.045,0.997
0.034,0.051,0.995
0.035,0.057,0.992
0.036,0.064,0.992
0.037,0.071,0.991
0.038,0.080,0.991
0.039,0.087,0.989
0.040,0.096,0.989
0.041,0.104,0.987
0.042,0.112,0.985
0.043,0.120,0.984
0.044,0.128,0.983
0.045,0.136,0.983
0.046,0.143,0.980
0.047,0.150,0.979
0.048,0.159,0.978
0.049,0.166,0.976
0.050,0.174,0.975
0.051,0.180,0.972
0.052,0.187,0.971
0.053,0.194,0.970
0.054,0.200,0.970
0.055,0.206,0.969
0.056,0.215,0.969
0.057,0.221,0.969
0.058,0.227,0.968
0.059,0.234,0.968
0.060,0.240,0.968
0.061,0.247,0.968
0.062,0.252,0.967
0.063,0.259,0.967
0.064,0.263,0.966
0.065,0.266,0.964
0.066,0.271,0.964
0.067,0.276,0.963
0.068,0.280,0.963
0.069,0.284,0.963
0.070,0.291,0.963
0.071,0.296,0.963
0.072,0.301,0.963
0.073,0.305,0.962
0.074,0.309,0.962
0.075,0.313,0.962
0.076,0.315,0.960
0.077,0.319,0.959
0.078,0.322,0.959
0.079,0.325,0.959
0.080,0.328,0.958
0.081,0.332,0.958
0.082,0.336,0.956
0.083,0.338,0.956
0.084,0.342,0.956
0.085,0.345,0.955
0.086,0.349,0.955
0.087,0.352,0.955
0.088,0.356,0.955
0.089,0.358,0.953
0.090,0.361,0.953
0.091,0.365,0.953
0.092,0.369,0.953
0.093,0.373,0.953
0.094,0.375,0.949
0.095,0.378,0.949
0.096,0.382,0.949
0.097,0.384,0.949
0.098,0.387,0.948
0.099,0.389,0.947
0.100,0.391,0.947
0.101,0.395,0.947
0.102,0.396,0.947
0.103,0.399,0.947
0.104,0.401,0.946
0.105,0.403,0.946
0.106,0.406,0.946
0.107,0.408,0.946
0.108,0.413,0.946
0.109,0.415,0.945
0.110,0.416,0.944
0.111,0.419,0.944
0.112,0.422,0.944
0.113,0.425,0.944
0.114,0.426,0.943
0.115,0.428,0.943
0.116,0.431,0.943
0.117,0.432,0.943
0.118,0.435,0.943
0.119,0.436,0.943
0.120,0.438,0.941
0.121,0.441,0.941
0.122,0.442,0.941
0.123,0.445,0.941
0.124,0.447,0.941
0.125,0.449,0.941
0.126,0.450,0.940
0.127,0.453,0.940
0.128,0.455,0.940
0.129,0.456,0.940
0.130,0.457,0.940
0.131,0.459,0.940
0.132,0.461,0.940
0.133,0.462,0.939
0.134,0.464,0.939
0.135,0.465,0.939
0.136,0.468,0.939
0.137,0.469,0.939
0.138,0.470,0.938
0.139,0.473,0.938
0.140,0.474,0.937
0.141,0.477,0.937
0.142,0.479,0.937
0.143,0.481,0.936
0.144,0.483,0.935
0.145,0.484,0.935
0.146,0.486,0.935
0.147,0.487,0.935
0.148,0.488,0.935
0.149,0.489,0.935
0.150,0.491,0.935
0.151,0.493,0.933
0.152,0.494,0.933
0.153,0.496,0.933
0.154,0.497,0.933
0.155,0.499,0.933
0.156,0.500,0.933
0.157,0.502,0.933
