roc_recall,one_minus_fpr,roc_precision
0.000,1.000,1.000
0.010,1.000,1.000
0.020,1.000,1.000
0.030,1.000,1.000
0.040,1.000,1.000
0.050,1.000,1.000
0.060,1.000,1.000
0.070,1.000,1.000
0.080,1.000,1.000
0.090,1.000,1.000
0.100,1.000,1.000
0.110,1.000,1.000
0.120,1.000,1.000
0.130,1.000,1.000
0.140,1.000,1.000
0.150,1.000,1.000
0.160,1.000,1.000
0.170,1.000,1.000
0.180,1.000,1.000
0.190,1.000,1.000
0.200,1.000,1.000
0.210,1.000,1.000
0.220,1.000,1.000
0.230,1.000,1.000
0.240,1.000,1.000
0.250,1.000,1.000
0.260,1.000,1.000
0.270,1.000,1.000
0.280,1.000,1.000
0.290,1.000,1.000
0.300,1.000,1.000
0.310,1.000,1.000
0.320,1.000,1.000
0.330,1.000,0.998
0.340,1.000,0.996
0.350,1.000,0.996
0.360,1.000,0.996
0.370,1.000,0.996
0.380,1.000,0.997
0.390,1.000,0.997
0.400,1.000,0.997
0.410,1.000,0.997
0.420,1.000,0.997
0.430,1.000,0.997
0.440,1.000,0.996
0.450,1.000,0.994
0.460,1.000,0.995
0.470,1.000,0.995
0.480,1.000,0.995
0.490,1.000,0.990
0.500,1.000,0.990
0.510,1.000,0.988
0.520,1.000,0.988
0.530,1.000,0.988
0.540,1.000,0.986
0.550,1.000,0.981
0.560,1.000,0.981
0.570,1.000,0.979
0.580,1.000,0.977
0.590,1.000,0.975
0.600,1.000,0.976
0.610,0.999,0.976
0.620,0.999,0.973
0.630,0.999,0.971
0.640,0.999,0.970
0.650,0.999,0.968
0.660,0.999,0.967
0.670,0.999,0.964
0.680,0.999,0.961
0.690,0.999,0.961
0.700,0.999,0.958
0.710,0.999,0.952
0.720,0.999,0.948
0.730,0.998,0.947
0.740,0.998,0.946
0.750,0.998,0.944
0.760,0.997,0.936
0.770,0.997,0.926
0.780,0.997,0.919
0.790,0.996,0.907
0.800,0.995,0.890
0.810,0.994,0.873
0.820,0.993,0.857
0.830,0.992,0.838
0.840,0.989,0.810
0.850,0.987,0.776
0.860,0.983,0.755
0.870,0.979,0.732
0.880,0.976,0.715
0.890,0.970,0.702
0.900,0.965,0.690
0.910,0.945,0.669
0.920,0.929,0.662
0.930,0.892,0.648
0.940,0.851,0.641
0.950,0.783,0.637
0.960,0.690,0.632
0.970,0.494,0.622
0.980,0.398,0.616
0.990,0.187,0.608
1.000,0.093,0.304
1.010,0.000,0.000
