threshold,true positive rate,false positive rate
0.009,1.000,1.000
0.012,1.000,1.000
0.013,1.000,1.000
0.014,1.000,1.000
0.015,1.000,0.999
0.016,1.000,0.999
0.017,1.000,0.997
0.018,1.000,0.996
0.019,1.000,0.993
0.020,1.000,0.989
0.021,1.000,0.983
0.022,1.000,0.975
0.023,1.000,0.963
0.024,0.999,0.947
0.025,0.998,0.925
0.026,0.997,0.896
0.027,0.994,0.857
0.028,0.990,0.810
0.029,0.989,0.756
0.030,0.985,0.697
0.031,0.983,0.633
0.032,0.977,0.570
0.033,0.970,0.510
0.034,0.968,0.452
0.035,0.963,0.401
0.036,0.963,0.356
0.037,0.961,0.318
0.038,0.956,0.282
0.039,0.953,0.254
0.040,0.952,0.229
0.041,0.948,0.206
0.042,0.945,0.185
0.043,0.943,0.168
0.044,0.941,0.154
0.045,0.938,0.141
0.046,0.937,0.131
0.047,0.937,0.121
0.048,0.932,0.112
0.049,0.928,0.105
0.050,0.927,0.098
0.051,0.925,0.092
0.052,0.923,0.087
0.053,0.923,0.082
0.054,0.923,0.077
0.055,0.920,0.073
0.056,0.920,0.070
0.057,0.917,0.067
0.058,0.916,0.064
0.059,0.915,0.061
0.060,0.915,0.059
0.061,0.913,0.057
0.062,0.909,0.055
0.063,0.908,0.053
0.064,0.907,0.051
0.065,0.907,0.049
0.066,0.906,0.048
0.067,0.906,0.047
0.068,0.906,0.046
0.069,0.906,0.044
0.070,0.905,0.043
0.071,0.902,0.042
0.072,0.901,0.041
0.073,0.901,0.039
0.074,0.901,0.038
0.075,0.900,0.037
0.076,0.900,0.037
0.077,0.900,0.036
0.078,0.900,0.035
0.079,0.899,0.034
0.080,0.899,0.034
0.081,0.897,0.033
0.082,0.894,0.032
0.083,0.892,0.032
0.084,0.891,0.031
0.085,0.891,0.031
0.086,0.891,0.030
0.087,0.890,0.030
0.088,0.887,0.029
0.089,0.886,0.029
0.090,0.884,0.028
0.091,0.882,0.028
0.092,0.881,0.027
0.093,0.881,0.027
0.094,0.881,0.026
0.095,0.881,0.026
0.096,0.881,0.025
0.097,0.881,0.025
0.098,0.879,0.025
0.099,0.879,0.024
0.100,0.879,0.024
0.101,0.877,0.023
0.102,0.876,0.023
0.103,0.876,0.023
0.104,0.875,0.022
0.105,0.874,0.022
0.106,0.874,0.022
0.107,0.871,0.022
0.108,0.870,0.022
0.109,0.870,0.021
0.110,0.868,0.021
0.111,0.868,0.021
0.112,0.868,0.020
0.113,0.867,0.020
0.114,0.863,0.020
0.115,0.863,0.019
0.116,0.863,0.019
0.117,0.863,0.019
0.118,0.862,0.019
0.120,0.862,0.018
0.121,0.862,0.018
0.122,0.862,0.018
0.123,0.862,0.018
0.124,0.862,0.018
0.125,0.862,0.018
0.126,0.861,0.017
