precision,recall
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,1.000
0.025,0.999
0.025,0.999
0.025,0.999
0.026,0.999
0.026,0.999
0.027,0.999
0.028,0.999
0.029,0.998
0.031,0.998
0.034,0.993
0.036,0.986
0.040,0.983
0.044,0.982
0.049,0.975
0.054,0.971
0.060,0.969
0.066,0.964
0.074,0.963
0.081,0.962
0.089,0.961
0.098,0.956
0.106,0.953
0.114,0.948
0.123,0.946
0.133,0.941
0.143,0.941
0.151,0.938
0.160,0.935
0.169,0.932
0.179,0.932
0.188,0.932
0.197,0.930
0.206,0.929
0.214,0.928
0.223,0.925
0.230,0.924
0.239,0.922
0.247,0.922
0.254,0.917
0.261,0.916
0.267,0.915
0.275,0.914
0.283,0.914
0.290,0.913
0.296,0.912
0.303,0.910
0.310,0.910
0.317,0.910
0.323,0.910
0.328,0.908
0.334,0.908
0.340,0.907
0.346,0.907
0.351,0.906
0.356,0.905
0.362,0.905
0.367,0.904
0.370,0.902
0.375,0.901
0.379,0.900
0.383,0.900
0.387,0.899
0.392,0.898
0.397,0.897
0.402,0.896
0.407,0.894
0.411,0.892
0.415,0.892
0.420,0.891
0.425,0.891
0.431,0.890
0.433,0.890
0.438,0.890
0.441,0.887
0.446,0.886
0.451,0.886
0.453,0.884
0.456,0.882
0.460,0.882
0.465,0.882
0.466,0.881
0.469,0.881
0.473,0.881
0.475,0.878
0.478,0.875
0.480,0.874
0.485,0.871
0.488,0.871
0.493,0.871
0.495,0.870
0.498,0.869
0.500,0.869
0.504,0.868
0.506,0.868
0.510,0.868
0.511,0.868
0.514,0.867
0.516,0.867
0.519,0.866
0.522,0.866
0.527,0.866
0.531,0.866
0.536,0.866
0.537,0.866
0.539,0.865
0.540,0.865
0.542,0.865
0.542,0.863
0.545,0.863
0.547,0.863
0.549,0.862
0.555,0.862
0.556,0.862
0.559,0.862
0.560,0.861
0.562,0.861
0.563,0.859
0.566,0.858
0.568,0.858
0.572,0.856
0.573,0.856
0.575,0.855
0.578,0.855
0.579,0.855
0.583,0.854
0.585,0.854
0.588,0.854
0.590,0.854
0.589,0.852
0.591,0.852
0.594,0.852
0.595,0.852
0.596,0.852
0.596,0.852
0.598,0.852
0.600,0.851
0.604,0.850
0.606,0.850
0.606,0.848
0.606,0.847
0.608,0.847
0.609,0.847
0.610,0.847
0.613,0.847
0.614,0.844
0.616,0.844
0.621,0.844
0.622,0.844
0.623,0.844
0.624,0.844
0.626,0.843
0.627,0.843
0.630,0.843
0.630,0.842
0.631,0.842
0.632,0.840
0.633,0.839
0.635,0.839
0.637,0.839
0.638,0.839
0.639,0.837
0.640,0.837
0.641,0.837
0.642,0.837
0.644,0.837
0.647,0.837
0.650,0.836
0.651,0.836
0.654,0.836
0.656,0.836
0.659,0.836
0.659,0.836
0.662,0.836
0.662,0.835
0.664,0.835
0.664,0.832
0.666,0.832
0.667,0.832
0.668,0.831
0.669,0.831
0.670,0.831
0.673,0.831
0.675,0.831
