threshold,precision,recall
0.019,0.025,1.000
0.020,0.025,1.000
0.021,0.029,0.998
0.022,0.035,0.994
0.023,0.042,0.984
0.024,0.049,0.979
0.025,0.056,0.974
0.026,0.064,0.972
0.027,0.072,0.970
0.028,0.081,0.968
0.029,0.089,0.966
0.030,0.097,0.966
0.031,0.104,0.963
0.032,0.112,0.962
0.033,0.119,0.962
0.034,0.126,0.960
0.035,0.133,0.958
0.036,0.139,0.953
0.037,0.146,0.953
0.038,0.153,0.953
0.039,0.159,0.953
0.040,0.165,0.953
0.041,0.170,0.952
0.042,0.176,0.952
0.043,0.181,0.951
0.044,0.186,0.951
0.045,0.191,0.951
0.046,0.195,0.951
0.047,0.200,0.951
0.048,0.205,0.951
0.049,0.210,0.951
0.050,0.214,0.949
0.051,0.218,0.947
0.052,0.222,0.947
0.053,0.227,0.947
0.054,0.231,0.947
0.055,0.236,0.946
0.056,0.240,0.945
0.057,0.243,0.944
0.058,0.247,0.944
0.059,0.251,0.944
0.060,0.253,0.943
0.061,0.257,0.943
0.062,0.261,0.941
0.063,0.264,0.939
0.064,0.267,0.938
0.065,0.271,0.936
0.066,0.275,0.936
0.067,0.279,0.936
0.068,0.282,0.936
0.069,0.286,0.935
0.070,0.289,0.935
0.071,0.292,0.935
0.072,0.295,0.933
0.073,0.299,0.933
0.074,0.302,0.932
0.075,0.305,0.931
0.076,0.308,0.931
0.077,0.311,0.931
0.078,0.314,0.928
0.079,0.317,0.928
0.080,0.320,0.928
0.081,0.322,0.928
0.082,0.324,0.928
0.083,0.328,0.928
0.084,0.331,0.928
0.085,0.334,0.928
0.086,0.336,0.927
0.087,0.339,0.923
0.088,0.342,0.923
0.089,0.346,0.922
0.090,0.348,0.922
0.091,0.350,0.922
0.092,0.352,0.920
0.093,0.355,0.918
0.094,0.357,0.917
0.095,0.362,0.917
0.096,0.365,0.917
0.097,0.367,0.916
0.098,0.369,0.915
0.099,0.372,0.914
0.100,0.375,0.914
0.101,0.377,0.914
0.102,0.380,0.914
0.103,0.382,0.913
0.104,0.385,0.913
0.105,0.386,0.913
0.106,0.389,0.913
0.107,0.390,0.912
0.108,0.393,0.910
0.109,0.395,0.910
0.110,0.397,0.910
0.111,0.399,0.909
0.112,0.402,0.909
0.113,0.405,0.909
0.114,0.407,0.908
0.115,0.409,0.907
0.116,0.412,0.907
0.117,0.415,0.907
0.118,0.416,0.907
0.119,0.419,0.907
0.120,0.422,0.905
0.121,0.424,0.905
0.122,0.426,0.904
0.123,0.426,0.900
0.124,0.429,0.900
0.125,0.431,0.900
0.126,0.432,0.900
0.127,0.434,0.900
0.128,0.436,0.900
0.129,0.438,0.900
0.130,0.441,0.900
0.131,0.443,0.899
0.132,0.445,0.897
0.133,0.448,0.897
0.134,0.451,0.897
0.135,0.454,0.896
0.136,0.456,0.894
0.137,0.459,0.894
0.138,0.461,0.893
0.139,0.463,0.892
0.140,0.465,0.892
0.141,0.467,0.892
0.142,0.469,0.891
0.143,0.471,0.891
0.144,0.473,0.891
0.145,0.474,0.891
0.146,0.475,0.890
0.147,0.476,0.889
0.148,0.477,0.887
0.149,0.479,0.886
0.150,0.480,0.886
0.151,0.483,0.886
0.152,0.485,0.886
0.153,0.487,0.886
0.154,0.489,0.886
0.155,0.491,0.886
0.156,0.493,0.885
0.157,0.493,0.884
0.158,0.493,0.882
0.159,0.495,0.882
0.160,0.497,0.881
0.161,0.499,0.879
0.162,0.501,0.878
0.163,0.504,0.878
0.164,0.507,0.878
0.165,0.509,0.878
0.166,0.512,0.878
0.167,0.513,0.877
0.168,0.516,0.877
0.169,0.518,0.876
0.170,0.520,0.876
0.172,0.523,0.876
0.173,0.525,0.876
0.174,0.526,0.876
0.175,0.528,0.875
0.176,0.529,0.875
0.177,0.531,0.875
0.178,0.533,0.875
0.179,0.534,0.875
0.180,0.537,0.875
0.181,0.539,0.875
0.182,0.540,0.875
0.183,0.542,0.875
0.184,0.545,0.875
0.185,0.547,0.875
0.186,0.548,0.875
0.187,0.549,0.875
0.188,0.551,0.875
0.189,0.553,0.875
0.190,0.555,0.875
0.191,0.555,0.874
0.193,0.557,0.874
0.194,0.559,0.874
0.195,0.561,0.874
0.196,0.564,0.874
0.198,0.565,0.874
0.199,0.568,0.874
0.200,0.570,0.874
0.201,0.570,0.874
0.202,0.572,0.874
0.203,0.574,0.873
0.204,0.575,0.873
0.206,0.577,0.871
0.207,0.578,0.871
0.208,0.579,0.871
0.209,0.581,0.871
0.210,0.583,0.871
0.211,0.585,0.870
0.212,0.588,0.869
0.213,0.590,0.869
0.214,0.592,0.869
0.215,0.593,0.869
0.216,0.597,0.869
0.217,0.597,0.869
0.218,0.599,0.869
0.219,0.600,0.869
0.220,0.601,0.869
0.221,0.604,0.869
0.222,0.605,0.869
0.223,0.607,0.868
0.224,0.609,0.867
0.225,0.610,0.867
0.226,0.610,0.866
0.229,0.612,0.866
0.230,0.613,0.866
0.231,0.615,0.866
0.232,0.616,0.865
0.233,0.617,0.863
0.234,0.619,0.863
0.235,0.619,0.863
0.236,0.620,0.863
0.237,0.621,0.862
0.238,0.621,0.861
0.239,0.624,0.861
0.240,0.626,0.860
0.241,0.628,0.860
0.242,0.629,0.859
0.243,0.630,0.859
0.244,0.631,0.859
0.245,0.632,0.859
0.246,0.633,0.858
0.247,0.633,0.858
0.248,0.634,0.858
0.249,0.635,0.858
0.250,0.635,0.856
0.251,0.636,0.856
0.253,0.636,0.855
0.254,0.636,0.854
0.255,0.639,0.854
0.256,0.640,0.854
0.257,0.641,0.854
0.258,0.643,0.854
0.259,0.643,0.853
0.260,0.644,0.853
0.262,0.645,0.853
0.264,0.646,0.853
0.265,0.647,0.853
0.266,0.647,0.853
0.267,0.648,0.853
0.268,0.649,0.853
0.269,0.650,0.852
0.270,0.651,0.852
0.271,0.651,0.852
0.272,0.655,0.852
0.274,0.656,0.852
0.275,0.657,0.852
0.277,0.658,0.852
0.278,0.660,0.852
0.279,0.660,0.851
0.281,0.660,0.851
0.283,0.661,0.850
0.284,0.661,0.850
0.285,0.663,0.850
0.286,0.664,0.850
0.288,0.665,0.850
0.289,0.667,0.850
0.290,0.668,0.850
0.291,0.671,0.850
0.292,0.672,0.850
0.293,0.672,0.848
0.294,0.672,0.848
0.296,0.674,0.848
0.297,0.675,0.848
0.298,0.677,0.848
0.299,0.677,0.848
0.300,0.679,0.848
0.301,0.680,0.848
0.303,0.681,0.848
0.306,0.682,0.848
0.307,0.681,0.847
0.308,0.684,0.847
0.309,0.686,0.846
0.312,0.688,0.846
0.314,0.688,0.846
0.316,0.688,0.845
0.317,0.689,0.845
0.318,0.690,0.845
0.320,0.691,0.845
0.321,0.692,0.845
0.322,0.692,0.845
0.323,0.694,0.845
0.325,0.694,0.845
0.327,0.696,0.845
0.328,0.696,0.845
0.329,0.697,0.845
0.330,0.698,0.845
0.331,0.698,0.845
0.332,0.699,0.845
0.333,0.700,0.845
0.334,0.701,0.845
0.335,0.701,0.844
0.336,0.702,0.844
0.337,0.703,0.844
0.339,0.703,0.844
0.341,0.704,0.843
0.342,0.705,0.842
0.343,0.706,0.842
0.344,0.707,0.842
0.345,0.709,0.840
0.346,0.711,0.840
0.348,0.713,0.840
0.349,0.713,0.840
0.350,0.716,0.840
0.351,0.718,0.840
0.352,0.719,0.840
0.353,0.720,0.840
0.354,0.723,0.840
0.355,0.724,0.840
0.356,0.725,0.840
0.357,0.727,0.840
0.361,0.727,0.839
0.362,0.726,0.838
0.363,0.728,0.837
0.364,0.729,0.836
0.367,0.729,0.835
0.368,0.729,0.834
0.369,0.729,0.830
0.371,0.730,0.830
0.372,0.731,0.830
0.373,0.732,0.830
0.375,0.733,0.830
0.376,0.733,0.830
0.377,0.735,0.830
0.379,0.734,0.829
0.382,0.735,0.829
0.383,0.736,0.828
0.385,0.736,0.828
0.386,0.739,0.827
0.388,0.741,0.825
0.391,0.743,0.825
0.392,0.744,0.825
0.395,0.745,0.824
0.396,0.746,0.824
0.397,0.748,0.824
0.398,0.749,0.824
0.399,0.752,0.824
0.400,0.753,0.823
0.401,0.754,0.822
0.402,0.753,0.819
0.403,0.753,0.817
0.405,0.755,0.817
0.406,0.756,0.817
0.409,0.757,0.817
0.411,0.759,0.817
0.412,0.761,0.817
0.414,0.762,0.817
0.415,0.763,0.815
0.416,0.763,0.814
0.417,0.764,0.813
0.419,0.765,0.813
0.421,0.766,0.813
0.422,0.768,0.813
0.427,0.770,0.813
0.428,0.770,0.813
0.431,0.771,0.813
0.432,0.774,0.812
0.433,0.775,0.812
0.434,0.776,0.812
0.435,0.777,0.808
0.437,0.777,0.806
0.438,0.779,0.806
0.440,0.780,0.804
0.442,0.780,0.804
0.443,0.781,0.804
0.444,0.782,0.804
0.445,0.782,0.803
0.446,0.782,0.801
0.447,0.783,0.801
0.448,0.783,0.800
0.450,0.784,0.799
0.451,0.784,0.798
0.452,0.784,0.798
0.453,0.785,0.798
0.454,0.785,0.797
0.457,0.786,0.797
0.458,0.787,0.796
0.459,0.788,0.796
0.462,0.789,0.796
0.463,0.791,0.796
0.464,0.793,0.796
0.467,0.794,0.796
0.470,0.795,0.796
0.473,0.794,0.794
0.475,0.795,0.793
0.476,0.795,0.792
0.477,0.798,0.792
0.478,0.800,0.792
0.479,0.800,0.791
0.480,0.803,0.791
0.483,0.805,0.790
